type,name,values,prefix,postfix,usage count,user addable,template name,,,
checklist,Balcony Build,,,,,,,,,
section,Casette Assembly,,,,,,,,,
checkpoint,All parts free from defects and damage,,,,,,,,,
checkpoint,Frame squareness,,,,,,,,,
label,Measure Diagonals and compare,,,,,,,,,
label,Diagonals to match +/- 2mm,,,,,,,,,
checkpoint,Verify all parts and fixings have been fitted as per drawings and schedules,,,,,,,,,
checkpoint,Bolt Tightness ,,,,,,,,,
label,Frequency: Every Bolt Nut Washer,,,,,,,,,
label,Torque Wrench: M8 Bolts to 22Nm (yellow marker),,,,,,,,,
label,M10 to 44Nm (blue Marker) M12 to 77Nm (green marker),,,,,,,,,
checkpoint,Preforated sheets fitted where applicable,,,,,,,,,
label,Site fitted sheets included in pack,,,,,,,,,
label,Correct for Left or Right Side Unit,,,,,,,,,
section,Soffit Check,,,,,,,,,
checkpoint,Soffits Level / Joints Siliconed,,,,,,,,,
checkpoint,Rivets / Screws: Correct Sizes and Integity ,,,,,,,,,
label,Visual Check: all mounting points,,,,,,,,,
label,Frequency: Every Rivet / Screw,,,,,,,,,
checkpoint,Joints Tight,,,,,,,,,
label,All soffit panels pulled tight to each other,,,,,,,,,
checkpoint,Gutter Section installed,,,,,,,,,
label,Visual Check: all mounting points used- siliconed between gutter and soffit,,,,,,,,,
section,Balustrade (including Fascia and Screen) Check,,,,,,,,,
checkpoint,All parts fitted,,,,,,,,,
label,As per drawings and schedules,,,,,,,,,
label,Visual Check,,,,,,,,,
label,Frequency: Every Balustrade,,,,,,,,,
checkpoint,Surface finish,,,,,,,,,
label,No imperfections visible beyond 2m,,,,,,,,,
label,Visual Check,,,,,,,,,
label,Frequency: Every Balustrade,,,,,,,,,
checkpoint,Fins tights,,,,,,,,,
label,Run hands along Fins,,,,,,,,,
label,Frequency: Every Fin,,,,,,,,,
checkpoint,Fascia secure,,,,,,,,,
label,All fixings present and well secured,,,,,,,,,
label,Visual Check,,,,,,,,,
label,Frequency: Every Fascia,,,,,,,,,
checkpoint,Handrail secure,,,,,,,,,
label,All fixings present and well secured,,,,,,,,,
label,Visual Check,,,,,,,,,
label,Frequency: Every Handrail,,,,,,,,,
section,Decking Check,,,,,,,,,
checkpoint,Connection points accessible,,,,,,,,,
label,"All connection points (clamps, sprinkler, vents, etc.) accessible via access panels",,,,,,,,,
label,Visual Check,,,,,,,,,
label,Frequency: Every Balcony,,,,,,,,,
checkpoint,Decking Screws Teightened,,,,,,,,,
label,All decking screws tightened properly,,,,,,,,,
label,Phycial Check,,,,,,,,,
label,Frequency: Every Screw,,,,,,,,,
checkpoint,Decking Defects,,,,,,,,,
label,No Defects in the Stabiwood,,,,,,,,,
label,Visual Check,,,,,,,,,
label,Frequency: Every Board,,,,,,,,,
section,Completion Check (1),,,,,,,,,
checkpoint,Fascia protection applied,,,,,,,,,
label,All fasciae are protected by stretchwrap,,,,,,,,,
label,Visual Check,,,,,,,,,
label,Frequency: Every Balcony,,,,,,,,,
checkpoint,Handrail/capping protection applied,,,,,,,,,
label,All handrail/capping protected by low-tack tape,,,,,,,,,
label,Visual Check,,,,,,,,,
label,Frequency: Every Balcony,,,,,,,,,
section,Completion Check (2),,,,,,,,,
checkpoint,Site pack compiled,,,,,,,,,
label,Correct for Upper or Lower Type,,,,,,,,,
label,Correct for Left or Right Side Unit,,,,,,,,,
checkpoint,Balcony Labeled,,,,,,,,,
label,Attache and Sign QA label,,,,,,,,,
label,"Label states Type, Side and Upper / Lower designation",,,,,,,,,
