"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5e2e8f3a-a183-4570-8ec2-42374b8a5319","","folder-normal","pass","","step","TRUE","FALSE","Waterproofing to lift walls"
"6afe5f1d-c1e1-4f71-90c9-aeba01b71134","","folder-normal","pass","","step","TRUE","FALSE","Waterproofing to lift walls","Lift 1 - Walls"
"1bc5539b-e9e9-4c06-837b-5c86a4ecb4e9","","checklist-flat","pass","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","Waterproofing to lift walls","Lift 1 - Walls","Enviro HP1200"
"1776d590-9b39-4c53-b26a-83402f7e8826","","folder-normal","pass","","step","TRUE","FALSE","Waterproofing to lift walls","Lift 2 - Walls"
"ff99edaa-5107-4163-a76f-ac9a215a6889","","checklist-flat","pass","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","Waterproofing to lift walls","Lift 2 - Walls","Enviro HP1200"
"683fde08-f057-48a7-a4d0-47d2c2faf236","","folder-normal","pass","","step","TRUE","FALSE","Waterproofing to slab edge"
"0a731598-0bc6-4455-92f6-40c3b65e7f15","","folder-normal","pass","","step","TRUE","FALSE","Waterproofing to slab edge","Player Lounge"
"d23a373a-8817-457f-86d1-67d242ae3cb8","","checklist-flat","pass","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","Waterproofing to slab edge","Player Lounge","Enviro HP1200"
"935cc63b-ba56-47f9-9c8b-43a4f2119e55","","folder-normal","pass","","step","TRUE","FALSE","Waterproofing to slab edge","MSB area"
"020b9101-c51c-4e89-b049-b53941519a87","","checklist-flat","pass","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","Waterproofing to slab edge","MSB area","Enviro HP1200"
"8e389582-fb44-494b-88c2-55e64b513afe","","folder-normal","work-in-progress","","step","TRUE","FALSE","Whitten Oval Stage 2 Redevelopment (main work)"
"620fa832-b6bf-4596-81cc-7f863be78924","","folder-normal","work-in-progress","","step","TRUE","FALSE","Whitten Oval Stage 2 Redevelopment (main work)","PNT-11 (Internal Concrete Floor Sealer - PINK) (No upturns, TBC if required)"
