"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a489d31d-1427-4762-bbbd-bab7adb97e41","","folder-normal","work-in-progress","","step","TRUE","FALSE","FACADE"
"95ac683f-e03f-49bf-81fa-1aee5392bab0","","folder-normal","pass","","step","TRUE","FALSE","FACADE","STAGE 1"
"93ef3ffa-497f-422f-943b-432736de14ff","","checklist-sectioned","pass","Pre-Inspection Checklist","checklist","FALSE","FALSE","FACADE","STAGE 1","Pre-Inspection Checklist"
"22448fce-dc0a-409a-93ef-fdfabfc89cbe","","checklist-flat","pass","Enviro 700X","checklist-flat","FALSE","FALSE","FACADE","STAGE 1","Enviro 700X"
"ed27a548-b0d9-4da1-b2d2-6e014b3cfff0","","checklist-flat","pass","Document Upload Checklist","checklist-flat","FALSE","FALSE","FACADE","STAGE 1","Document Upload Checklist"
"a6b79cc3-9d94-46e8-9f09-704fa4581be9","","folder-normal","pass","","step","TRUE","FALSE","FACADE","STAGE 2"
"03c4454a-7e5e-4b40-8f12-6ca62c71f8fa","","folder-normal","pass","","step","TRUE","FALSE","FACADE","STAGE 2","Consultant Inspection Report"
"1863f219-3a61-4004-9a5b-5c0f90abdd1b","","checklist-flat","pass","Document Upload Checklist","checklist-flat","FALSE","FALSE","FACADE","STAGE 2","Consultant Inspection Report","Document Upload Checklist"
"53024241-06ff-4e0e-8e6f-455fd611300e","","checklist-sectioned","pass","Pre-Inspection Checklist","checklist","FALSE","FALSE","FACADE","STAGE 2","Pre-Inspection Checklist"
"1d2f48e5-a775-4248-8304-69131dd7c1dd","","checklist-flat","pass","Enviro 700X","checklist-flat","FALSE","FALSE","FACADE","STAGE 2","Enviro 700X"
"181daa6e-2ab6-4255-8a1a-c6197cb89671","","folder-normal","pass","","step","TRUE","FALSE","FACADE","STAGE 3"
"ef5a57c9-0cd6-455b-b9d2-82f68b0dcfef","","checklist-sectioned","pass","Pre-Inspection Checklist","checklist","FALSE","FALSE","FACADE","STAGE 3","Pre-Inspection Checklist"
"8f2d2ed5-dda6-4fe3-8f8b-81f19afe523c","","checklist-flat","pass","Enviro 700X","checklist-flat","FALSE","FALSE","FACADE","STAGE 3","Enviro 700X"
"63397bd1-b74e-49da-96a9-8de1c59a1f2d","","folder-normal","not-started","","step","TRUE","FALSE","FACADE","STAGE 4"
"19f27f15-1eb8-4d24-9d8f-8a8207543e22","","checklist-flat","not-started","Document Upload Checklist","checklist-flat","FALSE","FALSE","FACADE","STAGE 4","Document Upload Checklist"
"acbd79ee-f2a8-4689-bbc8-fcf5e0333de2","","checklist-sectioned","not-started","Pre-Inspection Checklist","checklist","FALSE","FALSE","FACADE","STAGE 4","Pre-Inspection Checklist"
"d5a6a9f8-bb87-4ef6-9d98-d37bd354cc0d","","checklist-flat","not-started","Enviro Shield + 700X","checklist-flat","FALSE","FALSE","FACADE","STAGE 4","Enviro Shield + 700X"
"f28b5ec9-d0d7-4fe6-bf76-c259a91de598","","folder-normal","no-status-not-started","","step","FALSE","FALSE","Variations"
