"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b61f67dc-0170-4ec2-91c7-eac96eca8713","","folder-normal","work-in-progress","","step","TRUE","FALSE","SUBSTRUCTURE WATERPROOFING"
"b897d198-06e5-4034-a348-d9fd9e866a30","","folder-normal","work-in-progress","","step","TRUE","FALSE","SUBSTRUCTURE WATERPROOFING","RF2 - Zone 4"
"cd5899b8-e58b-4deb-9b2b-6807fa47aa23","","checklist-flat","not-started","zSYS - Archived checklist 1","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","RF2 - Zone 4","Membrane below pad footing"
"eafcb5d2-f3a1-470b-92bb-5940212baa64","","checklist-flat","not-started","zSYS - Archived checklist 1","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","RF2 - Zone 4","Ditto, to side of pad footing incl slab folds to lift core"
"b3d72d30-5806-4bec-a5b0-a3b2dd6bc801","","checklist-flat","work-in-progress","Enviro BSM + Liquid Membrane / Epoxy Termination","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","RF2 - Zone 4","Membrane Termination to Pad Footing"
"507addb7-37e0-48f0-820a-906a87508aca","","checklist-flat","not-started","zSYS - Archived checklist 2","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","RF2 - Zone 4","Hydrophilic Strip to Retention Wall Interface (as per 19315-RBG-ZZ-ZZ-DR-ST-03033 Rev A1)"
"11f124e6-193d-4ef2-8ba3-c32841bc6b54","","folder-normal","work-in-progress","","step","TRUE","FALSE","SUBSTRUCTURE WATERPROOFING","RF1 - Zone 5"
"be7f6f93-f2c9-411c-86cb-5a9afc990f4e","","checklist-flat","pass","zSYS - Archived checklist 1","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","RF1 - Zone 5","Membrane below pad footing"
"5951bf08-cebd-4e1b-a18b-b0f98454f30c","","checklist-flat","not-started","zSYS - Archived checklist 1","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","RF1 - Zone 5","Ditto, to side of pad footing incl slab folds to lift core"
"7ba11362-d4fc-40dc-9f62-6607d4bbb8c1","","checklist-flat","not-started","zSYS - Archived checklist 1","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","RF1 - Zone 5","Allowance for Lapping to Retention Walls / SOG Membrane"
"3c1d203d-99fc-447a-90c6-a77716d321a2","","checklist-flat","not-started","zSYS - Archived checklist 2","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","RF1 - Zone 5","Hydrophilic Strip to Retention Wall Interface and as per 19315-RBG-ZZ-ZZ-DR-ST-03031 Rev A1 and 19315-RBG-ZZ-ZZ-DR-ST-03032 Rev A1"
"16c29004-5d18-4844-8015-3fa6297b94c2","","folder-normal","work-in-progress","","step","TRUE","FALSE","SUBSTRUCTURE WATERPROOFING","RF3 - Zone 6"
"b7e28581-e2cd-42b5-8ee6-2af2205b57cb","","checklist-flat","work-in-progress","zSYS - Archived checklist 1","checklist-flat","FALSE","FALSE","SUBSTRUCTURE WATERPROOFING","RF3 - Zone 6","Membrane below pad footing"
