"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9a93cfbb-6028-45b5-a823-ad6f77221624","","folder-normal","work-in-progress","","step","TRUE","FALSE","Waterproofing of Lower and Upper tier plat joints "
"267ce325-270c-4b3c-b771-062907dd0e5f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Waterproofing of Lower and Upper tier plat joints ","Debonding Sheet with Trafficable Membrane Strip (12 Months Warranty)"
"8f2a32a9-f176-4807-aca8-07b727b91a03","","folder-normal","pass","","step","TRUE","FALSE","Waterproofing of Lower and Upper tier plat joints ","Debonding Sheet with Trafficable Membrane Strip (12 Months Warranty)","Lower Tier Plats Joints at Treads and Risers (Plat to Plat 15mm joint gap, +/-13mm expected movement)"
"e2fdbf3a-9130-475f-8b27-6f21b442b23c","","checklist-flat","pass","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","Waterproofing of Lower and Upper tier plat joints ","Debonding Sheet with Trafficable Membrane Strip (12 Months Warranty)","Lower Tier Plats Joints at Treads and Risers (Plat to Plat 15mm joint gap, +/-13mm expected movement)","Enviro HP1200+900+800TC"
"df162084-bff3-4f5a-8014-e56ba67e8469","","folder-normal","pass","","step","TRUE","FALSE","Waterproofing of Lower and Upper tier plat joints ","Debonding Sheet with Trafficable Membrane Strip (12 Months Warranty)","Lower Tier Plat Joints between Precast and Insitu Concrete (Floor to Wall Joint 15mm gap, +/-13mm expected movement)"
"13338917-58c0-46dd-82b5-b4c6544f17b2","","checklist-flat","pass","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","Waterproofing of Lower and Upper tier plat joints ","Debonding Sheet with Trafficable Membrane Strip (12 Months Warranty)","Lower Tier Plat Joints between Precast and Insitu Concrete (Floor to Wall Joint 15mm gap, +/-13mm expected movement)","Enviro HP1200+900+800TC"
"04ee7385-0a8b-442d-b689-1f79c756127a","","folder-normal","not-started","","step","TRUE","FALSE","Waterproofing of Lower and Upper tier plat joints ","Debonding Sheet with Trafficable Membrane Strip (12 Months Warranty)","Upper Tier Plats Joints at Treads and Risers (Plat to Plat 15mm joint gap, +/-13mm expected movement)"
"c8608e85-4df6-4ceb-98d3-8fa386116aee","","checklist-flat","not-started","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","Waterproofing of Lower and Upper tier plat joints ","Debonding Sheet with Trafficable Membrane Strip (12 Months Warranty)","Upper Tier Plats Joints at Treads and Risers (Plat to Plat 15mm joint gap, +/-13mm expected movement)","Enviro HP1200+900+800TC"
"0fc9d350-a610-40e0-bbe4-a03a14e33229","","folder-normal","not-started","","step","TRUE","FALSE","Waterproofing of Lower and Upper tier plat joints ","Debonding Sheet with Trafficable Membrane Strip (12 Months Warranty)","Upper Tier Plat Horizontal joints between precast and insitu concrete W: 300mm (Orange mark-up)"
"cab9cc8e-cd9d-4d78-86c9-59107284a058","","checklist-flat","not-started","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","Waterproofing of Lower and Upper tier plat joints ","Debonding Sheet with Trafficable Membrane Strip (12 Months Warranty)","Upper Tier Plat Horizontal joints between precast and insitu concrete W: 300mm (Orange mark-up)","Enviro HP1200+900+800TC"
"0b815261-068c-4454-843c-091cd9e14b0e","","folder-normal","work-in-progress","","step","TRUE","FALSE","WPS-04 Waterproofing to Trafficable Internal Plant Rooms"
"8a331c21-c48b-4923-9dcd-d3821c143115","","folder-normal","not-started","","step","TRUE","FALSE","WPS-04 Waterproofing to Trafficable Internal Plant Rooms","Ground Level"
