Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
Fit Out - Caretaker Room,,,,,,,,
,Scope,,,Fit Out,,,,
,Rows,,,,,,,
,,Building B - Ground Floor,grouping,Building B - Ground Floor,,,,
,,Caretaker Room,,Caretaker Room,Ground Floor,Building B,Fit Out,Site QA
,Columns,,,,,,,
,,Framing,,framing,,,,
,,Plumbing Rough-In,,plumbing rough-in,,,,
,,Fire Rough-In,,fire rough-in,,,,
,,Electrical Rough-In,,electrical rough-in,,,,
,,Mechanical Rough-In,,mechanical rough-in,,,,
,,Pre-Lining,,pre-lining,linings,,,
,,Post-Lining,,post-lining,linings,,,
,,Windows/Doors,,windows / doors,,,,
,,Tiling,,tiling,floor coverings,,,
,,Carpet,,carpet,floor coverings,,,
,,Joinery Fit-Out,,joinery fit-out,,,,
,,Services Fit-Out,,services fit-out,,,,
,,Internal Painting,,internal painting,,,,
