"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7066e144-74d6-4dff-8c27-c41c979a81bd","","work-in-progress","Prestart Inspections","checklist","FALSE","FALSE","Prestart Inspections"
"e87e53d8-ef31-4339-932d-e2747d5e4672","","work-in-progress","","folder","TRUE","FALSE","Unit D"
"b8b826fe-b047-4df2-8e8a-7709573bf3cc","","work-in-progress","","folder","TRUE","FALSE","Unit D","WC"
"d6164799-3108-4324-b129-7f9d1a645ab1","","not-started","QA - Wall/Floor Preparation","checklist","FALSE","FALSE","Unit D","WC","Floor/wall prep"
"e431d7a9-c4c7-49a9-8669-c3c6878b4eae","","pass","QA - Waterproofing","checklist","FALSE","FALSE","Unit D","WC","Waterproofing"
"7f2f79db-7fb7-477e-a39a-cb3fd4e30c99","","not-started","QA - Tiling Installation - WC","checklist","FALSE","FALSE","Unit D","WC","Tiling Installation"
"43960727-e70e-4a86-9f3d-aef8b8bc3642","","not-started","QA - Other Information","checklist","FALSE","FALSE","Unit D","WC","Other Information"
"fee21a68-418c-4bcc-9991-9b2d7a056a96","","not-started","","folder","TRUE","FALSE","Unit E"
"3b878b8c-9c9d-4c29-8257-e586181a7d5b","","not-started","","folder","TRUE","FALSE","Unit E","WC"
"cce02cd7-6ce3-4dff-a92f-bf533b0d7c48","","not-started","QA - Wall/Floor Preparation","checklist","FALSE","FALSE","Unit E","WC","Floor/wall prep"
"34b8340f-1f60-4f78-b098-560dd7b8dc1a","","not-started","QA - Waterproofing","checklist","FALSE","FALSE","Unit E","WC","Waterproofing"
"fe704864-c66e-4e32-8839-ed199f0faf59","","not-started","QA - Tiling Installation - WC","checklist","FALSE","FALSE","Unit E","WC","Tiling Installation"
"1c4419cc-3abc-4715-87b7-4e3ee05d270f","","not-started","QA - Other Information","checklist","FALSE","FALSE","Unit E","WC","Other Information"
"67a64dbd-1227-4734-a611-c06b72092191","","not-started","","folder","TRUE","FALSE","Unit F"
"d60e4140-7de6-451a-af4a-08dcdcd66202","","not-started","","folder","TRUE","FALSE","Unit F","WC"
"85e880f5-4a1e-4a47-968c-6c316f7bcb0c","","not-started","QA - Wall/Floor Preparation","checklist","FALSE","FALSE","Unit F","WC","Floor/wall prep"
"ba323bc5-edb2-4e3b-86b2-db1742304797","","not-started","QA - Waterproofing","checklist","FALSE","FALSE","Unit F","WC","Waterproofing"
"3a398a1d-1d6e-491d-b484-30f96d852021","","not-started","QA - Tiling Installation - WC","checklist","FALSE","FALSE","Unit F","WC","Tiling Installation"
"e7d02ef5-0de6-4bdb-bea4-072615bc89dc","","not-started","QA - Other Information","checklist","FALSE","FALSE","Unit F","WC","Other Information"
"8908fe2b-6157-4fae-b483-65c9d81621ce","","not-started","","folder","TRUE","FALSE","Unit F","ACC"
"5b5322ef-3184-4ef4-b5e7-311249a46ec1","","not-started","QA - Wall/Floor Preparation","checklist","FALSE","FALSE","Unit F","ACC","Floor/wall prep"
"2cc18a16-cce1-45a5-a0a0-7f1456396e40","","not-started","QA - Waterproofing","checklist","FALSE","FALSE","Unit F","ACC","Waterproofing"
"193e87ce-a328-4876-a7cb-aea7b4bade8c","","not-started","QA - Tiling Installation - WC","checklist","FALSE","FALSE","Unit F","ACC","Tiling Installation"
"8a240666-d989-43cb-b8ea-88a475612353","","not-started","QA - Other Information","checklist","FALSE","FALSE","Unit F","ACC","Other Information"
"9806f115-d30a-493f-b1d8-f121e82e4a72","","not-started","","folder","TRUE","FALSE","Unit F","Lobby Floor"
"899dbeb4-02e7-4722-97d1-ffd5a96c594e","","not-started","QA - Demo Works","checklist","FALSE","FALSE","Unit F","Lobby Floor","Demo"
