"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5ad78e37-4bde-4af4-8ce8-54c42cc6c78b","","fail","Prestart Inspections","checklist","FALSE","FALSE","Prestart Inspections"
"c2ce6907-68a1-411b-bb78-fb135738139f","","work-in-progress","","folder","TRUE","FALSE","Floor and Lift Lobby"
"224ff232-b0ac-4de7-ae95-99d54e3ae512","","work-in-progress","QA - Wall/Floor Preparation","checklist","FALSE","FALSE","Floor and Lift Lobby","Wall/floor prep"
"7720d3d6-5ddc-4e29-95dd-7842b4421881","","pass","QA - Waterproofing","checklist","FALSE","FALSE","Floor and Lift Lobby","Waterproofing"
"5ba3733f-34d5-4009-ac90-5f0314e625f7","","not-started","QA - Tiling Installation - Floor & Lift Lobby","checklist","FALSE","FALSE","Floor and Lift Lobby","Tiling Installation"
"eebc4b13-5378-4c6d-a908-55d6b8cf3f3e","","work-in-progress","QA - Other Information","checklist","FALSE","FALSE","Floor and Lift Lobby","Other Information"
"1d89fb07-4f05-45f1-8826-1ab871e7a6b4","","not-started","QA - Final Sign Off for Invoicing","checklist","FALSE","FALSE","Floor and Lift Lobby","Final sign off for invoicing"
"c2b1e9c2-e759-40dc-8e7d-1e60393260f2","","fail","","folder","TRUE","FALSE","Amenities"
"951e1557-2ae2-41f1-89c8-7a91b644fc9a","","fail","QA - Wall/Floor Preparation","checklist","FALSE","FALSE","Amenities","Wall/floor prep"
"d51266b1-ee8f-4c28-acce-f70cb9f13626","","pass","QA - Waterproofing","checklist","FALSE","FALSE","Amenities","Waterproofing"
"2e48d127-b690-4183-a151-24883c9642e7","","work-in-progress","QA - Tiling Installation - Amenities","checklist","FALSE","FALSE","Amenities","Tiling Installation"
"66de8229-007d-47a9-99d8-b0a609760077","","not-started","QA - Other Information","checklist","FALSE","FALSE","Amenities","Other Information"
"09c98911-6d74-4dee-9b65-a2573516b4f4","","not-started","QA - Final Sign Off for Invoicing","checklist","FALSE","FALSE","Amenities","Final sign off for invoicing"
"51c2224f-5f51-4026-b19e-5739d6466409","","work-in-progress","","folder","TRUE","FALSE","Herringbone Timber"
"0712e00e-0aaa-4179-894c-b5f9b0ce4bb2","","pass","QA - Wall/Floor Preparation","checklist","FALSE","FALSE","Herringbone Timber","Wall/floor prep"
"0785e468-e503-42bf-af39-b0cee14723b9","","work-in-progress","QA - Herringbone Timber","checklist","FALSE","FALSE","Herringbone Timber","Herringbone Installation"
"4bcb4b1b-eb37-406d-8af9-91a1df87dfa4","","work-in-progress","QA - Other Information","checklist","FALSE","FALSE","Herringbone Timber","Other Information"
"3c190706-537b-488a-a615-6cd49df64363","","not-started","QA - Final Sign Off for Invoicing","checklist","FALSE","FALSE","Herringbone Timber","Final sign off for invoicing"
"8ea7f5aa-e3e2-42c4-aae0-165706dd19d3","","not-started","","folder","TRUE","FALSE","TL01"
"68a2e141-98f3-46b6-967c-a77c14d67eda","","not-started","QA - Miscellaneous Items","checklist","FALSE","FALSE","TL01","Miscallaneous items"
"6b3d17bd-0891-488e-aa34-b2622ca3c7a0","","not-started","QA - Final Sign Off for Invoicing","checklist","FALSE","FALSE","TL01","Final Sign off for invoicing"
