"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"59fdb687-f293-46bb-9316-2f4cdf3fc038","","pass","Prestart Inspections","checklist","FALSE","FALSE","Prestart Inspections"
"6ff82038-2618-49bf-a711-3a54492a2e5b","","work-in-progress","","folder","TRUE","FALSE","GF Bathroom"
"47c53c00-6927-4438-8bd3-caf6f128afb6","","pass","QA - Floor Prep Bathrooms","checklist","FALSE","FALSE","GF Bathroom","QA - Floor Prep Bathrooms"
"e0433377-6b17-4ecb-a416-a8bedabae062","","pass","QA - Waterproofing","checklist","FALSE","FALSE","GF Bathroom","QA - Waterproofing"
"2afcdb03-728a-45fd-a57b-565bfc50c6af","","not-started","QA - Tiling Installation","checklist","FALSE","FALSE","GF Bathroom","QA - Tiling Installation"
"eff25363-719d-4528-b3c0-5ecb704ece14","","not-started","QA - Other Information","checklist","FALSE","FALSE","GF Bathroom","QA - Other Information"
"2a11a3fe-ec87-4ed8-80d6-5997f421cc87","","work-in-progress","","folder","TRUE","FALSE","GF Ensuite"
"14f2bf0d-6bf0-4805-97f4-39de74a6adfd","","pass","QA - Floor Prep Bathrooms","checklist","FALSE","FALSE","GF Ensuite","QA - Floor Prep Bathrooms"
"862cd54a-d716-4032-9d5b-f5311d811942","","pass","QA - Waterproofing","checklist","FALSE","FALSE","GF Ensuite","QA - Waterproofing"
"512f0ef9-da65-4b1b-a5f6-7665a1e05ef2","","not-started","QA - Tiling Installation","checklist","FALSE","FALSE","GF Ensuite","QA - Tiling Installation"
"fdcdac8b-3462-455c-8dc7-b07fb653df5c","","not-started","QA - Other Information","checklist","FALSE","FALSE","GF Ensuite","QA - Other Information"
"eb46a25c-f939-44a1-ac6b-532e194982f8","","work-in-progress","","folder","TRUE","FALSE","Base Bathroom"
"c7718de5-036d-4441-b977-75cd5767d4d3","","pass","QA - Floor Prep Bathrooms","checklist","FALSE","FALSE","Base Bathroom","QA - Floor Prep Bathrooms"
"7fdb06e8-df5b-4b8b-9e46-efe70bff8c2c","","pass","QA - Waterproofing","checklist","FALSE","FALSE","Base Bathroom","QA - Waterproofing"
"8b6bbedc-f3a5-4750-ae14-f57baf961b1b","","not-started","QA - Tiling Installation","checklist","FALSE","FALSE","Base Bathroom","QA - Tiling Installation"
"703a19b3-0bbf-4556-b9f5-dda9b30c30d7","","not-started","QA - Other Information","checklist","FALSE","FALSE","Base Bathroom","QA - Other Information"
"d7a290fe-529c-4c09-8efb-b9901f35e507","","work-in-progress","","folder","TRUE","FALSE","Spa"
"464a7d38-f75e-4e62-bb28-4b61be47d711","","pass","QA - Floor Prep Bathrooms","checklist","FALSE","FALSE","Spa","QA - Floor Prep Bathrooms"
"fbf97f93-9e72-4213-ba2b-88aac64fa266","","pass","QA - Waterproofing - Spa Room","checklist","FALSE","FALSE","Spa","QA - Waterproofing - Spa Room"
"84979b29-3b36-46fe-83fb-6e252fa39bfb","","not-started","QA - Tiling Installation Spa Room","checklist","FALSE","FALSE","Spa","QA - Tiling Installation Spa Room"
"58317931-3243-437e-abcb-7b41b74a2f81","","not-started","QA - Other Information","checklist","FALSE","FALSE","Spa","QA - Other Information"
"bb480702-6850-463a-99c0-8d7031b1da38","","not-started","","folder","TRUE","FALSE","External Tiling"
"ceb60496-778e-4917-b73d-95f544fb3ceb","","not-started","QA - Crazy Pavers External","checklist","FALSE","FALSE","External Tiling","QA - Crazy Pavers External"
"47a5165b-725d-458d-8028-c4056a4bebfc","","not-started","QA - Other Information","checklist","FALSE","FALSE","External Tiling","QA - Other Information"
"0fd9e388-15da-46aa-a46b-06d6bbc981ff","","not-started","Final Sign Off for Invoicing","checklist","FALSE","FALSE","External Tiling","Final Sign Off for Invoicing"
