"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7280c873-51b1-477b-9141-4ba1d939f0b8","","folder-normal","work-in-progress","","step","TRUE","FALSE","Lightbox Stage 1"
"e152a84d-243f-4984-afb1-69dabe1bb762","","folder-normal","work-in-progress","","step","TRUE","FALSE","Lightbox Stage 1","Carport - Outside Grid A"
"b3cf88dc-c891-4b04-b559-ffd2db8cc777","","folder-normal","pass","","step","TRUE","FALSE","Lightbox Stage 1","Carport - Outside Grid A","Outside Gridline A"
"6c9f3fd1-01e6-4f91-bd3b-176c5300d704","","checklist-flat","pass","21bcae137638761056170d7fed6d50b13c9e14674efdef9fa4233f07a1fc7f48","checklist-flat","FALSE","FALSE","Lightbox Stage 1","Carport - Outside Grid A","Outside Gridline A","Vertical Blockwall - Left Side"
"94e40ec2-c264-5bbe-a781-972551173591","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Outside Gridline A","Vertical Blockwall - Left Side","Substrate is clean, dry and ready"
"4b44270e-13dc-5ab7-be45-59e6429545bc","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Outside Gridline A","Vertical Blockwall - Left Side","3 Coats of Sika blackseal elastic is applied on concrete retained blockwall"
"2039d569-4f00-5196-a036-f8c6973724d4","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Outside Gridline A","Vertical Blockwall - Left Side","Protection board is installed correctly"
"263df0d0-b94e-52a9-b136-a30dc6448b0e","","checkpoint-status","pass","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Outside Gridline A","Vertical Blockwall - Left Side","Area left clean and tidy"
"7515546f-e85d-4c5b-8d9c-8e306301a188","","folder-normal","not-started","","step","TRUE","FALSE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A"
"c8ea2e05-a8e9-44d2-81d6-c80421004ed3","","checklist-sectioned","not-started","QA - Nuraply 3PT and 3PTM Installation Checklist","checklist","FALSE","FALSE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings"
"81a357ac-7f1e-5d7e-9691-e9a68ca49a5b","","checkpoint-group","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","Location of Work"
"a3fd9f69-7236-507e-b194-3a7d8f2b4d2e","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","Location of Work","Area where product is being installed"
"0a8affd9-3aa5-5a02-b3ef-f6c1ea4ac0eb","","checkpoint-group","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist"
"ea2f4a12-298f-555a-940f-ac1722716d2e","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist received from Main Contractor"
"9690029e-bbd5-5cae-872d-54011e0d8ad5","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Concrete cured with curing membranes removed. Concrete substrate contains less
than 5% moisture content"
"f3525f4f-db8c-5e9b-8e5b-d9f1b055ee4c","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Cavities and cracks filled with repair mortar, flushed off and cured."
"13ef9e85-422c-5295-a19f-767f398b4897","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Nuraswell installed to construction joints as per specification - located 50mm from rebar."
"de8d53e1-d9a3-5bf3-a00f-d1f526533146","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Concrete surface firm with any soft concrete or laitance removed."
"ad0b379a-1068-55c8-9b45-b3d461e405ed","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","All protrusions removed. Surface free from foreign matter"
"15217d7a-1659-5c1e-90ec-a8f9ea4ed7b5","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","Mortar or bitumen fillets to all upstands and smooth 5mm radius
to all external edges"
"ce5f1eb5-43f0-5c0c-8cb6-65fc4ddb4ae8","","checkpoint-status","not-started","","","TRUE","TRUE","Lightbox Stage 1","Carport - Outside Grid A","Gridline 3, Outside Grid A","Underfootings","Nuraply 3PT and 3PTM Concrete Substrate Readiness Checklist","If terminating into a chase, pre-form the chase and ensure it’s
straight and 20mm deep."
