"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ff9dcfb0-8871-4ac0-a42a-de92ff45910f","","no-status-not-started","","folder","TRUE","FALSE","Site inspection"
"f3ea4af4-2856-41f4-a1c3-e1526fe11ecd","","work-in-progress","","folder","TRUE","FALSE","Building B"
"add9d14b-8bef-48e5-b4cf-5475cbca1bcc","","work-in-progress","","folder","TRUE","FALSE","Building B","Level 3"
"9ccaf22b-c038-4120-b75b-e57250fb4ac9","","work-in-progress","","folder","TRUE","FALSE","Building B","Level 3","03.B.357"
"1d9ddf1f-97ef-4ef4-9bd1-d907ea7de932","","work-in-progress","","folder","TRUE","FALSE","Building B","Level 3","03.B.357","MMIC-126 A"
"670a15d7-717f-456e-b6e3-18d05f6ba222","","work-in-progress","Equipment Installation","checklist","FALSE","FALSE","Building B","Level 3","03.B.357","MMIC-126 A","Equipment Installation"
"3492994f-009f-41ff-9e36-8516cb0cd3f3","","pass","Equipment Commissioning","checklist","FALSE","FALSE","Building B","Level 3","03.B.357","MMIC-126 A","Equipment Commissioning"
"5bea7138-bdfe-4361-8d47-8393f0493c9d","","work-in-progress","","folder","TRUE","FALSE","Building B","Level 3","03.B.357","MMIC-126 B"
"e21183b4-f4f0-4c69-a5ff-b8bf989e6505","","work-in-progress","Equipment Installation","checklist","FALSE","FALSE","Building B","Level 3","03.B.357","MMIC-126 B","Equipment Installation"
"cec1d026-7d09-458c-9461-1e0b1881a520","","pass","Equipment Commissioning","checklist","FALSE","FALSE","Building B","Level 3","03.B.357","MMIC-126 B","Equipment Commissioning"
"4815a2e1-978c-4534-813b-796f79c72b85","","work-in-progress","","folder","TRUE","FALSE","Building B","Level 3","03.B.357","MMIC-126 C"
"48fec0eb-5053-4d3e-bff6-18a5cbe1a012","","work-in-progress","Equipment Installation","checklist","FALSE","FALSE","Building B","Level 3","03.B.357","MMIC-126 C","Equipment Installation"
"5e79c291-77f3-4e1e-bb64-a395ad3465b7","","pass","Equipment Commissioning","checklist","FALSE","FALSE","Building B","Level 3","03.B.357","MMIC-126 C","Equipment Commissioning"
"aba8b989-99f8-46ff-81fe-b0b0885412a7","","work-in-progress","","folder","TRUE","FALSE","Building B","Level 3","03.B.368"
"f6f65d6c-0603-4e7d-b1f0-06816bb0025e","","work-in-progress","","folder","TRUE","FALSE","Building B","Level 3","03.B.368","MMIC-144 A"
"621e8c89-3029-4f1e-a5f4-42f56355a770","","work-in-progress","Equipment Installation","checklist","FALSE","FALSE","Building B","Level 3","03.B.368","MMIC-144 A","Equipment Installation"
"5ba69667-fb27-4534-9fd6-d7d058961eba","","pass","Equipment Commissioning","checklist","FALSE","FALSE","Building B","Level 3","03.B.368","MMIC-144 A","Equipment Commissioning"
"c5072ba0-cb43-46c1-a1ec-b372a752d06b","","work-in-progress","","folder","TRUE","FALSE","Building B","Level 3","03.B.368","MMIC-144 B"
"6c3b3677-30da-46a9-be5b-c39eccee4fe0","","work-in-progress","Equipment Installation","checklist","FALSE","FALSE","Building B","Level 3","03.B.368","MMIC-144 B","Equipment Installation"
"8634695b-4bde-4416-a9ca-d1c72587ee4e","","pass","Equipment Commissioning","checklist","FALSE","FALSE","Building B","Level 3","03.B.368","MMIC-144 B","Equipment Commissioning"
"a170bdb1-1d55-4a73-9dbc-b378e8d2b745","","work-in-progress","","folder","TRUE","FALSE","Building B","Level 3","03.B.368","MMIC-144 C"
"727d0526-88e3-4fcc-b4d6-497f843c538b","","work-in-progress","Equipment Installation","checklist","FALSE","FALSE","Building B","Level 3","03.B.368","MMIC-144 C","Equipment Installation"
"d6deb649-8e32-4a5d-a592-62d4e33a66b8","","pass","Equipment Commissioning","checklist","FALSE","FALSE","Building B","Level 3","03.B.368","MMIC-144 C","Equipment Commissioning"
