type,name,values,prefix,postfix,usage count,user addable,template name,,,
checklist,ITP-012 – Concrete Culvert,itp,,,,Yes,ITP-012 - Concrete Culvert,6ada54ce-a983-44b6-b9d5-103a4e50c27f,,
section,1.1.0 Pre-construction approvals,,,,,,,,,
checkpoint,1.1.1 - Construction Environmental Management Plan,,,,,,,,,
note,Method/Description - Document Review,,,,,,,,,
note,Test frequency - Prior to work starting ,,,,,,,,,
note,Contractor - H,,,,,,,,,
note,"Verifying Records Checklists, Test and Supplier Certificates - Signed CEMP",,,,,,,,,
checkpoint,1.1.2 - Construction Work Plan,,,,,,,,,
note,Method/Description - Document Review,,,,,,,,,
note,Test frequency - Prior to work starting ,,,,,,,,,
note,Contractor - H,,,,,,,,,
note,"Verifying Records Checklists, Test and Supplier Certificates - Signed off CWP",,,,,,,,,
checkpoint,1.1.3 - IANZ accredited testing organisation,,,,,,,,,
note,Method/Description - Document Review,,,,,,,,,
note,Test frequency - Once prior to works commencing ,,,,,,,,,
note,Contractor - H,,,,,,,,,
note,Designer - H,,,,,,,,,
note,"Verifying Records Checklists, Test and Supplier Certificates - Test and supplier certificates",,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,
checkpoint,1.1.4 - IFC's specification ,,,,,,,,,
note,Method/Description - Document Review,,,,,,,,,
note,Test frequency - Once prior to works commencing ,,,,,,,,,
note,Contractor - H,,,,,,,,,
note,Designer - H,,,,,,,,,
note,"Verifying Records Checklists, Test and Supplier Certificates - IFC specifications or Written approval from PAB",,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,
checkpoint,1.1.5 - IFC drawings,,,,,,,,,
note,Method/Description - Document Review,,,,,,,,,
note,Test frequency - Once prior to works commencing ,,,,,,,,,
note,Contractor - H,,,,,,,,,
note,Designer - H,,,,,,,,,
note,"Verifying Records Checklists, Test and Supplier Certificates - IFC drawings or Written approval from PAB",,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,
checkpoint,1.1.6 - Approved Drainage Strings,,,,,,,,,
note,Method/Description - Document Review,,,,,,,,,
note,Test frequency - Every new Drainage Line and prior to work commencing,,,,,,,,,
note,Contractor - H,,,,,,,,,
note,Designer - H,,,,,,,,,
note,"Verifying Records Checklists, Test and Supplier Certificates - IFC Cover Form",,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,
checkpoint,1.1.7 - Approval of stockpile location,,,,,,,,,
note,Method/Description - Document Review & Approval,,,,,,,,,
note,Test frequency - Prior to works commencing ,,,,,,,,,
note,Contractor - H,,,,,,,,,
note,Designer - R,,,,,,,,,
note,"Verifying Records Checklists, Test and Supplier Certificates - ?",,,,,,,,,
section,1.2.0 Material compliance,,,,,,,,,
checkpoint,1.2.1 - Materials - pipes and fittings,,,,,,,,,
note,"Method/Description - Confirm pipe diameter, class and jointing type as shown on the drawings and that pipes are in correct and good condition.",,,,,,,,,
note,Test frequency - Each delivery to site,,,,,,,,,
note,Contractor - H,,,,,,,,,
note,Designer - W,,,,,,,,,
note,"Verifying Records Checklists, Test and Supplier Certificates - Onsite Check Sheet",,,,,,,,,
checkpoint,1.2.2 - Materials – pipes and pre-cast units (wingwalls),,,,,,,,,
note,Method/Description - Specification compliance – manufacturer’s certificate to TNZ F/3 for pipe and pre-cast units,,,,,,,,,
note,Test frequency - Each delivery to site,,,,,,,,,
note,Contractor - H,,,,,,,,,
note,Designer - W,,,,,,,,,
