type,name,values,prefix,postfix,usage count,user addable,template name,,,
checklist,Sewer- Pipeline Installation Checklist,,,,,,QA - Sewer Pipeline Installation Checklist,,,
section,Pipe Laying,,,,,,,,,
checkpoint,Latest consented drawings,,,,,,,,,
text,Drawing Ref No.,,,,,,,,,
holdpoint,Raise remedial / Request signoff,,,,,,,,,
checkpoint,Setout completed checked and accurate,,,,,,,,,
holdpoint,Raise remedial / Request signoff,,,,,,,,,
checkpoint,Excavation Accurate - Location & Depth,,,,,,,,,
holdpoint,Raise remedial / Request signoff,,,,,,,,,
checkpoint,Ground Conditions Checked & Acceptable,,,,,,,,,
holdpoint,Raise remedial / Request signoff,,,,,,,,,
checkpoint,Bedding depth and material correct,,,,,,,,,
holdpoint,Raise remedial / Request signoff,,,,,,,,,
checkpoint,Correct pipe laid to specified level and grade (all joints sealed correctly as specified),,,,,,,,,
text,Start Invert,,,,,,,,,
text,Finish Invert,,,,,,,,,
text,Grade of Pre-Line %,,,,,,,,,
text,Product Type,,,,,,,,,
checkpoint,"Install Tests completed, reviewed & approved",,,,,,,,,
text,Local Authority Inspection Passed,,,,,,,,,
text,Name of inspector,,,,,,,,,
text,Date,,,,,,,,,
holdpoint,Raise remedial / Request signoff,,,,,,,,,
checkpoint,Pipe Laying Completed,,,,,,,,,
bool,Bedding Sound,,,,,,,,,
bool,Soil Removed,,,,,,,,,
bool,Trench Compacted,,,,,,,,,
bool,Hard Filled,,,,,,,,,
holdpoint,Raise remedial / Request signoff,,,,,,,,,
checkpoint,Connections to manholes complete and approved,,,,,,,,,
holdpoint,Raise remedial / Request signoff,,,,,,,,,
checkpoint,Air Test Complete,,,,,,,,,
holdpoint,Raise remedial / Request signoff,,,,,,,,,
checkpoint,Area of Work Inspection Completed & Sign Off,,,,,,,,,
text,Sign Off By,,,,,,,,,
text,Acknowledgement of checklist by,,,,,,,,,
text,Foreman,,,,,,,,,
holdpoint,Raise remedial / Request signoff,,,,,,,,,
section,Backfill,,,,,,,,,
checkpoint,Backfill methodology and material confirmed,,,,,,,,,
holdpoint,Raise remedial / Request signoff,,,,,,,,,
checkpoint,Any formwork/ debris removed from area,,,,,,,,,
holdpoint,Raise remedial / Request signoff,,,,,,,,,
checkpoint,Any waterproofing/ drainage / service requirements completed and inspected,,,,,,,,,
holdpoint,Raise remedial / Request signoff,,,,,,,,,
checkpoint,Approval given to commence backfill - attach any other relevant inspections and observations closedout,,,,,,,,,
holdpoint,Raise remedial / Request signoff,,,,,,,,,
checkpoint,General photos and observations during backfill,,,,,,,,,
holdpoint,Raise remedial / Request signoff,,,,,,,,,
