resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,
,step,,,Active Projects,,,,,,,,,
,step,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),,,,,,,,
,step,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,,,,,,,
,step,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Rough-in,,,,,,
WG Install Water/Gas Rough-ins - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Rough-in,WG Install Water/Gas Rough-ins - QA Checklist,,,,,
"SD Install Sewer Stacks, Wastes & Vents - QA Checklist",checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Rough-in,"SD Install Sewer Stacks, Wastes & Vents - QA Checklist",,,,,
DP Install Roof/Balcony Downpipes & Overflows - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Rough-in,DP Install Roof/Balcony Downpipes & Overflows - QA Checklist,,,,,
,step,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Fit-off,,,,,,
FO Fit-off Kitchen Sink & Tapware - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Fit-off,FO Fit-off Kitchen Sink & Tapware - QA Checklist,,,,,
FO Fit-off Dishwasher - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Fit-off,FO Fit-off Dishwasher - QA Checklist,,,,,
FO Fit-off Gas Appliance - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Fit-off,FO Fit-off Gas Appliance - QA Checklist,,,,,
FO Fit-off Laundry Trough & Tapware - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Fit-off,FO Fit-off Laundry Trough & Tapware - QA Checklist,,,,,
FO Fit-off Washing Machine Stops - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Fit-off,FO Fit-off Washing Machine Stops - QA Checklist,,,,,
FO Fit-off Toilet & Cistern - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Fit-off,FO Fit-off Toilet & Cistern - QA Checklist,,,,,
FO Fit-off Wash Basin & Tapware - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Fit-off,FO Fit-off Wash Basin & Tapware - QA Checklist,,,,,
FO Fit-off Shower & Tapware - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Fit-off,FO Fit-off Shower & Tapware - QA Checklist,,,,,
FO Fit-off Bath & Tapware - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Fit-off,FO Fit-off Bath & Tapware - QA Checklist,,,,,
FO Fit-off Hot Water Unit - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Fit-off,FO Fit-off Hot Water Unit - QA Checklist,,,,,
,step,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Plumbing Testing,,,,,,
TST Test Water Service Pipework - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Plumbing Testing,TST Test Water Service Pipework - QA Checklist,,,,,
TST Test Gas Services Pipework - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Plumbing Testing,TST Test Gas Services Pipework - QA Checklist,,,,,
,step,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Commissioning,,,,,,
COM Commission Rain Water Storage Tank & Pump - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Commissioning,COM Commission Rain Water Storage Tank & Pump - QA Checklist,,,,,
COM Commission Hot Water Unit - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Commissioning,COM Commission Hot Water Unit - QA Checklist,,,,,
COM Commission Gas Appliance - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Commissioning,COM Commission Gas Appliance - QA Checklist,,,,,
COM Commission Water Meter - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Commissioning,COM Commission Water Meter - QA Checklist,,,,,
COM Commission Gas Meter - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Commissioning,COM Commission Gas Meter - QA Checklist,,,,,
COM Commission Backflow Prevention Device - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Commissioning,COM Commission Backflow Prevention Device - QA Checklist,,,,,
COM Commissioning Final Handover - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),1. Residential Plumbing,Commissioning,COM Commissioning Final Handover - QA Checklist,,,,,
,step,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),2. Residential Drainage,,,,,,,
,step,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),2. Residential Drainage,Sewer/Stormwater Drainage,,,,,,
SD Install Sewer/Stormwater Drainage - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),2. Residential Drainage,Sewer/Stormwater Drainage,SD Install Sewer/Stormwater Drainage - QA Checklist,,,,,
SD Post Installation Drainage CCTV Recording - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),2. Residential Drainage,Sewer/Stormwater Drainage,SD Post Installation Drainage CCTV Recording - QA Checklist,,,,,
SD Install Sewer/Stormwater Roll-Overs - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),2. Residential Drainage,Sewer/Stormwater Drainage,SD Install Sewer/Stormwater Roll-Overs - QA Checklist,,,,,
WG Install Water/Gas Lead-ins - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),2. Residential Drainage,Sewer/Stormwater Drainage,WG Install Water/Gas Lead-ins - QA Checklist,,,,,
,step,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),2. Residential Drainage,Drain Testing,,,,,,
TST Test Sewer/Stormwater Drainage - QA Checklist,checklist,,,Active Projects,4. Residential House (DEMO FOLDER - RENAME THIS FOLDER AS REQUIRED),2. Residential Drainage,Drain Testing,TST Test Sewer/Stormwater Drainage - QA Checklist,,,,,
,step,,,Active Projects,Rename for new job,,,,,,,,
,step,,,Active Projects,Rename for new job,1. Residential Plumbing,,,,,,,
,step,,,Active Projects,Rename for new job,1. Residential Plumbing,Rough-in,,,,,,
WG Install Water/Gas Rough-ins - QA Checklist,checklist,,,Active Projects,Rename for new job,1. Residential Plumbing,Rough-in,WG Install Water/Gas Rough-ins - QA Checklist,,,,,
"SD Install Sewer Stacks, Wastes & Vents - QA Checklist",checklist,,,Active Projects,Rename for new job,1. Residential Plumbing,Rough-in,"SD Install Sewer Stacks, Wastes & Vents - QA Checklist",,,,,
DP Install Roof/Balcony Downpipes & Overflows - QA Checklist,checklist,,,Active Projects,Rename for new job,1. Residential Plumbing,Rough-in,DP Install Roof/Balcony Downpipes & Overflows - QA Checklist,,,,,
,step,,,Active Projects,Rename for new job,1. Residential Plumbing,Fit-off,,,,,,
FO Fit-off Kitchen Sink & Tapware - QA Checklist,checklist,,,Active Projects,Rename for new job,1. Residential Plumbing,Fit-off,FO Fit-off Kitchen Sink & Tapware - QA Checklist,,,,,
FO Fit-off Dishwasher - QA Checklist,checklist,,,Active Projects,Rename for new job,1. Residential Plumbing,Fit-off,FO Fit-off Dishwasher - QA Checklist,,,,,
FO Fit-off Gas Appliance - QA Checklist,checklist,,,Active Projects,Rename for new job,1. Residential Plumbing,Fit-off,FO Fit-off Gas Appliance - QA Checklist,,,,,
FO Fit-off Laundry Trough & Tapware - QA Checklist,checklist,,,Active Projects,Rename for new job,1. Residential Plumbing,Fit-off,FO Fit-off Laundry Trough & Tapware - QA Checklist,,,,,
FO Fit-off Washing Machine Stops - QA Checklist,checklist,,,Active Projects,Rename for new job,1. Residential Plumbing,Fit-off,FO Fit-off Washing Machine Stops - QA Checklist,,,,,
FO Fit-off Toilet & Cistern - QA Checklist,checklist,,,Active Projects,Rename for new job,1. Residential Plumbing,Fit-off,FO Fit-off Toilet & Cistern - QA Checklist,,,,,
FO Fit-off Wash Basin & Tapware - QA Checklist,checklist,,,Active Projects,Rename for new job,1. Residential Plumbing,Fit-off,FO Fit-off Wash Basin & Tapware - QA Checklist,,,,,
FO Fit-off Shower & Tapware - QA Checklist,checklist,,,Active Projects,Rename for new job,1. Residential Plumbing,Fit-off,FO Fit-off Shower & Tapware - QA Checklist,,,,,
FO Fit-off Bath & Tapware - QA Checklist,checklist,,,Active Projects,Rename for new job,1. Residential Plumbing,Fit-off,FO Fit-off Bath & Tapware - QA Checklist,,,,,
FO Fit-off Hot Water Unit - QA Checklist,checklist,,,Active Projects,Rename for new job,1. Residential Plumbing,Fit-off,FO Fit-off Hot Water Unit - QA Checklist,,,,,
,step,,,Active Projects,Rename for new job,1. Residential Plumbing,Plumbing Testing,,,,,,
TST Test Water Service Pipework - QA Checklist,checklist,,,Active Projects,Rename for new job,1. Residential Plumbing,Plumbing Testing,TST Test Water Service Pipework - QA Checklist,,,,,
TST Test Gas Services Pipework - QA Checklist,checklist,,,Active Projects,Rename for new job,1. Residential Plumbing,Plumbing Testing,TST Test Gas Services Pipework - QA Checklist,,,,,
,step,,,Active Projects,Rename for new job,1. Residential Plumbing,Commissioning,,,,,,
COM Commission Rain Water Storage Tank & Pump - QA Checklist,checklist,,,Active Projects,Rename for new job,1. Residential Plumbing,Commissioning,COM Commission Rain Water Storage Tank & Pump - QA Checklist,,,,,
COM Commission Hot Water Unit - QA Checklist,checklist,,,Active Projects,Rename for new job,1. Residential Plumbing,Commissioning,COM Commission Hot Water Unit - QA Checklist,,,,,
COM Commission Gas Appliance - QA Checklist,checklist,,,Active Projects,Rename for new job,1. Residential Plumbing,Commissioning,COM Commission Gas Appliance - QA Checklist,,,,,
COM Commission Water Meter - QA Checklist,checklist,,,Active Projects,Rename for new job,1. Residential Plumbing,Commissioning,COM Commission Water Meter - QA Checklist,,,,,
COM Commission Gas Meter - QA Checklist,checklist,,,Active Projects,Rename for new job,1. Residential Plumbing,Commissioning,COM Commission Gas Meter - QA Checklist,,,,,
COM Commission Backflow Prevention Device - QA Checklist,checklist,,,Active Projects,Rename for new job,1. Residential Plumbing,Commissioning,COM Commission Backflow Prevention Device - QA Checklist,,,,,
COM Commissioning Final Handover - QA Checklist,checklist,,,Active Projects,Rename for new job,1. Residential Plumbing,Commissioning,COM Commissioning Final Handover - QA Checklist,,,,,
,step,,,Active Projects,Rename for new job,2. Residential Drainage,,,,,,,
,step,,,Active Projects,Rename for new job,2. Residential Drainage,Sewer/Stormwater Drainage,,,,,,
SD Install Sewer/Stormwater Drainage - QA Checklist,checklist,,,Active Projects,Rename for new job,2. Residential Drainage,Sewer/Stormwater Drainage,SD Install Sewer/Stormwater Drainage - QA Checklist,,,,,
SD Post Installation Drainage CCTV Recording - QA Checklist,checklist,,,Active Projects,Rename for new job,2. Residential Drainage,Sewer/Stormwater Drainage,SD Post Installation Drainage CCTV Recording - QA Checklist,,,,,
SD Install Sewer/Stormwater Roll-Overs - QA Checklist,checklist,,,Active Projects,Rename for new job,2. Residential Drainage,Sewer/Stormwater Drainage,SD Install Sewer/Stormwater Roll-Overs - QA Checklist,,,,,
WG Install Water/Gas Lead-ins - QA Checklist,checklist,,,Active Projects,Rename for new job,2. Residential Drainage,Sewer/Stormwater Drainage,WG Install Water/Gas Lead-ins - QA Checklist,,,,,
,step,,,Active Projects,Rename for new job,2. Residential Drainage,Drain Testing,,,,,,
TST Test Sewer/Stormwater Drainage - QA Checklist,checklist,,,Active Projects,Rename for new job,2. Residential Drainage,Drain Testing,TST Test Sewer/Stormwater Drainage - QA Checklist,,,,,
