type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-sectioned,Delivery / Installation Day Checklist,,,,,Yes,Delivery / Installation Day Checklist,2065697a-ca9d-40de-85ec-d5b516bda72e
checkpoint-group,HOLD POINT - Confirmation of slab strength,,,,,,,
checkpoint-status,Has the slab reached the minimum strength required (UPLOAD copy of concrete slab test result),,,,,,,
label,12MPa for cast-in anchors and 20MPa for post installed anchors,,,,,,,
checkpoint-group,Prestart / Start-up,,,,,,,
checkpoint-status,Date of Installation,,,,,,,
checkpoint-status,List names of Installation team completing the install today,,,,,,,
checkpoint-status,Exclusion Zone is set up (PHOTO REQUIRED of the exclusion zone),,,,,,,
checkpoint-status,Plant & Equipment prestart/logbooks filled out (PHOTO REQUIRED of logbooks),,,,,,,
checkpoint-status,Toolbox Talk / Pre-Start has been completed (PHOTO REQUIRED of talk),,,,,,,
checkpoint-group,Summary of the day,,,,,,,
checkpoint-status,Hours worked,,,,,,,
select,Time started on site,"05:00AM, 05:30AM, 06:00AM, 06:30AM, 07:00AM, 07:30AM, 08:00AM, 08:30AM, 09:00AM, 09:30AM, 10:00AM, 10:30AM, 11:00AM, 11:30AM, 12:00PM, 12:30PM, 01:00PM, 01:30PM, 02:00PM, 02:30PM, 03:00PM, 03:30PM, 04:00PM, 04:30PM, 05:00PM, 05:30PM, 06:00PM, 06:30PM",,,,,,
select,Time finished on site,"05:00AM, 05:30AM, 06:00AM, 06:30AM, 07:00AM, 07:30AM, 08:00AM, 08:30AM, 09:00AM, 09:30AM, 10:00AM, 10:30AM, 11:00AM, 11:30AM, 12:00PM, 12:30PM, 01:00PM, 01:30PM, 02:00PM, 02:30PM, 03:00PM, 03:30PM, 04:00PM, 04:30PM, 05:00PM, 05:30PM, 06:00PM, 06:30PM",,,,,,
checkpoint-status,Elements Installed today,,,,,,,
label,COMMENT below if number of elements installed doesn't match the Load Lists in the Safe Load Declarations,,,,,,,
select,How many elements were installed today?,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40",,,,,,
checkpoint-status,Were there any delays?,,,,,,,
label,COMMENT below in enough detail to explain the delay and what caused it. Add PHOTO if it helps record the delay.,,,,,,,
select,How long was the delay?,"N/A, 30mins, 1hr, 1.5hr, 2hr, 2.5hr, 3hr, 3.5hr, 4hr, 4.5hr, 5hr, 5.5hr, 6hr, 6.5hr, 7hr, 7.5hr, 8hr",,,,,,
select,How many installers were impacted by the delay/s?,"1, 2, 3, 4, 5, 6",,,,,,
select,How many trucks were impacted by the delay/s?,"1, 2, 3, 4, 5, 6",,,,,,
checkpoint-status,Builder sign-off,,,,,,,
label,By signing below you acknowledge the above summary as a true and accurate record of the day.,,,,,,,
holdpoint,Builder Signature (must be authorised person),,,,,,,
,,,,,,,,
checklist-flat,Safe Load Declaration Checklist,,,,,Yes,Safe Load Declaration Checklist,58eae75f-68ce-49a5-a7e1-0db2350346e1
checkpoint-status,Details complete,,,,,,,
text,Date:,,,,,,,
text,Time truck arrived at Factory:,,,,,,,
text,Time truck departed Factory:,,,,,,,
text,Project Name:,,,,,,,
text,Delivery Address:,,,,,,,
text,Transport Company:,,,,,,,
text,Truck Registration #,,,,,,,
text,Trailer Registration,,,,,,,
select,Trailer Type:,"Drop Deck, Drop Deck No Frame, Flat Top, Layover, Super Layover, Commission",,,,,,
checkpoint-status,Upload photo of Load List used for load,,,,,,,
checkpoint-status,Upload photos of both sides of loaded truck (after being chained down),,,,,,,
checkpoint-status,Load Declaration,,,,,,,
label,"In signing below, you agree and acknowledge that:",,,,,,,
label,You are not permitted to leave the Euro Precast factory unless a Safe Load Declaration has been completed,,,,,,,
label,You have been provided with a copy of the load list that indicates individual element weights and total approximate load weight (excluding trailer/frame weight),,,,,,,
label,You have chained down all units/elements in a safe and secure manner and in accordance with the latest published government/industry best practice guidance material,,,,,,,
label,"You will abide by all safety rules, PPE requirements and client instructions on the project site at all times.",,,,,,,
label,"You as an individual, the truck, the trailer and load comply with the latest requirements of the Heavy Vehicle National Law and Regulations (HVNL)",,,,,,,
holdpoint,Driver Signature (must include Company),,,,,,,
