"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e4d53b8b-082a-4b09-8189-34613b4cfe72","","folder-normal","work-in-progress","","step","TRUE","FALSE","Basement"
"d2d828c6-4005-4f35-b71a-b44c28156042","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Area A"
"3936abda-b6e8-4e46-8045-db96e0049be6","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Area A","Stair 3 Lobby"
"129fc3ef-85b3-4580-a35b-e3d524a7e3f5","","checklist-flat","not-started","B03/B04 - Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","Basement","Area A","Stair 3 Lobby","Rough In (Cavity Pockets & PMJ)"
"771af61a-8210-5ebb-9193-d3f57b24b770","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Stair 3 Lobby","Rough In (Cavity Pockets & PMJ)","Cavity pockets installed"
"105a75ca-b7f0-5fd8-ac93-7e150b6c2ba1","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Stair 3 Lobby","Rough In (Cavity Pockets & PMJ)","Install pressed metal jamb"
"655410bb-bcfa-4e87-83df-a2fc4e0cfed7","","checklist-flat","not-started","3c80b4eb5e8541e4cceff7b15c669a98c175e8569e5495aa3fd901b0c29c1880","checklist-flat","FALSE","FALSE","Basement","Area A","Stair 3 Lobby","Common Area Checklist"
"efc8b132-0f94-52d7-b877-a72a8cdd8f72","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Stair 3 Lobby","Common Area Checklist","Installation of skirting"
"3fe082b1-0f65-5559-a68a-8571361cb8d2","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Stair 3 Lobby","Common Area Checklist","Installation of architraves"
"84bffa85-3ff2-526f-bf29-d0bb7fbfc0e4","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Stair 3 Lobby","Common Area Checklist","Installation of dado rail"
"c37f27da-4db5-5ca1-b497-3b109a086230","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Stair 3 Lobby","Common Area Checklist","Installation of arcade joinery (where required)"
"57a25448-dcc6-5250-8644-4b6a76cd8c51","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Stair 3 Lobby","Common Area Checklist","Installation of fire doors"
"95530699-6158-5af7-9787-4e6a4a0d93af","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Stair 3 Lobby","Common Area Checklist","Installation of all door hardware & door closes sufficiently"
"c12beae4-eccd-5929-af98-2f0c22bcd80d","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Stair 3 Lobby","Common Area Checklist","Fire tags installed on the door and door jamb"
"314cd3c4-ca99-5c0d-86ce-93dd9fcd441c","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Stair 3 Lobby","Common Area Checklist","Area left clean and tidy (attach photo)"
"bb71b52f-b65c-5895-bd91-e9598ab88db4","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Stair 3 Lobby","Common Area Checklist","All work 100% completed to required specifications"
"d834d5f9-c1a3-4bc1-a75b-98331c55344e","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Area A","Water Meter Room"
"dfb9628a-3177-4c5e-8bb8-ededa9f9b9ca","","checklist-flat","not-started","B03/B04 - Rough In (Cavity Pockets & PMJ)","checklist-flat","FALSE","FALSE","Basement","Area A","Water Meter Room","Rough In (Cavity Pockets & PMJ)"
"7589d0e8-e6c3-5a48-9da0-31eb0db58880","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Water Meter Room","Rough In (Cavity Pockets & PMJ)","Cavity pockets installed"
"f5473b41-0501-50bb-bb2a-9a274fd12fd7","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Area A","Water Meter Room","Rough In (Cavity Pockets & PMJ)","Install pressed metal jamb"
"0c660700-077f-4d1c-a6c0-b4674eab4234","","checklist-flat","not-started","3c80b4eb5e8541e4cceff7b15c669a98c175e8569e5495aa3fd901b0c29c1880","checklist-flat","FALSE","FALSE","Basement","Area A","Water Meter Room","Common Area Checklist"
