"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3978a4b0-4fc9-47e4-ab6f-a3a3e80b1ffb","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"f3206cc2-1f9d-49ba-8fb6-f6e913dafcdb","","work-in-progress","","folder","TRUE","FALSE","Project QA","Phase 2"
"dbce7b16-a4e8-480c-b078-6bdd8fa4ae08","","pass","","folder","TRUE","FALSE","Project QA","Phase 2","Stage 1"
"d01395cc-efbf-4c80-83da-39c27181579a","","pass","Upper Roof","checklist","FALSE","FALSE","Project QA","Phase 2","Stage 1","Upper Roof"
"22518848-4a39-5590-90b7-c1a36b25d139","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Upper Roof","Delap photos"
"b2caad2f-c53b-5fbb-a67e-2887e8b38f46","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Upper Roof","Clean roof"
"aea9df17-783b-59cb-b79d-485d806c4ecb","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Upper Roof","Remove existing cap flashings"
"85f5090c-af95-5d70-805b-a65fc0a24695","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Upper Roof","Install screws to substrate"
"de76eb9a-684b-52a7-87b4-1a4f2f242021","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Upper Roof","Install Trough Infill PIR"
"baaa0eec-32c8-54db-b133-1b574a8befad","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Upper Roof","New Vapour Barrier"
"8c4b3fa9-cd9c-54ae-8067-8bcdad2ff05f","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Upper Roof","New 40mm PIR"
"52bfd2ec-ba78-58cf-a03c-5a13af105f9d","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Upper Roof","New Fibretite Membrane"
"e256c887-9328-59b2-a175-d30fcc7cde09","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Upper Roof","New Fascias"
"ce3c2660-7014-5c85-ad22-cd65f662d9df","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Upper Roof","Parapet flashing"
"4b7e1e77-8f21-58f7-be12-d34177fef36e","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Upper Roof","Gutters and Down pipies"
"d3cf40a7-8942-48f2-b804-0956eadd1644","","pass","Lower Roof","checklist","FALSE","FALSE","Project QA","Phase 2","Stage 1","Lower Roof"
"8ead0f73-91ef-5e5c-b1b2-782afb0721cf","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Lower Roof","Delap photos"
"a9d23f45-6dcf-554f-b9da-844eb7db5e2c","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Lower Roof","Clean Roof"
"287bff10-57b6-5a0c-aca4-5c36f243d95a","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Lower Roof","Remove existing cap flashings"
"448acd11-9ce3-5901-b132-7cc70d78fa96","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Lower Roof","Install screws to substrate"
"6bb0b9bb-7fca-5b93-bbff-c6b1aff4f7e5","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Lower Roof","Install Trough Infill PIR"
"c16e863e-4431-58bb-911c-44ae2cc4825f","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Lower Roof","New Vapour Barrier"
"b8a7e400-a45e-550d-b0b4-03434cfb154a","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Lower Roof","New 40mm PIR"
"56d8ffea-0541-5286-863b-015445f7c739","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Lower Roof","New Fibretite Membrane"
"7b0a5b15-8e12-5bb5-84ca-eb26382311f1","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Lower Roof","New Fascias"
"75fe2ca3-08dc-5f34-8f37-53135f03244d","","not-applicable","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Lower Roof","Parapet flashing"
"0ecb5157-fd31-57cc-baf5-de7850b9a58d","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Lower Roof","Gutters and Down pipies"
"2d5f0396-4969-484c-9db9-8b6ec42b168a","","pass","","folder","TRUE","FALSE","Project QA","Phase 2","Stage 1","Windows"
"2588767a-e85a-42c0-bd36-1125c45bfcd4","","pass","nAJ0 - Window","checklist","FALSE","FALSE","Project QA","Phase 2","Stage 1","Windows","nAJ01"
"ad6458cf-4735-5958-b740-8260c08c1a73","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ01","Window removed"
"e73b997f-8563-5267-b173-9c07ebb0d276","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ01","New Window Opening"
"04f44eb7-91a4-5a13-9552-06aa78b04eff","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ01","Sill chamered to form Fall"
"161431bc-b885-5d45-82f7-b82ae1089a01","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ01","Window Tape"
"7ed71453-aa24-505f-b346-263c2aa80ad2","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ01","Sill Flashing Installed"
"e10239b6-9e32-5460-b20c-4ca116c31589","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ01","Cavity Batten Installed"
"c0cee21b-93d1-52df-9f0d-b2447453250b","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ01","Window Installed"
"a0caa2eb-d476-5c82-ae43-272d3925d553","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ01","Head Flashing Installed"
"3b0607c2-186c-5292-81b4-b59fe5d0ec3f","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ01","Gib and Architraves"
"19398799-e830-50f2-84b4-124cc6a1da30","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ01","Window opener installed"
"a9afc67c-8f12-4a08-9739-5fbfc4ff8385","","pass","nAJ0 - Window","checklist","FALSE","FALSE","Project QA","Phase 2","Stage 1","Windows","nAJ02"
"711ef3b8-769a-57cb-8fc7-4d40b1730db4","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ02","Window removed"
"207263f1-14b7-583d-bf1d-2e37d96a8e58","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ02","New Window Opening"
"bc10ce1b-bbd1-545c-b540-4780a0af311e","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ02","Sill chamered to form Fall"
"6fff0331-b398-5f6b-bf79-d15b606a7969","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ02","Window Tape"
"830e150b-3eac-56d3-bf10-cef5b06c66ba","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ02","Sill Flashing Installed"
"ad92fca0-e165-5040-9545-81eb68c2df3b","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ02","Cavity Batten Installed"
"a207f139-e943-505a-b051-e080921e4284","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ02","Window Installed"
"5a61442b-25f9-5979-8863-ac544884e405","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ02","Head Flashing Installed"
"e550c79e-c533-51b6-9e51-b6f7847b9031","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ02","Gib and Architraves"
"02b5595d-7ca8-5e80-a484-25a86740867f","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ02","Window opener installed"
"08029b34-a568-4967-98f6-e1cbcd09be77","","pass","nAJ0 - Window","checklist","FALSE","FALSE","Project QA","Phase 2","Stage 1","Windows","nAJ03"
"8cc1c325-ec11-5bd4-84fc-1a2eed0e99a9","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ03","Window removed"
"0de689c6-dac6-5302-8390-9cdbff7e4a59","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ03","New Window Opening"
"f069e44e-3a4c-51f9-b93b-01de5ae13c7e","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ03","Sill chamered to form Fall"
"1c309f39-85ff-52e6-beaf-3258c3c6755a","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ03","Window Tape"
"8a8b9e08-5018-5ea9-845d-312132aac307","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ03","Sill Flashing Installed"
"6955d3a9-cab0-5091-8475-d9ead138fc94","","pass","","checkpoint","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ03","Cavity Batten Installed"
