type,name,values,prefix,postfix,usage count,user addable,template name
checklist-sectioned,Cast-in/Peno + Hydro Test (COMBINED),,,,,Yes,Cast-in/Peno + Hydro Test (COMBINED)
checkpoint-group,Cast-Ins/penetrations,,,,,,
checkpoint-status,Are the latest Version of the drawings being used for the work,,,,,,
text,Drawing number/s are noted on ITP,,,,,,
checkpoint-status,Location of pipework is as per IFC drawing & CYP site survey set out,,,,,,
button,Drain / Penetration type,"Permanent, Provisional",,,,,
checkpoint-status,Pipe materials used are as per Tunnel and stations hydraulic services specification (TAS-CYP-SDU-ZWD-SPC-BSH-SDU-B0001 REV-B),,,,,,
button,Pipework material used,"HDPE, Cast Iron, Poly",,,,,
checkpoint-status,HOLDPOINT - Verify steps 1 to 6 are compliant with applicable supporting documentation. Visualised by Nominated CYP Authority,,,,,,
checkpoint-status,Invert levels as per drawings,,,,,,
checkpoint-status,No damage to pipework or fittings - Attach Photos below,,,,,,
checkpoint-status,Correct drainage venting per AS 3500.2 2018 sec 3.9,,,,,,
checkpoint-status,Correct fire protection / fire collars as per C3.15 of the BCA AS4072.1,,,,,,
checkpoint-status,Type & Brand of collar used,,,,,,
checkpoint-status,All points are connected,,,,,,
checkpoint-status,Pipework on correct grade as per AS 3500.2 2015 Table 3.4.1,,,,,,
checkpoint-status,Pipes are clean & Clear of debris  -  Welded  /  Glued,,,,,,
checkpoint-status,Joint method defect free (Compression band) (Electro fusion) (Glued),,,,,,
checkpoint-status,Has the pipework been witness marked and signed upon positive visual inspection of chosen method of jointing,,,,,,
checkpoint-status,Pressurised pipework to 15 Kpa,,,,,,
label,Settle time for test is 3 min then an additional test time of 5 min Maximum pressure drop is +/- 3 Kpa over a 5 min period,,,,,,
checkpoint-status,Hold Point - CYP Nominated Authority sign off test,,,,,,
label,Attach Signature(s) below,,,,,,
checkpoint-status,Pipe clipping on grade as per AS 3500.3 Clause 4.9.6.2,,,,,,
label,Vertical clip spacing as per AS 3500.3 Clause 4.9.6.2,,,,,,
checkpoint-status,Pipe lagged in accordance with tunnel and stations hydraulic services specification,,,,,,
label,Specifications (TAS-CYP-SDU-ZWD-SPC-BSH-SDU-B0001 REV-B),,,,,,
checkpoint-status,Has excess pipework been picked up for completed works,,,,,,
checkpoint-status,FINAL - Pipework completed to specification/drawings - Area left clean & tidy,,,,,,
boolean,Axis - General photos/comments attached below,,,,,,
boolean,CYP Nominated comments - General comments attached below,,,,,,
boolean,SIGN-OFF - Axis & CYP Nominated Signature(s) attached below,,,,,,
checkpoint-group,Hydrostatic Pressure Test,,,,,,
checkpoint-status,Test Details - Pass once entered,,,,,,
text,Location (Area/Level/Zone),,,,,,
label,Testing Calibration Certificate Uploaded Per Level,,,,,,
text,Service,,,,,,
text,Testing Apparatus Type & Number (Input or Attach photo below),,,,,,
checkpoint-status,Final Hydrostatic/Pressure Test,,,,,,
label,Minimum 15kPa,,,,,,
