"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"OFFSITE - Fabrication of ALPOLIC NC Checklist Progress"
,"Scope",,
,"Rows"
,,"Shop Drawing - SKP-GAB-003","dynamic","manufacturing / off-site qa","shop drawing - skp-gab-003"
,,"Shop Drawing - SKP-GAB-004","dynamic","manufacturing / off-site qa","shop drawing - skp-gab-004"
,,"Shop Drawing - SKP-GAB-005","dynamic","shop drawing - skp-gab-005","manufacturing / off-site qa"
,,"Shop Drawing - SKP-GAB-006","dynamic","shop drawing - skp-gab-006","manufacturing / off-site qa"
,,"Shop Drawing - SKP-GAB-007","dynamic","manufacturing / off-site qa","shop drawing - skp-gab-007"
,,"Shop Drawing - SKP-GAB-007","dynamic","manufacturing / off-site qa","shop drawing - skp-gab-007"
,"Columns"
,,"Ensure CNC machine operator daily checklist has been undertaken",,"ensure cnc machine operator daily checklist has been undertaken"
,,"Nest summary and site drawings provided by programmer, file number printed on paperwork corresponds with file programmed in CNC",,"nest summary and site drawings provided by programmer, file number printed on paperwork corresponds with file programmed in cnc"
,,"Check currency of Drawings and Approved",,"check currency of drawings and approved"
,,"Check Alpolic NC 4mm pre-finished sheet is selected.",,"check alpolic nc 4mm pre-finished sheet is selected."
,,"Colour and sheet size corresponds with fabrication drawings and nesting.",,"colour and sheet size corresponds with fabrication drawings and nesting."
,,"Sheets are not bent, scratched or damaged before placing on CNC table",,"sheets are not bent, scratched or damaged before placing on cnc table"
,,"No metal filings located on CNC table or sheets prior to placing sheet on bed. Compressed air used to remove any debris",,"no metal filings located on cnc table or sheets prior to placing sheet on bed. compressed air used to remove any debris"
,,"Fluid levels, suction pressures and functions are optimum. Correct tooling is selected and utilized",,"fluid levels, suction pressures and functions are optimum. correct tooling is selected and utilized"
,,"Ensure Minimum route depth thickness is maintained at .9mm",,"ensure minimum route depth thickness is maintained at .9mm"
,,"Panel numbers engraved into back of panel correspond with file numbers and fabrication drawings",,"panel numbers engraved into back of panel correspond with file numbers and fabrication drawings"
,,"Corresponding bracket sizes are written on back of panel as per fabrication drawings",,"corresponding bracket sizes are written on back of panel as per fabrication drawings"
,,"Panels are checked off as machined once machining has terminated",,"panels are checked off as machined once machining has terminated"
,,"Panels stacked neatly on edge on A frame back to back - face to face.",,"panels stacked neatly on edge on a frame back to back - face to face."
,,"Correct tooling used to fold edges of panels. Panel returns folded neatly and square",,"correct tooling used to fold edges of panels. panel returns folded neatly and square"
,,"Panel cleaned of any excess cutting lubricant or foreign debris. Back of panel is clean.",,"panel cleaned of any excess cutting lubricant or foreign debris. back of panel is clean. back of panel be adraided via palm sander with 40 grit sandpaper at stiffener locations as per dowsil recomendations. locations to be cleaned with clean cloth and isopropanol prior to stiffener application."
,,"Correct sized mill finished aluminum 6063 -T5 2.5mm 'Z' brackets run full length of folds and finish no more than 30mm from edge of panel. Correctly positioned perimeter Z bracket",,"correct sized mill finished aluminum 6063 -t5 2.5mm 'z' brackets run full length of folds and finish no more than 30mm from edge of panel. correctly positioned perimeter z bracket"
,,"Dowsil 795 Structural Silicon used to adhere stiffeners to back of panel. Dowsil 795 to be applied continuously to both sides of stiffeners 6mm thick x 6mm wide.",,"dowsil 795 structural silicon used to adhere stiffeners to back of panel. dowsil 795 to be applied continuously to both sides of stiffeners 6mm thick x 6mm wide."
,,"Z' brackets fixed to folded returns via ICCONS 4.8mm Multi grip aluminum rivets at no greater than 250mm centers. Correctly fixed perimeter Z bracket",,"z' brackets fixed to folded returns via iccons 4.8mm multi grip aluminum rivets at no greater than 250mm centers. correctly fixed perimeter z bracket"
,,"Correct Mill finished aluminum stiffeners selected 40x40x3 RHS 6060-T5 RHS 6060-T5 where required",,"correct mill finished aluminum stiffeners selected 40x40x3 rhs 6060-t5 rhs 6060-t5 where required"
