"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e4cf5638-45b7-4c70-bf51-3c5e63380208","","checklist-flat","not-started","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"921635ad-384a-57a2-968a-e0b6ca4209e7","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Project details entered below"
"82632969-86f7-4f57-b481-e3e525a682e3","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture"
"2cfac9fb-861a-4776-af69-0f72abb5a5a4","","checklist-sectioned","pass","b4d1633d23659b113421612c76dd31fcbb3d55235db2b92c835b5f74c883a446","checklist","FALSE","FALSE","Precast Manufacture","Weld plate details"
"7661a612-32c5-5cdb-9954-f3365fc1dc3a","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","Weld plate detail"
"3a2346fe-6630-5986-9138-b3bbefe9b1dd","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","Weld plate detail","Edge Detail"
"f69bb3ea-ba4b-55ab-82f8-b65f04f21d79","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","Weld plate detail","Bar Projections"
"7466d9b1-4daa-5f09-8132-f146e2d710f2","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Weld plate details","Weld plate detail","Cast in items"
"e6daa6e7-80df-4c1e-9a4e-1f80f34069fb","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture","Panels"
"67463430-fbb3-4e31-b57f-25b9dfcea89b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture","Panels","Panels 1 - 30"
"0ab02ad1-e32b-4cb4-b385-e205b5ceb936","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels","Panels 1 - 30","Panel -1"
"9dc5a764-f679-5491-ac30-817f4d030b36","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Pre-Pour Check"
"355fc0d0-db10-59ed-863b-e077c9f5c964","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Pre-Pour Check","Dimensions"
"1eca02cd-ac7e-5202-9413-18127e26560f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Pre-Pour Check","Mould Clean"
"1d00bfb2-2520-5cfb-aea3-78dbc2aa84d6","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Pre-Pour Check","Mould Oiled"
"201f4f9b-53a5-5673-9529-f10e9757a262","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Pre-Pour Check","Mould - Workmanship"
"6805543a-607d-5adb-ad39-29a8ac060eee","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Pre-Pour Check","Reinforcing"
"6c29dd67-a0e9-580a-843b-de12510e5474","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Pre-Pour Check","Cast In Items"
"4fba36b2-22f0-5a21-af37-e563054a4119","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Pre-Pour Check","Marker Position and No."
"9b9b6d6c-bf8a-5d2d-a932-d2d1552f8e1a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Pre-Pour Check","Make mould to Green Status"
"40ef8a0c-cd31-5b10-ac13-61881ceec7bb","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Concrete Works"
"654ee70c-c247-5f03-a14f-e9018473b0c5","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Concrete Works","Concrete Works Details"
"923d4548-1e63-5e1d-a744-682773a50309","","checkpoint-status","not-applicable","","","TRUE","TRUE","Precast Manufacture","Panels","Panels 1 - 30","Panel -1","Concrete Works","Wilco Sample Taken"
