"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"acae8e9e-4bd2-4cb9-92e9-2f5391bdedc6","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)"
"d653557b-d41e-445b-9a57-fdb20ca75bb2","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground"
"c7fb5a79-cb6b-4e9b-9673-1939dde6b86a","","checklist-flat","","Reference Drawing","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Reference Drawing"
"8753136d-4a51-4c61-b4b8-6ed3db6a1ed6","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A"
"c155ff40-ede8-4cef-9221-353145c7a1d6","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.001)"
"d9cc86a8-dee2-4321-87b6-fbdfd7d18203","","checklist-sectioned","","0b4dd816e96d31c6375dd2f4868b9366675844f9c2c9628064cd9996c33c16c5","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.001)","Pre Sheet Sign off"
"38e108fb-d745-4d98-a36c-bf4687c05465","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.001)","Pre Grid Sign off"
"0c07f123-fe21-4f5b-85b4-e044991030bc","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.001)","Pre Ceiling Sign off"
"c4b24cd9-e7ae-4a45-b84d-bc1bdd380f97","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.002)"
"17833362-48fb-46cf-8238-2253b5327275","","checklist-sectioned","","0b4dd816e96d31c6375dd2f4868b9366675844f9c2c9628064cd9996c33c16c5","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.002)","Pre Sheet Sign off"
"f712ffa3-3ae7-472a-b1f7-4c89a6a27610","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.002)","Pre Grid Sign off"
"56323624-f412-43d3-a5cd-257afe4fb493","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.002)","Pre Ceiling Sign off"
"3edc1369-797d-4a9a-b047-1cc3c8aaeea0","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.003)"
"3f7ac8ea-f1da-497a-b471-93dd7c92eca6","","checklist-sectioned","","0b4dd816e96d31c6375dd2f4868b9366675844f9c2c9628064cd9996c33c16c5","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.003)","Pre Sheet Sign off"
"3e854fdc-3a96-4d53-939f-93749615c52d","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.003)","Pre Grid Sign off"
"a86c2a39-dc11-4e2a-9786-542b1b55774e","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.003)","Pre Ceiling Sign off"
"6b7a149d-4379-4d13-ba57-b8938320e7ea","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.004)"
"87114575-fb7d-438d-a19e-afb6ffbd8e97","","checklist-sectioned","","0b4dd816e96d31c6375dd2f4868b9366675844f9c2c9628064cd9996c33c16c5","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.004)","Pre Sheet Sign off"
"8dfdf361-6ba9-48f6-9ffe-53f83a2fb7ca","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.004)","Pre Grid Sign off"
"97d9ec24-6042-47e9-9ec7-81e0aa83abc4","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.004)","Pre Ceiling Sign off"
"005e16f1-2682-4fcb-b9b8-639bc2670e92","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.005)"
"6fcae626-2a04-44b1-9f72-f94c98792f2b","","checklist-sectioned","","0b4dd816e96d31c6375dd2f4868b9366675844f9c2c9628064cd9996c33c16c5","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.005)","Pre Sheet Sign off"
"ddf3f9aa-af0a-481d-9ba6-820c03a8bd83","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.005)","Pre Grid Sign off"
"d8b4f67a-ac89-4bd9-83cd-69e1ce4a6066","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.005)","Pre Ceiling Sign off"
"59847e32-e086-4ed6-8cb1-10937dcc8be2","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","WB IN (LG.B.006)"
"db6c0d99-ed54-4b4c-8d0f-069ccad1ba02","","checklist-sectioned","","0b4dd816e96d31c6375dd2f4868b9366675844f9c2c9628064cd9996c33c16c5","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WB IN (LG.B.006)","Pre Sheet Sign off"
"f2e68937-d4e0-4715-a00e-e32b9793f7d9","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WB IN (LG.B.006)","Pre Grid Sign off"
"71af787d-314e-4943-aa7a-d8c80dedef95","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WB IN (LG.B.006)","Pre Ceiling Sign off"
"ee496c93-dd01-4815-a30c-7d19e27d3f66","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.007)"
"f6000087-4219-4327-950f-6bccb82c4a84","","checklist-sectioned","","0b4dd816e96d31c6375dd2f4868b9366675844f9c2c9628064cd9996c33c16c5","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.007)","Pre Sheet Sign off"
"a71d7691-d3f5-483f-9363-aa54da222cf6","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.007)","Pre Grid Sign off"
"b10e0988-12fd-41c2-8010-37d138100609","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.007)","Pre Ceiling Sign off"
"11b2f39a-f9bc-4b8a-826c-7209ff4cb011","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.008)"
"b9216b18-d6e0-479b-8b4f-3e4dcb775bed","","checklist-sectioned","","0b4dd816e96d31c6375dd2f4868b9366675844f9c2c9628064cd9996c33c16c5","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.008)","Pre Sheet Sign off"
"f58ab364-4c7e-4702-8ba2-ecafe30fff8b","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.008)","Pre Grid Sign off"
"0c0959fe-7835-4623-8bce-0ddcb0ac5d99","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.008)","Pre Ceiling Sign off"
"3fa0ca53-6a2f-4131-b8da-94986a3ed66f","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","WCPT (LG.B.009)"
"4beab9b0-0142-4ed0-8df8-10077d49ca32","","checklist-sectioned","","0b4dd816e96d31c6375dd2f4868b9366675844f9c2c9628064cd9996c33c16c5","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WCPT (LG.B.009)","Pre Sheet Sign off"
"74f6c5c8-0c11-4665-bf78-685038da2511","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WCPT (LG.B.009)","Pre Grid Sign off"
"afce31ef-c70f-4e1a-ab77-05abc3005b64","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WCPT (LG.B.009)","Pre Ceiling Sign off"
"3ef04c3c-19fb-494a-b83b-b605f346a3dd","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","BMEQ (LG.B.010)"
"0eb7b02f-d185-4746-b157-a710969d6ee6","","checklist-sectioned","","0b4dd816e96d31c6375dd2f4868b9366675844f9c2c9628064cd9996c33c16c5","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","BMEQ (LG.B.010)","Pre Sheet Sign off"
"aee67ba5-bc46-4931-a04f-a919fe206ac2","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","BMEQ (LG.B.010)","Pre Grid Sign off"
