"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Podium and Levels  Progress"
,"Scope",,
,"Rows"
,,"Ground Floor",,"ground floor"
,,"Mezzanine",,"mezzanine"
,,"Level 1",,"level 1"
,,"Level 2",,"level 2"
,,"Level 3",,"level 3"
,,"Level 4",,"level 4"
,,"Level 5",,"level 5"
,,"Level 6",,"level 6"
,,"Level 7",,"level 7"
,,"Level 8",,"level 8"
,,"Level 9",,"level 9"
,,"Level 10",,"level 10"
,,"Level 11",,"level 11"
,,"Level 12",,"level 12"
,,"Level 13",,"level 13"
,,"Level 14",,"level 14"
,,"Level 15",,"level 15"
,,"Level 16",,"level 16"
,,"Level 17",,"level 17"
,,"Level 18",,"level 18"
,,"Level 19",,"level 19"
,,"Level 20",,"level 20"
,,"Level 21",,"level 21"
,,"Level 22 (TBC with CONQA)",,"level 22 (tbc with conqa)"
,"Columns"
,,"Control Valve",,"control valve"
,,"Hydrant Installation",,"hydrant installation"
,,"Fire Extinguishers",,"fire extinguishers"
,,"Hose Reel",,"hose reel"
,,"Pipework",,"pipework"
,,"Hose Reel",,"hose reel"
,,"Fire Alarm",,"fire alarm"
,,"EWIS Installation",,"ewis installation"
,,"Level Testing",,"level testing"

"Infrastructure Progress"
,"Scope",,
,"Rows"
,,"Infrastructure",,"infrastructure"
,"Columns"
,,"Cast-in Conduits",,"cast-in conduits"
,,"Core Penetrations",,"core penetrations"
,,"Booster Assembly",,"booster assembly"

