Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Daily Pre-starts,,,,,
,Scope,,,,
,Rows,,,,
,,Building A Foundation,dynamic,building a foundation,daily pre-starts and risk assessments
,,Building C Foundation,dynamic,daily pre-starts and risk assessments,building c foundation
,,Building D Foundation,dynamic,daily pre-starts and risk assessments,building d foundation
,Columns,,,,
,,Prestart Checklist,,prestart checklist,
,,Risk Assessment,,risk assessment,
,,Covid 19 checks,,covid 19 checks,
,,Signoffs,,signoffs,
,,,,,
Foundation Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Building A,dynamic,Building A,
,,Building C,dynamic,Building C,
,,Building D,dynamic,Building D,
,Columns,,,,
,,Attach document,,attach document,
,,Start date,,start date,
,,Safe & suitable access provided by H.C. at workface,,safe and suitable access provided by h.c. at workface (attach photos),
,,"Scaffold tagged, Stairs & safety railing inspected, no floor openings",,"scaffold tagged, stairs and safety railing inspected, no openings to floors (attach photos)",
,,Cranage arranged or reinforcement at workface,,cranage arranged or reinforcement at workface,
,,Grid lines set out by H.C. at workface & visible,,grid lines set out by h.c. at workface and visible,
,,Datums provided by H.C. at workface & visible,,datums provided by h.c. at workface and visible,
,,Site concrete poured,,site concrete poured,
,,Formwork installed to minimum 1 face,,formwork installed to minimum 1 face,
,,"Tanking, waterproofing complete",,"tanking, waterproofing complete",
,,All cast in items set out or in place,,"all cast in items set out or in place (hold down bolts, weld plates, plumbing etc)",
,,Starting point for Precast foundation starters set out by H.C.,,starting point for precast foundation starters set out by h.c.,
,,"Couplers, Threaded inserts cleaned out & prepared by H.C.",,"couplers, threaded inserts cleaned out and prepared by h.c.",
,,Any uncompleted work by H.C. that will hinder the progress?,,is there any uncompleted work by the h.c. that will hinder the progress of your work?,
,,All pre install checks completed & approved,,all pre install checks completed and approved - ready to start work,
,,Specified covers checked/correct,,specified covers checked/correct (attach photos),
,,Cover blocks,,cover blocks (attach photos),
,,"Size, position & spacing of reinforcement as per drawing",,"size, position & spacing of reinforcement as per drawing (attach photos)",
,,Lap lengths and locations as per drawing,,lap lengths and locations as per drawing (attach photos),
,,Correct stirrup sets,,correct stirrup sets,
,,Horizontal/Vertical starter bars installed correctly,,"horizontal / vertical starter bars installed correctly (location, position, size, spacing) attach photos",
,,Reid bars tightened in full with wrench,,reid bars tightened in full with wrench,
,,"Couplers, Threaded inserts, Foot plates installed correctly",,"couplers, threaded inserts, foot plates installed correctly (location, position, size, spacing)",
,,"All reinforcement tied, secured & rigid",,"all reinforcement tied, secured and rigid",
,,"Any additional items considered, installed & completed",,"any additional items considered, installed & completed e.g. trimmer bars, drag bars etc",
,,"Excess reinforcing, tie wire & debris removed - clean & tidy",,"all excess reinforcing, tie wire and debris removed - clean & tidy",
,,Completion date,,completion date,
,,"QA complete, area left clean & tidy",,"qa complete, area left clean and tidy",
,,Work completed as per drawing and specifications,,work completed as per drawing and specifications,
,,Steel & Tube Sign off,,steel & tube sign off,
,,Accepted and approved for concrete by H.C.,,accepted and approved for concrete by h.c. (attach 4 photos),
,,HC Sign off,,hc sign off,
