"Id","Type","Name","Values","Prompting Name","Prefix","Usage Count","Resource Id"
,"checklist-flat","010SAF_08 SWMS","","010SAF_08 SWMS",,8,"9eca8bf4-9616-427d-bf93-0c156542c6f1"
,"checkpoint","1. INDUCTION - Attach your signature to confirm you have completed the Principle Contractor's Induction.",,,,,
,"signoff","By signing I confirm I have completed the Principal Contractors induction.",,,,,
,"checkpoint","2. ALL STAFF",,,,,
"cbaa5304-d926-5145-abea-643403fc7075","note","003G Using Platform Ladders",,,,,
"4c0dcfe7-d8a0-5008-bd8b-d7bc54f1ac2a","note","004G Inhalation of Respirable Crystalline Silica",,,,,
"1117a6d0-9a4c-5b98-b403-d22a7b5ad3a6","note","005G Working at Heights",,,,,
"68979298-f5d8-548e-baec-8741d208ed87","note","006G Working at Heights Rescue Plan",,,,,
,"signoff","By signing I confirm I have read and understood ALL the SWMS documents listed above. I have reviewed these documents onsite with my supervisor and I have signed the hard copy.",,,,,
,"checkpoint","3. WET FIRE TECHNICIANS",,,,,
"b4e0d11c-383a-5193-a4d8-06886c652d7b","note","019T Pressure Testing of Pipework",,,,,
"543f3f86-57b8-5b16-b786-9b1a07dba3bc","note","020T Sprinkler System and Associated Pump Test",,,,,
"e8307916-4807-52bf-87e5-102669e43c3f","note","021T Hydrostatic and Flow Testing of Pipework",,,,,
"b9ed5514-0cad-5767-9bc2-787d09c4b91b","note","022T Fire Rating",,,,,
"3eda0a35-e17c-5ffa-8f13-550cbe45fa28","note","023T Fire Alarm and Emergency Warning Systems Testing",,,,,
"6a966737-d7b0-592b-adaf-4fd6c5c1ce28","note","024T Commissioning and Testing of Hydrant System and Booster Area",,,,,
,"signoff","BY SIGNING I CONFIRM I HAVE READ AND UNDERSTOOD ALL THE SWMS DOCUMENTS LISTED ABOVE. I HAVE REVIEWED THESE DOCUMENTS ONSITE WITH MY SUPERVISOR AND I HAVE SIGNED THE HARD COPY.",,,,,
,"checkpoint","4. SWMS - DRY FIRE TECHNICIANS",,,,,
"5d11d398-a985-5a6c-aeb6-18ee293dc7c2","note","008I Removal of Existing Fire Alarm Systems and Devices",,,,,
"92d6eeb4-8277-5022-83a0-fc89644f8bed","note","009I Removal of Pipework Fittings",,,,,
"52103321-2daf-5ff5-83c8-2ade86fd2490","note","010I Fire Alarm and Warning System Rough-in",,,,,
"8205c84e-07ea-575b-bae8-d3015acb0b02","note","011I Fire Alarm and Warning System Fit-off and Installation",,,,,
"884a1c0d-249f-5a69-b8f2-2e03f9760652","note","012I Installation of Fire Alarm and Warning System Cabling",,,,,
"61c0ba51-1491-512b-936c-ac2c0f143740","note","013I Installation of Pipework and Fittings",,,,,
"c29e79e2-249c-55ba-b869-187073053c35","note","014I Installation of Fire Control Panel & Emergency Warning Systems",,,,,
,"signoff","BY SIGNING I CONFIRM I HAVE READ AND UNDERSTOOD ALL THE SWMS DOCUMENTS LISTED ABOVE. I HAVE REVIEWED THESE DOCUMENTS ONSITE WITH MY SUPERVISOR AND I HAVE SIGNED THE HARD COPY.",,,,,

,"checklist","ASSESS-001 Risk","","ASSESS-001 Risk",,1,"fe138a11-ed45-45d0-8141-28cbbd427d2e"
,"section","Details",,,,,
,"checkpoint","Assessment Details",,,,,
"c5de9c41-d1f8-560c-8ad2-fbc0b3413782","note","Use this form to document the risk management process for a single generic hazard.",,,,,
"005d1f0d-2484-50cb-baf9-eb4eb1a44015","textbox","Work Area:",,,,,
"10e81421-8b3f-590c-8e71-407a29ad32c6","date","Date of Assessment:",,,,,
"d5709b78-6e7a-5e77-bed0-726b44d8cdef","textbox","Name of Assessor(s):",,,,,
"d7031743-0b91-57c4-b35f-f17efd3658cc","textbox","Position(s):",,,,,
"115c97b5-8445-5541-916c-66b0b8ebdc28","textbox","Incident Ref. No:",,,,,
,"checkpoint","Hazard Identification",,,,,
"77da4f53-d3a7-5107-9fbe-117e16f13ca8","textbox","Describe the Hazard:",,,,,
,"checkpoint","Risk Assessment",,,,,
"04604ad8-d203-5403-9f28-7e35a2d550ea","textbox","What harm could the hazard cause?",,,,,
"951d2f55-2fe0-580d-ae7b-639c96cc5b90","textbox","What is the likelihood of this happening?",,,,,
"daaa7575-ae9a-5135-a5e1-8342676e6e23","textbox","Persons at risk:",,,,,
"629736c9-e046-5570-9786-06b903ddd8eb","textbox","Existing control measure:",,,,,
"23757a9a-d67e-536b-a993-f90edc47ae86","textbox","Consequence:",,,,,
"f6b0f80e-5ff0-5a13-b299-a1cb8c38c115","textbox","Likelihood:",,,,,
"881ee5cb-4d01-572a-bfea-cffd30972fbd","textbox","Outcome:",,,,,
,"checkpoint","Control Measures",,,,,
"b86eaa2b-7e40-5506-b229-0816cf867368","textbox","Elimination:",,,,,
"65051202-a0d1-57a2-9ffb-98b560a04d5a","textbox","Substitution:",,,,,
"9c57ed7f-108c-5aab-ba42-06cd18c7e0c9","textbox","Isolation:",,,,,
"cfab3bb1-2c1a-5925-b496-c1f0fbb110be","textbox","Engineering:",,,,,
"8274926c-9d7f-5e6b-ba59-e8a93b9ab844","textbox","Administrative or PPE:",,,,,
"3e1b8770-840e-520b-b2c7-2d4b303132c3","textbox","Preferred control option:",,,,,
,"checkpoint","Implementation",,,,,
"ad015995-80d6-51c6-8c5e-87c4860e5b3b","textbox","Associated activities:",,,,,
