"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"15daf0f2-1738-4077-ae28-db3c14bb55b9","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project Start-Up"
"b9e2961c-b8bc-4ca9-ba68-6c7c7217ce4a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project Start-Up","Management Plans"
"bd01850e-cfbe-4059-88f4-2fab39217386","","checklist-flat","pass","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Management Plans","HP001 - ID 39 - Project Management Plan"
"77356c45-12e4-47fa-becd-ae79f55d89db","","checklist-flat","pass","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Management Plans","HP002 - IDs 9, 11, 12, 13 - WHS Management Plan, Incident, Crisis and Bushfire Management Plans"
"a38b9408-ae25-4751-b302-49df3b3f023c","","checklist-flat","pass","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Management Plans","HP003 - ID 7 - CEMP Stage 1, Early Works"
"fa080287-8db1-4ece-96d3-dca44e04276f","","checklist-flat","pass","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Management Plans","HP004 - ID 10.2 - Noise and Vibration Management Plan"
"74e4ba46-1ef4-4196-b273-1f1481324435","","checklist-flat","pass","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Management Plans","HP005 - ID 8 - Soil & Water Management Plan"
"2a784f6b-3e56-4ac2-8df4-4c06878b22ec","","checklist-flat","pass","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Management Plans","HP006 - ID 10.1 - Waste Management & Resource Recovery Sub-Plan"
"28f83ec9-71d7-4393-8c54-c1d2cfbdcbc9","","checklist-flat","pass","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Management Plans","HP007 - ID 16 - Clearing & Grubbing"
"3d7fe0fe-901d-4238-84b3-dd1c41bf44f6","","checklist-flat","work-in-progress","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Management Plans","HP008 - ID 20 - Site Establishment Plan"
"62955f61-5cbd-4865-82db-b49d4b6afd25","","checklist-flat","pass","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Management Plans","HP009 - ID 6 - Project Quality Plan & Records Management Plan"
"5466807f-0c91-4c66-9aac-233ae58d0d0f","","checklist-flat","work-in-progress","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Management Plans","HP010 - ID 9.1 - Workplace Risk Assessment (WRA)"
"28fe3bf8-119b-4ef9-8c3e-593df4772ab5","","checklist-flat","pass","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Management Plans","HP011 - ID 14 - Chain of Responsibility (CoR)"
"d36cec92-728f-44c2-9930-83b8197348de","","checklist-flat","pass","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Management Plans","HP012 - ID 3 - Jobs, Skills and Industry Participation Management Plan"
"4294f686-c801-4bee-9b85-84535bb29143","","checklist-flat","pass","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Management Plans","HP013 - ID 1 - Workplace Relations Management Plan"
"d7587df5-8943-447f-a7e2-ecd8b2287e76","","checklist-flat","work-in-progress","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Management Plans","HP014 - ID 40 - Covid-19 Management Plan"
"86c88806-9225-4145-8557-d92901a780ae","","checklist-flat","not-applicable","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Management Plans","HP015 - ID 2 - Aboriginal Procurement Plan"
"f2d65f84-18c6-4140-bc4a-b01e0e72ecce","","checklist-flat","pass","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Management Plans","HP018 - ID 17 - Community and Stakeholder Engagement Plan"
"6084d224-31d4-4dcc-bf06-d6e766b68ade","","checklist-flat","pass","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Management Plans","HP019 - IDs 7, 8, 10.1, 10.2, 16 - Submission of CEMP Early Works and updated sub-plans"
"4cb8c4cc-7212-4d43-9acf-8ec9d58fe51e","","checklist-flat","work-in-progress","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Management Plans","HP021 - Earthworks Management Plan"
"f3a06c1d-0589-408f-a2b3-fb277d3ab396","","checklist-flat","work-in-progress","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Management Plans","HP022 - Submission of CTMP"
"69777ec1-9a49-41aa-bbc9-67f0491a6af6","","checklist-flat","work-in-progress","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Management Plans","HP025 - Submission of CEMP (Main Works)"
"0901f081-1307-4cf5-b9b0-100f58867ad1","","checklist-flat","work-in-progress","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Management Plans","HP027 - Main Works Enviro Plans - Sustainability, Clear + Grub, Contaminated Land, Asbestos Management"
"9087c814-e90b-4ccf-835d-f72d0c392900","","checklist-flat","work-in-progress","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Management Plans","HP029 - Utility Management Plan"
"3980a51c-445e-4263-a692-17dc40e44f16","","checklist-flat","not-started","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Management Plans","HP030 - Aboriginal Industry Participation and Procurement Plan (placeholder)"
"34f037f0-a3c9-4bb4-8154-788460f6fc3f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project Start-Up","Material and Subcontractor Approvals"
"1cd35c94-6c56-4277-843c-20d7774c733b","","checklist-flat","pass","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP017 - Submission of Tender Docs for Primary Testing"
"bc03de8b-8d4b-4dfd-b2e7-b555ad5e114f","","checklist-flat","pass","Project Startup Hold Point","checklist-flat","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP023 - Accepting of Primary Tester"
"e1a151e2-e0a7-4c57-9b1c-c9713824c66c","","checklist-flat","pass","Project Startup Hold Point","checklist-flat","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP028 - ABFI Steel - QA documentation (Part 1)"
"f5beed73-d471-4c57-b102-a84ef02c19ae","","checklist-flat","work-in-progress","Project Startup Hold Point","checklist-flat","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP031 - ABFI Steel - 1200 Pile Casing Prototype"
"dc7255d4-a566-4c87-8235-56b244c6d598","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project Start-Up","Work Methodologies"
"08fce846-e14b-4d01-a4cc-73641784f47a","","checklist-flat","work-in-progress","Submission of Management Plan","checklist-flat","FALSE","FALSE","Project Start-Up","Work Methodologies","HP016 - Temporary Works Precast Pile Cap Shell"
"3ef074f7-f596-4ad7-b60b-f54c3dadc906","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project Start-Up","G Specifications"
"d2fad042-4b58-417b-8d5a-7a109394a26c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project Start-Up","G Specifications","G4 - Principal's Project Accom"
"d0eadb99-9dd3-438c-bdc3-d067a9cd209c","","checklist-flat","work-in-progress","Project Startup Hold Point","checklist-flat","FALSE","FALSE","Project Start-Up","G Specifications","G4 - Principal's Project Accom","HP020 - Principal's Project Accom (G4 Cl 1.3)"
"9789736a-92fd-4f69-972d-f24a129f8f91","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project Start-Up","G Specifications","G1"
"96ec94c6-e163-4d1f-942c-2e0323aa1c22","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project Start-Up","G Specifications","G2"
"8ef8603a-83e4-4419-bfbc-e8f9f3b106f4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project Start-Up","G Specifications","G7"
"b3a08afc-24b2-498f-93d0-90f15391dfc2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project Start-Up","G Specifications","G10"
"c4f26929-6458-4a62-af60-03a9f7793371","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project Start-Up","G Specifications","G22"
"f0d828fa-d24f-4ac9-bc45-365d980fccee","","folder-normal","pass","","step","TRUE","FALSE","Project Start-Up","G Specifications","G36 - Environmental Protection"
"e30df174-5485-425f-aac6-167c48ba28c7","","checklist-flat","pass","Project Startup Hold Point","checklist-flat","FALSE","FALSE","Project Start-Up","G Specifications","G36 - Environmental Protection","HP024 - Submission of EWMS (G36 Cl 3.2.4)"
"5c404050-2ddf-42ac-a13b-eb3177112ca5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project Start-Up","G Specifications","G38"
"086933b0-22e9-4b6b-82dd-7f440170a3c1","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project Start-Up","G Specifications","G40 - Clearing and Grubbing"
"88202227-0075-46cd-b6f2-11a853c18dde","","checklist-flat","work-in-progress","Project Startup Hold Point","checklist-flat","FALSE","FALSE","Project Start-Up","G Specifications","G40 - Clearing and Grubbing","HP026 - Submission of Preclearance Report"
"897a56e5-e201-41f7-8cf2-1c209f409495","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project Start-Up","G Specifications","G71"
"8c500f4f-f0c5-4169-a459-2ef0f5304238","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project Start-Up","G Specifications","G73"
"55b397e7-f4a4-451a-91ce-4d02bddb5d60","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA"
"a5c06536-0a4f-4e69-ab39-99818ee7fec0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Non-Conformance Reports"
"97d307ad-1a27-4c93-928f-ebf1fb7510ae","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Training Folder 1"
"859ab61f-754a-4cbc-a707-9fb905c97114","","folder-normal","work-in-progress","","step","TRUE","FALSE","Training Folder 2 (Matrices and New Updates)"
"cd813f7e-ac0a-4242-94db-ff16a04af0da","","folder-normal","work-in-progress","","step","TRUE","FALSE","Training Folder 2 (Matrices and New Updates)","Example stormwater"
"c6252337-cd22-4634-ad22-e5e6182328d4","","folder-normal","work-in-progress","","step","TRUE","FALSE","Training Folder 2 (Matrices and New Updates)","Example stormwater","Area 1"
"52541426-7cc1-4ef4-8c4b-36099715f5d4","","checklist-sectioned","work-in-progress","A183 - New Dubbo Bridge - ITC 02 - R11 Stormwater and Drain Installation (R11) Rev 1","checklist","FALSE","FALSE","Training Folder 2 (Matrices and New Updates)","Example stormwater","Area 1","R11 Stormwater A0101 - A0102"
"755e6d11-1d7d-4b7d-a3dd-dae7ff73d171","","folder-normal","work-in-progress","","step","TRUE","FALSE","Training Folder 2 (Matrices and New Updates)","Example stormwater","Area 2"
"e91fa159-9145-49a6-8be1-9b616b38932b","","checklist-sectioned","work-in-progress","A183 - New Dubbo Bridge - ITC 02 - R11 Stormwater and Drain Installation (R11) Rev 1","checklist","FALSE","FALSE","Training Folder 2 (Matrices and New Updates)","Example stormwater","Area 2","R11 Stormwater B0101 - B0102"
"5028e797-52fe-4b57-a43f-1c2bdc96a815","","checklist-sectioned","pass","A183 - New Dubbo Bridge - ITC 02 - R11 Stormwater and Drain Installation (R11) Rev 1","checklist","FALSE","FALSE","Training Folder 2 (Matrices and New Updates)","Example stormwater","Area 2","R11 Stormwater B0102 - B0103"
"b7d55456-b802-4896-bad2-188e8a0434c5","","folder-normal","not-started","","step","TRUE","FALSE","Training Folder 2 (Matrices and New Updates)","Example earthworks"
"6bace690-edeb-4aee-a609-355a4afe7256","","folder-normal","not-started","","step","TRUE","FALSE","Training Folder 2 (Matrices and New Updates)","Example earthworks","Zone 1"
"1c914c04-0a7c-4eb3-9f4f-b60876c13b24","","checklist-sectioned","not-started","A183 - New Dubbo Bridge - ITC 01 - G40 Clearing and Grubbing (G40) Rev 1","checklist","FALSE","FALSE","Training Folder 2 (Matrices and New Updates)","Example earthworks","Zone 1","CG.001.001 - Area 1, Day 1"
"403833f0-c5eb-4d99-b928-4540c3ec06e7","","checklist-sectioned","not-started","A183 - New Dubbo Bridge - ITC 01 - G40 Clearing and Grubbing (G40) Rev 1","checklist","FALSE","FALSE","Training Folder 2 (Matrices and New Updates)","Example earthworks","Zone 1","CG.001.002 - Area 1, Day 2"
"b9a170ca-261c-4fd4-8c02-2f1d602db396","","folder-normal","not-started","","step","TRUE","FALSE","Training Folder 2 (Matrices and New Updates)","Example earthworks","Zone 2"
"8e87bea8-5ead-4273-a83c-6f10968a3375","","checklist-sectioned","not-started","A183 - New Dubbo Bridge - ITC 01 - G40 Clearing and Grubbing (G40) Rev 1","checklist","FALSE","FALSE","Training Folder 2 (Matrices and New Updates)","Example earthworks","Zone 2","CG.002.001 - Area 2, Day 1"
"c33f3422-dd87-41ca-bd7a-4dd1e3d7cdcc","","checklist-sectioned","not-started","A183 - New Dubbo Bridge - ITC 01 - G40 Clearing and Grubbing (G40) Rev 1","checklist","FALSE","FALSE","Training Folder 2 (Matrices and New Updates)","Example earthworks","Zone 2","CG.002.002 - Area 2 Day 2 (ACM located)"
"656aa4d8-a649-4363-abdb-af7b24459e76","","checklist-sectioned","not-started","A183 - New Dubbo Bridge - ITC 01 - G40 Clearing and Grubbing (G40) Rev 1","checklist","FALSE","FALSE","Training Folder 2 (Matrices and New Updates)","Example earthworks","Zone 2","CG.002.003 - Area 2, Day 3 (Completed)"
"0e0dffcd-3e41-447d-99bd-2384804568b6","","folder-normal","not-started","","step","TRUE","FALSE","Training Folder 2 (Matrices and New Updates)","NCRs"
"b90aedc2-3ecd-4c17-b22e-11c360fb717d","","checklist-flat","not-started","Add NCR","checklist-flat","FALSE","FALSE","Training Folder 2 (Matrices and New Updates)","NCRs","NCR.001"
"d2b7792b-8203-4912-af91-2331bf0ed253","","checklist-flat","not-started","Add NCR","checklist-flat","FALSE","FALSE","Training Folder 2 (Matrices and New Updates)","NCRs","NCR.002"
