"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"24efba84-0924-49cc-aa49-9879af8527d5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Building C"
"47d67329-a92a-4103-be50-3f161e168b60","","folder-normal","work-in-progress","","step","TRUE","FALSE","Building C","Level B1"
"f98d3453-72c0-440f-a7f7-711b1393affd","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C32"
"3fc57781-bac1-41ee-a5b7-07c1e0eed220","","checklist-sectioned","work-in-progress","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C33"
"e50a3300-4fac-4247-bd4e-ec5fa127b47b","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C34"
"4f8ee80d-0941-4d20-a588-0dd5fe2dbf9b","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C35"
"2f9504f3-4271-43ba-a8de-2b59194a5f4b","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C36"
"5457a4a7-4e08-4226-b38a-20994d533618","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C37"
"bd4de470-2b88-40f3-83b6-0fe25a13031d","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C38"
"93203ab3-8ef1-4387-9e1f-5a71ae35a5f8","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C39"
"4941b0c1-941b-44e9-b422-56b84943e8a9","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C40"
"c88fffaf-0393-4a9c-a595-018e4d8e3c14","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C41"
"593c147a-7c6e-44d4-bfa4-fa5602e46b0b","","checklist-sectioned","work-in-progress","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C42"
"25e7c1cc-f1aa-45cd-a4c2-08a88f6b267a","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C43"
"0779bd63-72b0-43eb-9d74-50a180d1ffb5","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C44"
"ede0d48a-85fa-45dc-8475-bb3543531e31","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C45"
"2f60a3f2-25bb-480b-a888-3a5a2438a45a","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C46"
"d7a18b2a-ed2f-4706-847d-9957a862055e","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C47"
"8eab564b-3b14-4a5f-a98f-cd1a51fbd8a3","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C48"
"c6f2f904-4f7a-46aa-9b5f-9b0037bbb124","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C49"
"8ae6d69d-ca9d-4ca1-b003-91779ce32486","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C50"
"75bbd192-f243-44cf-9646-bd43dbdaa53d","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C51"
"ec2efe7a-dcba-4a76-8afb-5e2dac78234a","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C52"
"dca6f785-6b23-4769-b960-17dc67a37cac","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C53"
"b2345db6-71ea-4012-8485-42a14a567e5b","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C54"
"59056b81-c468-4f62-ad3c-9149c077298a","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C55"
"03dea9f8-1f36-48b4-99fc-b68863bf41d0","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C56"
"af189557-bf33-4be5-93d9-932998ac3a61","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C57"
"6c9cd92a-13fc-421d-8750-ee154f7622d5","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C58"
"bf06764d-e95e-4185-ba93-a64c583c91e7","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C59"
"ab4f6cd1-cfe8-4010-a42d-f53d09849d8d","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C60"
"be1351ea-cde0-4d03-b10f-08a7132a2044","","folder-normal","not-started","","step","TRUE","FALSE","Building C","Level 1"
"b7cfde89-0d39-44c8-9687-866c0248c58d","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C62"
"d5d02ad9-dcf3-4be0-be9e-f3aec170ccc3","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C63"
"9091cb23-45e3-41d3-96e2-3924f3ab43d7","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C64"
"7b0d70ca-ce72-4246-a383-64f94a1f60e0","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C65"
"00085fa8-4bb9-42c2-a07d-2f1bc74b2624","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C66"
"f4c34fb3-a490-4211-8159-a281f76592c7","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C67"
"3809c5c9-acf9-408f-96dd-26e5196416f1","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C68"
"042006a9-bed8-4c7b-8006-69b13c6c84f9","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C69"
"da263c81-fe1a-40a2-9956-b6de5ae97b84","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C70"
"94d9a074-4729-4fc7-9688-296a4f128329","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C71"
"1a50062c-d284-49b1-81f3-fd72ab23fa93","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C72"
"78cb06e0-7d15-44be-ad14-5e32dea72570","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C73"
"d714b351-0175-497b-a61b-40b0e0511410","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C74"
"1f89570a-6284-4ef1-88d1-c877865e75d3","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C75"
"0fffd05e-e228-423c-aa67-45846e57b459","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C76"
"0b225d2f-f6c2-45e0-87fd-4c8923534821","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C77"
"ddae0aa0-172d-4632-a4c2-a07415b657be","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C78"
"cad56a5d-2041-4d21-9d00-6ea510f12952","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P01"
"cf3959e5-cc40-496e-a411-51f2da7ee9d2","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P02"
"3c93ffe7-a495-4299-911b-2c3eade7b8d9","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P03"
"09f6cd2d-af09-4eba-bba0-c59d41686481","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P04"
"bf049162-d0d0-4cca-a72e-aaf7f6dc521f","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P05"
"ab720757-95ac-44e8-8210-16e91d5046b6","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P06"
"07c5d35c-c535-4045-8a41-04f5a5914007","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P07"
"c42c109f-28af-4f68-b350-f1642a62071b","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P08"
"3dc6f9dc-e3bf-4543-8718-c36538e1bc95","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P09"
"cc7c2596-f7fd-4f16-87f9-5e27b96034cb","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P10"
"5e5d7eaa-1c01-422e-8631-a2a17d7e9c21","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P11"
"b802153e-b43d-4f73-aeb3-3ecf4a937305","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P12"
"7837c0e1-2e18-4056-82b9-50a0edab8e2b","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P20"
"ad8d30b8-e39a-4f76-84d2-c3c85a871370","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P21"
"b6041477-625e-40ed-b45d-6fe00e539154","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P22"
"746342fe-59c7-446e-b34b-abcfe104ca93","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P23"
"2dfcec4f-f9b4-4a47-926c-5495198f6954","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P24"
"170a8e10-2710-426e-81b0-f809dbda0848","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P24A"
"88ea8de6-3513-4aaf-8931-b1cb725aaedf","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P24B"
"5fb3b977-3a7a-499a-84a0-f055b58311ac","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P25"
"c2db9645-3341-4d7f-91fd-5691fc3c21e7","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P26"
"be8dc60c-130d-4e1d-a42e-4022eec50e73","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P27"
"22f6f710-413e-4f6a-9ee8-2d3789f85569","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P28"
"6f49c0dc-4e53-45fb-a82f-ffe60863742d","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P29"
"9a9d88c3-396f-4466-9feb-d634baa329e4","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P30"
"f92d3c6f-9f2e-4467-9666-58b904c5a3ed","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P31"
"e3dd61b7-b6ff-4dc1-8f23-e1bf8005c656","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P32"
"1a5861f5-f68c-4795-b26e-46a5208e0191","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P33"
"b412f090-a3e2-4976-9e9a-af5c473b8499","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P34"
"6e812253-b01a-4c26-bc7a-592d155c6a5b","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P35"
"4b8bebec-9c95-4481-97ff-d63920e89697","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P36"
"2cd6c82f-bd87-4829-a8ab-7c30668db4a7","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P37"
"1179b328-fbb6-4c8c-ba67-bd098d9fc4eb","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P38"
"9613b1b7-08fe-4500-832c-c79b0610715e","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P39"
"2895f174-25bf-4df6-b435-3cca20d3002c","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P40"
