"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2dba1e85-7dca-453c-92b8-a45bf5328af2","","folder-normal","fail","","step","TRUE","FALSE","Basement 1"
"357ec41f-bbf3-403e-8bd4-21073d4f059a","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Basement 3","B3-04A"
"6e7afad2-e86d-4e2b-b1f1-2312eee551f7","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Basement 3","B3-C11"
"a5421ad5-158d-4aae-9b4f-de0be47cbb9c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 2"
"62b70c08-7900-4f61-a48d-a2c48897f82e","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C01"
"9dfd54a8-0b36-4bb0-9f1a-19621659770b","","checklist-sectioned","work-in-progress","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C02"
"cfcc40fc-c2fa-43ee-8547-678a5f432667","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C03"
"c6eaca92-027e-41ed-9fcf-5393c95b22c3","","checklist-sectioned","work-in-progress","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C04"
"cc43e139-732f-4d15-ae95-b8f690f8f43d","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C05"
"c3685814-6f12-4fcd-9a54-845e4d4ea561","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C06"
"43d75bd1-12da-448e-9d70-a51a9bd3a28f","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C07"
"14cfba00-afbf-470f-8dfc-82074a7c3c56","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C08"
"77859f97-7ab7-4800-ab05-71c1119afa30","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C09"
"a2b0f330-b4bd-4f92-ba44-ceca5accd015","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C10"
"182816ae-2a1d-4b7b-a72c-b0a9e5fc70e1","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C11"
"22bcddc9-7257-4bb3-843f-f5a0cc567d9e","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C12"
"a828d3c5-8741-4b51-bdde-49d8a1816226","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","2-C13"
"6bf6214c-339a-468f-a8c4-8d344599db7b","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P01"
"a31169ae-61ec-4e85-917f-f5c438fcd696","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P02"
"696f3a93-bee3-421c-baf2-ba08c6cc3193","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P03"
"d8f03da9-44bc-4100-998b-4300f9b551e0","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P04"
"f7d7331c-4acf-45b8-bca6-e1e2cb00e681","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P11"
"26f1a6f4-6c9c-402a-9e8a-fef33200efd7","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P12"
"3875d386-3015-4636-b037-e3780401b94e","","checklist-sectioned","not-started","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Level 2","L2-P13"
"8387519c-a755-4779-b516-6ba0e0e1f206","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P14"
"20be5fe5-b63e-4674-bed5-d9f173d52f42","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P15"
"d4921344-ccd4-4ea0-9ac9-a8041e560e11","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P16"
"af3fc6b7-e153-49a5-aff1-c19dea80b5a5","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P17"
"c5616892-b798-4538-a114-3d3a73ab65fa","","checklist-sectioned","work-in-progress","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P18"
"92a3106e-70c1-451a-a894-3a5952e43bd9","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P19"
"007b66ca-a214-421a-8c48-cc8ba8120a07","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P20"
"4572eb90-92cf-42e3-959c-c314e05a7847","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P21"
"e8b30cc1-cbbf-4ac5-8006-766d02a9eb36","","checklist-sectioned","work-in-progress","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P22"
"7d4d5630-5e00-47f2-a6cf-731ac42fa756","","checklist-sectioned","work-in-progress","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P23"
"85539923-6f07-4e72-86b0-e1fbbadf3244","","checklist-sectioned","not-started","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Level 2","L2-P25"
"fdfaf803-46a2-49c4-8623-f88b88ef1abf","","checklist-sectioned","work-in-progress","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P26"
"185da8c7-f66d-4610-b97e-d1078e930580","","checklist-sectioned","work-in-progress","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P27"
"4480bfdb-8770-43b8-9ffb-8d0d0f2a1945","","checklist-sectioned","not-started","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Level 2","L2-P28"
"c8e9df1d-b9b6-4341-8462-ea5048347426","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P29"
"9b483021-f23a-47ce-96be-781b3b540ec1","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P30"
"13f56fcc-6614-4af4-a4f7-149b9161f6cc","","checklist-sectioned","work-in-progress","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P33"
"d32f3c3f-70d8-4b98-99ba-f08d843cdcf4","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P34"
"de5038cf-e138-40fe-879a-09a80be1ee51","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P39"
"cc28c014-69d3-43ee-9284-4a17bd157418","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P40"
"98216fdd-a613-4daf-88c2-492d0d8ce548","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P41"
"1a1eb108-cb5a-4900-beff-568ace5f29b7","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P43"
"484d152f-748c-45da-9cc2-8c346a0ac7e7","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-P44"
"9b838866-6d8c-4f20-90f0-484d0fe51eab","","folder-normal","fail","","step","TRUE","FALSE","Ground"
"b9e79518-7394-4d4e-ba1d-d9928a0afd28","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","1-C01"
"4eb15720-1aa8-4255-aba1-72d4015ba75f","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","1-C02"
"2fe6b4e7-12fe-4908-8574-8eb0a6ec6413","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","1-C03"
"e3bef56f-9445-4afa-9900-579292b345c2","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","1-C04"
"5853228e-c796-4bb2-9c1a-d4e59bc238e2","","checklist-sectioned","work-in-progress","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Ground","1-C05"
"5511b92c-4a6b-4833-b31f-59951fca7947","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","1-C05(2)"
"de537af8-b6ff-483a-81b8-6df9253d35c9","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","1-C06"
"3debbfd0-2c50-4b63-a7f5-b9a6fd9143f1","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","1-C07"
"77425768-4ab2-4669-9ee3-328480bcc7b3","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","1-C08"
"de21f08c-3c51-4b32-af28-cc1b648721e5","","checklist-sectioned","work-in-progress","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Ground","1-C09"
"2f7c9240-15ea-4574-b17b-297ef4f48512","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","1-C09(2)"
"db74e3d0-cc5e-4f06-b438-89cfb0eaa940","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","1-C10"
"e0ca9826-3290-4464-a350-0b32d357e335","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","1-C11"
"fea12b70-3d47-4955-8549-4745de5336ea","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","1-C12"
"f12daae5-1460-4b03-8da3-cc25edda6e62","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","1-C13"
"9dbab67f-01aa-4963-9182-15cc85fb6db0","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-01"
"2fa5418e-8a49-483d-bf2f-0a5d8e379578","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-01A"
"6d10ebf3-d8ac-47e9-99ea-8c613d3e53a3","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-02"
"dcdfc503-f4c3-478b-847d-00079df47d15","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-02A"
"84163206-cc05-4e3a-bd78-d87bafae0ca3","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-03"
"00ca5412-d86c-473f-826b-6f44b693e7dc","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-04"
"8cd3087a-5d5a-4a20-a5b8-4ae00a23345b","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-04A"
"8e384e11-040a-4d77-8565-92e68ab64290","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-05"
"4a3742a1-7995-4c1f-a7f8-250f85c109a2","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-06"
"2ce3c43f-657e-40d1-a890-fa3296ef421a","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-07"
"9e31c7dd-476f-4f13-9de1-d7c917708357","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-08"
"9253b586-9933-43d8-9535-55cba4462954","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-09"
"bf1cad3e-003f-412e-b1ec-9315d33e71be","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-10"
"f76f219d-ec60-46be-ad14-8f60e26dac0a","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-11"
"021dff31-02da-4b4f-97a9-197eba97482b","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-12"
"445e848b-5ada-455b-a225-767404b6199d","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-13"
"05121e1d-d19f-4eb3-85ed-bef26849134f","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-14"
"6edd81b0-6892-4521-a365-5d04f8d18d74","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-15"
"7e1a814b-fe74-4ec4-8de6-c0459f13d7e4","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-15A"
"72178279-257c-440c-922b-3c98e330342a","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-16"
"3a7bfdcf-53a3-4cf4-920e-cfe0ec26e61a","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-17"
"b0bca75e-6bcd-41b9-a12e-6dd97e74dfa8","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-18"
"06c083f0-ed34-4c81-b925-993d89857054","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-19"
"f83714e2-94b6-4a09-a7ae-a1fb3a0bcc7b","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-20"
"e42048f6-7147-4e5d-acd2-2cab1c59f1c2","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-21"
"5e11fdcb-4e24-41e9-b6c4-f8f57b0bcce5","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-22"
"fe1f61cd-ac6a-4ddb-81a6-4b14c67f307e","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-23"
"6a3b3e60-fcfd-4bed-9231-a41a96d6b7ee","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-24"
"7125b717-e951-4e13-8525-6f0dba4bc83a","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-25"
"b3894605-08a0-4c8a-a6ff-07ae2737c0dc","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-28"
"7358e89e-ec18-4ea7-aa93-94dfebaf11cf","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-29"
"09490238-0503-4731-bbad-66a004cc7147","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-40"
"aec39421-3ff0-4832-b059-9ae5f13a8fe5","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-40(2)"
"14c1107f-a41f-4f7e-b5b9-53da56415379","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-42"
"0bcc19db-5d90-4367-9416-10d6eef8aee4","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-43"
"99866161-a19f-45a1-9cff-7153f7e7eba5","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-44"
"f9b73e3a-ed51-450a-9ea8-592386973ad0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 3"
"e850160f-a3fe-433b-9639-7fb1dcf44357","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C01"
"ac215742-ddae-463e-9811-6a207e75c946","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C02"
"c91e6864-71cc-42a8-93e1-5cecd98e910c","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C03"
"a6a4acd4-1c30-4a98-adb9-088447ff7192","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C04"
"f63aa736-f040-49b8-85b2-51ce894f3d94","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C05"
"a9d36c4e-e4e3-4b6f-a1b2-a8803a326fb4","","checklist-sectioned","work-in-progress","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C06"
"12c493e2-75ad-4e7a-adfb-03c077ae9404","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C07"
"f6b56465-5fb0-4da7-8a0d-45f665c65f27","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C08"
"e2f31a06-317e-45fb-87c9-5908169c64e4","","checklist-sectioned","work-in-progress","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C09"
"c9eccc91-0dae-4dd2-8298-80f48d67a9c1","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C10"
"63c84875-665a-4ece-b6ed-30b0fe23dba8","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C11"
"67900b8d-6993-4211-b720-3ff4fc5d9c48","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C12"
