"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"952c7afa-0d62-4039-8c3f-bd69c6194c10","","folder-normal","pass","","step","TRUE","FALSE","Ground Floor"
"714221d7-eb86-44c1-ad44-79554bd3d9e3","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground Floor","14A"
"54f5e919-b116-423d-98de-a94b34853111","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground Floor","14B"
"6d294c9f-1a8f-4870-a7f8-96fd88b44aa3","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground Floor","15A"
"b4e8e706-f9fc-457a-b2c4-8f276bcbc7a0","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground Floor","15B"
"b7821ce5-f1e0-4106-bffb-eadbb1baba12","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground Floor","16A"
"9d4134a0-632f-4310-beeb-e735bf86f388","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground Floor","16B"
"70540170-0c9d-43d4-ad3e-dfa71c9cf026","","checklist-sectioned","pass","4cc3321690451d9aca4ce73f30da3d9cea5380d80f0e795534ec70a78f9f40e5","checklist","FALSE","FALSE","Ground Floor","19A"
"90939d07-f36d-408b-b4d6-517a02bb35c3","","checklist-sectioned","pass","4cc3321690451d9aca4ce73f30da3d9cea5380d80f0e795534ec70a78f9f40e5","checklist","FALSE","FALSE","Ground Floor","19B"
"72e49b27-7371-491d-b444-0f0b9c470646","","checklist-sectioned","pass","4cc3321690451d9aca4ce73f30da3d9cea5380d80f0e795534ec70a78f9f40e5","checklist","FALSE","FALSE","Ground Floor","18A"
"3b8304d7-5548-41be-950c-01b2b8abe903","","checklist-sectioned","pass","4cc3321690451d9aca4ce73f30da3d9cea5380d80f0e795534ec70a78f9f40e5","checklist","FALSE","FALSE","Ground Floor","18B"
"4c8a0537-2742-44af-9520-420c16584908","","checklist-sectioned","pass","4cc3321690451d9aca4ce73f30da3d9cea5380d80f0e795534ec70a78f9f40e5","checklist","FALSE","FALSE","Ground Floor","17B"
"b4d32db5-8f3d-4ec7-904a-7e898fd077ee","","checklist-sectioned","pass","4cc3321690451d9aca4ce73f30da3d9cea5380d80f0e795534ec70a78f9f40e5","checklist","FALSE","FALSE","Ground Floor","17A"
"7af8b5b4-b557-4bd6-bbcc-983bec364159","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","Shed-1"
"7d561b94-21fb-47ab-93b4-6631ef2347a9","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","Shed-2"
"4bd41074-f92f-4014-8093-a4dfba460cc7","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","P1"
"149d6dbc-4019-46bf-89ad-bf4b7e3c2e6c","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","P2"
"33698b0c-06ea-4729-a1de-87065d78c849","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","P3"
"5992e23c-615f-491d-930b-f684bc324d4e","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","LTE-A"
"8ec879fc-9df9-415e-b64c-fb16d02b10b5","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","LTE-B"
"edb1cfea-e190-4ebc-81d2-8cabafbfc150","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","LTE-C"
"c0249021-1b2a-4ad7-ab4b-f0f0721749f5","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","W1"
"77b83b29-7e26-4519-89a8-62e1d9d0bf6b","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","W2"
"e26ed851-45e0-4aa0-8f1d-284262b8e13b","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","W3"
"a607b5e9-5a51-4682-88d6-c6542afc7fc2","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","W4"
"c70f9dad-d7ae-4d7f-bc7d-2aedf5ad7676","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","W5"
"ef43677e-9ebe-44e9-8835-b3bbf9be87cf","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","W7"
"cf62e3db-b284-40ee-b513-e67214205a5b","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","W8"
"41270dae-c35f-4aae-85dc-09b51ce44faf","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","W9"
"aae6accf-6aa3-4f00-9a25-6ef5caab6af1","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","W10"
"f2195eb2-e9d6-4420-8b32-f1d97b43de99","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","W11"
"2cf31349-a8c6-4b07-b5d2-a1036f374ba2","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground Floor","W6"
