"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"51cdc344-a3f0-4c5c-bc26-3def62e8f8a8","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"5a0215d0-f423-4728-8893-8937b99f3ccf","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Stage 1"
"3ab70b34-404a-44b1-b972-624a1d5b34a5","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 12"
"8e2c0b66-081d-4c08-961c-2bc2393753a2","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 12","Inground Plumbing Installation"
"b5f9c7ec-6d2d-4f43-ae85-5894d59e47ec","","checklist-sectioned","not-started","Authority Main to Meter Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Inground Plumbing Installation","Authority Main to Meter Installation"
"7697520d-dff9-4633-a301-e407a29a1ca3","","checklist-sectioned","not-started","Drainage Installation (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Inground Plumbing Installation","Drainage Installation (In-ground)"
"30ffb4ee-c0de-4182-b17e-b9b13d467095","","checklist-sectioned","not-started","Water Service Installation (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Inground Plumbing Installation","Water Service Installation (In-ground)"
"00d29746-7f10-4822-8878-2a7f5c6c3509","","checklist-sectioned","not-started","Water Service Installation (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Inground Plumbing Installation","Gas Service Installation (In-ground)"
"8505a989-a355-4497-bce9-f53a4573c524","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 12","Rough-in Plumbing Installation"
"8d2ab4e2-11cf-42b0-9648-39fe1b79177f","","checklist-sectioned","not-started","Waste & Vent Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Rough-in Plumbing Installation","Waste & Vent Installation"
"60b0e69a-c2d9-477c-bb13-58c022380649","","checklist-sectioned","not-started","Water Service Installation (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)"
"98514a6c-f401-49d9-bbe1-6ae3986a83e5","","checklist-sectioned","not-started","Gas Service Installation (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)"
"6a35086d-828c-4c3a-b19d-41486f34970d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 12","Fit-off Plumbing Installation"
"196bbd51-4c06-4eb1-9ad9-d7d72e8ae421","","checklist-sectioned","not-started","Toilet & Cistern Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Fit-off Plumbing Installation","Toilet & Cistern Installation"
