type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,
checklist,ITP-102-STR-RSS Wall Main,itp,,,,Yes,ITP-102-STR-RSS Wall Main Rev 0,,,,,,,,,,,,,
section,1. Referenced Documentation,,,,,,,,,,,,,,,,,,,
checkpoint-no-status,1. Referenced Documentation,,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-102-STR-CPD-RSS Wall Main,,,,,,,,,,,,,,,,,,,
label,ITP Description: CPD-RSS Wall Main,,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): STR,,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,,
label,Revision Date: 09/11/2023,,,,,,,,,,,,,,,,,,,
label,ITP created by: Matthew Dib/Jason Quan,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Pradeep Talasila,,,,,,,,,,,,,,,,,,,
checkpoint,1.1 - Non Dependent,,,,,,,,,,,,,,,,,,,
label,Reference - VicRoads Section 682 November 2018,,,,,,,,,,,,,,,,,,,
checkpoint,1.2 - Non Dependent,,,,,,,,,,,,,,,,,,,
label,Reference - VicRoads Section 204 December 2015,,,,,,,,,,,,,,,,,,,
checkpoint,1.3 - Non Dependent,,,,,,,,,,,,,,,,,,,
label,Reference - IFC drawings,,,,,,,,,,,,,,,,,,,
section,2. Preliminaries-Materials,,,,,,,,,,,,,,,,,,,
checkpoint,2.1 - Concrete-Leveling Pad,,,,,,,,,,,,,,,,,,,
label,Reference - IFC drawings,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Concrete compressive strength grade must not be less than N25 for levelling course and backing blocks;,,,,,,,,,,,,,,,,,,,
textbox,Reference: Teambinder MA number:,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,
label,Frequency - Each element,,,,,,,,,,,,,,,,,,,
label,Category - HP*,,,,,,,,,,,,,,,,,,,
label,Responsibility - PE/Nominated Authority,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - Material approval,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
checkpoint,2.2 - Select fill,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings VR 682 ,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Select fill shall comply with the requirements of the RSS designer:,,,,,,,,,,,,,,,,,,,
label,○ UNIT WEIGHT (Max): ≤ 16 kN/m³ ,,,,,,,,,,,,,,,,,,,
label,○ COHESION (Min): ≥ 0 kPa ,,,,,,,,,,,,,,,,,,,
label,○ INTERNAL FRICTION ANGLE (Min): ≥ 36°,,,,,,,,,,,,,,,,,,,
label,Gradation:,,,,,,,,,,,,,,,,,,,
label,○ 150mm : 100% PASSING,,,,,,,,,,,,,,,,,,,
label,○ 37.5mm : 60 TO 100% PASSING,,,,,,,,,,,,,,,,,,,
label,○ 9.5mm : 25 TO 100% PASSING,,,,,,,,,,,,,,,,,,,
label,○ 2.36mm : 15 TO 100% PASSING,,,,,,,,,,,,,,,,,,,
label,○ 0.6mm : 10 TO 100% PASSING,,,,,,,,,,,,,,,,,,,
label,○ 0.075mm : 0 TO 15% PASSING,,,,,,,,,,,,,,,,,,,
label,Electrochemical Properties:,,,,,,,,,,,,,,,,,,,
label,○ pH: 5 - 10,,,,,,,,,,,,,,,,,,,
label,○ RESISTIVITY >1000 Ω-cm,,,,,,,,,,,,,,,,,,,
label,○ CHLORIDES <200 mg/kg,,,,,,,,,,,,,,,,,,,
label,○ SULPHATES <200 mg/kg,,,,,,,,,,,,,,,,,,,
label,○ ORGANIC CONTENT 0%,,,,,,,,,,,,,,,,,,,
