"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8b3eacfa-211f-4d04-a2d3-b9ce808b8291","","fail","","folder","TRUE","FALSE","Material Inspection "
"00346bd0-d239-477b-bfad-64419153457f","","pass","","folder","TRUE","FALSE","FH-ZU2-QU-ITP003 - Stripping Topsoil and Bulk Excavation"
"36e7b7cd-eeb9-4aaa-a65b-0aea259d8b7c","","pass","FH-ZU2-QU-ITP003 - Stripping Topsoil and Bulk Excavation - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP003 - Stripping Topsoil and Bulk Excavation","FH-ZU2-QU-ITP003-LOT-001 - Stage 1"
"6f7e7df3-affc-4011-bf98-4482d19a68bc","","pass","FH-ZU2-QU-ITP003 - Stripping Topsoil and Bulk Excavation - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP003 - Stripping Topsoil and Bulk Excavation","FH-ZU2-QU-ITP003-LOT-002 - Stage 3"
"c337db70-3fd2-43ac-bd6d-191421def4ab","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP004 - Select Fill Placement"
"f7f5af3a-47a1-4667-919d-e30f1340adf8","","work-in-progress","","folder","TRUE","FALSE","FH-ZU2-QU-ITP005 - Stormwater Drainage"
"e1aeb029-6baf-4df8-8e8a-8ebaa376869e","","work-in-progress","FH-ZU2-QU-ITP005 - Stormwater Drainage - Rev 1","checklist","FALSE","FALSE","FH-ZU2-QU-ITP005 - Stormwater Drainage","FH-ZU2-QU-ITP005-LOT-001 - DR-PI-Z-006"
"394cdefe-d917-46d6-99f9-456ddfd149b6","","work-in-progress","FH-ZU2-QU-ITP005 - Stormwater Drainage - Rev 1","checklist","FALSE","FALSE","FH-ZU2-QU-ITP005 - Stormwater Drainage","FH-ZU2-QU-ITP005-LOT-002 - DR-PI-Z-008"
"49c9fcad-5a58-42b2-b857-a98e6116c26e","","work-in-progress","","folder","TRUE","FALSE","FH-ZU2-QU-ITP006 - Subsoil Drainage"
"ce86ebc2-5e0c-4b41-8df1-8d90ba097bf9","","work-in-progress","FH-ZU2-QU-ITP006 - Subsoil Drainage - Rev 1","checklist","FALSE","FALSE","FH-ZU2-QU-ITP006 - Subsoil Drainage","FH-ZU2-QU-ITP006-LOT-001 - SS-FR-18 - DR-PT-Z-005"
"3b3db7bd-f913-4ec2-950e-93d56a9b6305","","work-in-progress","FH-ZU2-QU-ITP006 - Subsoil Drainage - Rev 1","checklist","FALSE","FALSE","FH-ZU2-QU-ITP006 - Subsoil Drainage","FH-ZU2-QU-ITP006-LOT-002 - SS-FR-19 - SS-S0-007"
"a0374a00-94cf-412d-955c-041ce1eb1854","","work-in-progress","FH-ZU2-QU-ITP006 - Subsoil Drainage - Rev 1","checklist","FALSE","FALSE","FH-ZU2-QU-ITP006 - Subsoil Drainage","FH-ZU2-QU-ITP006-LOT-003 - SSC-PI-37"
"d90c4d3d-26a1-4d44-8e91-c1d84c5b92e7","","not-started","FH-ZU2-QU-ITP006 - Subsoil Drainage - Rev 1","checklist","FALSE","FALSE","FH-ZU2-QU-ITP006 - Subsoil Drainage","FH-ZU2-QU-ITP006-LOT-004 - SSC-PI-38, SS-PI-UT-11 & SS-PI-UT-14"
"ea70804f-3742-45d1-8b2c-a20a92304c67","","work-in-progress","","folder","TRUE","FALSE","FH-ZU2-QU-ITP007 - Precast Drainage Structures"
"99a32c14-83be-43b7-b6d3-3c1ccd856a53","","work-in-progress","FH-ZU2-QU-ITP007 - Precast Drainage Structures - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP007 - Precast Drainage Structures","FH-ZU2-QU-ITP007-LOT-001 - DR-PT-Z-005"
"a7932fa4-483d-424e-bcf9-487da283e28a","","work-in-progress","FH-ZU2-QU-ITP007 - Precast Drainage Structures - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP007 - Precast Drainage Structures","FH-ZU2-QU-ITP007-LOT-002 - DR-HW-Z-005 & DR-HW-Z-006"
"7e8bf027-3bd3-4075-85ef-01468e126857","","work-in-progress","","folder","TRUE","FALSE","FH-ZU2-QU-ITP008 - Lime Stabilisation / Subgrade Improvement"
"fae1f856-5c24-4dad-9b1b-4645f7f58a70","","pass","FH-ZU2-QU-ITP008 - Lime Stabilisation / Subgrade Improvement - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP008 - Lime Stabilisation / Subgrade Improvement","FH-ZU2-QU-ITP008-LOT-001 - Stage 1 Outer Shoulders"
"28d880f6-7046-453b-b391-4e484550f72a","","pass","FH-ZU2-QU-ITP008 - Lime Stabilisation / Subgrade Improvement - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP008 - Lime Stabilisation / Subgrade Improvement","FH-ZU2-QU-ITP008-LOT-002 - Stage 1 PT1"
"2a7daf34-7d41-4a3b-8bae-5631d1dbc752","","work-in-progress","FH-ZU2-QU-ITP008 - Lime Stabilisation / Subgrade Improvement - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP008 - Lime Stabilisation / Subgrade Improvement","FH-ZU2-QU-ITP008-LOT-003 - Stage 3 East - Shift 1"
"0c2fe47f-ba2c-4a6a-8514-f672a2415d1e","","work-in-progress","FH-ZU2-QU-ITP008 - Lime Stabilisation / Subgrade Improvement - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP008 - Lime Stabilisation / Subgrade Improvement","FH-ZU2-QU-ITP008-LOT-004 - Stage 3 East - Shift 2"
"4abf53c0-b89b-4828-a68b-f294b668faa3","","work-in-progress","FH-ZU2-QU-ITP008 - Lime Stabilisation / Subgrade Improvement - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP008 - Lime Stabilisation / Subgrade Improvement","FH-ZU2-QU-ITP008-LOT-005 - Stage 3 East - Shift 3"
"e565334e-a811-4601-a7e5-ba5c09b68dd4","","work-in-progress","FH-ZU2-QU-ITP008 - Lime Stabilisation / Subgrade Improvement - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP008 - Lime Stabilisation / Subgrade Improvement","FH-ZU2-QU-ITP008-LOT-006 - Stage 3 East - Shift 4"
"3ee48245-35f8-447f-8b46-6ddd47d6c7a2","","work-in-progress","","folder","TRUE","FALSE","FH-ZU2-QU-ITP009 - Unbound Pavements (FCR & RCC)"
"fcfa55a1-39c1-452b-afee-36ba373bce3c","","pass","Ω (Deprecated) FH-ZU2-QU-ITP009-LOT-001 - Stage 1 PT1 - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP009 - Unbound Pavements (FCR & RCC)","FH-ZU2-QU-ITP009-LOT-001 - Stage 1 PT1"
"9045fb99-4c18-42b8-a5b7-86f85af29f3d","","work-in-progress","FH-ZU2-QU-ITP009 - Unbound Pavements (FCR & RCC) - Rev 1","checklist","FALSE","FALSE","FH-ZU2-QU-ITP009 - Unbound Pavements (FCR & RCC)","FH-ZU2-QU-ITP009-LOT-002 - Stage 1 PT2 L1 "
"6360428a-ede3-4bdd-bc97-09ad406d828d","","work-in-progress","FH-ZU2-QU-ITP009 - Unbound Pavements (FCR & RCC) - Rev 1","checklist","FALSE","FALSE","FH-ZU2-QU-ITP009 - Unbound Pavements (FCR & RCC)","FH-ZU2-QU-ITP009-LOT-003 - Stage 1 PT2 L2"
"9b5f11d7-2d3c-4e40-b5cf-34c0458b0c28","","work-in-progress","FH-ZU2-QU-ITP009 - Unbound Pavements (FCR & RCC) - Rev 1","checklist","FALSE","FALSE","FH-ZU2-QU-ITP009 - Unbound Pavements (FCR & RCC)","FH-ZU2-QU-ITP009-LOT-004 - Stage 3 East PT1 Shift 1"
"491143a9-99f2-4484-957b-4fdc1e44c0ae","","work-in-progress","FH-ZU2-QU-ITP009 - Unbound Pavements (FCR & RCC) - Rev 1","checklist","FALSE","FALSE","FH-ZU2-QU-ITP009 - Unbound Pavements (FCR & RCC)","FH-ZU2-QU-ITP009-LOT-005 - Stage 3 East PT1 Shift 2"
"a2c43cba-0c70-4989-a2a7-7fd77d8246af","","not-started","FH-ZU2-QU-ITP009 - Unbound Pavements (FCR & RCC) - Rev 1","checklist","FALSE","FALSE","FH-ZU2-QU-ITP009 - Unbound Pavements (FCR & RCC)","FH-ZU2-QU-ITP009-LOT-006 - Stage 1 PT2 L3"
"846d8206-65dc-499b-8d49-d592d6fe9c48","","work-in-progress","","folder","TRUE","FALSE","FH-ZU2-QU-ITP010 - Cement Treated Base"
"283efbf0-48d5-44be-a837-5c4eb11d17ab","","work-in-progress","Ω (Deprecated) FH-ZU2-QU-ITP010-LOT-001 - Stage 1 - Pavement Type 1 - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP010 - Cement Treated Base","FH-ZU2-QU-ITP010-LOT-001 - Stage 1 - Pavement Type 1"
"f973f49e-4c6c-48ff-abd7-460fda27262b","","not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP011 - Concrete Production"
"7fb45b4d-8cbd-4d6c-a6e3-9b8d250f1e76","","not-started","FH-ZU2-QU-ITP011 - Concrete Production - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP011 - Concrete Production","ITP011 - Concrete Production"
"f37cdb7e-ae45-46eb-8dd2-7606d9b19fea","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP012 - High Early Strength Lean Concrete Pavement Production"
"585cbe56-0a2a-4a7e-83ad-32e5c58ad51b","","work-in-progress","","folder","TRUE","FALSE","FH-ZU2-QU-ITP013 - PCC Pavements"
"aeec908f-5b11-4699-886e-ac409005197a","","work-in-progress","FH-ZU2-QU-ITP013 - PCC Pavements - Rev 1","checklist","FALSE","FALSE","FH-ZU2-QU-ITP013 - PCC Pavements","FH-ZU2-QU-ITP013-LOT-001 - DX37, DY37, DZ37, EA37, EB37, EC37, ED37, EE37, EF37, EF39"
"0db72fbd-8041-4fdd-954b-9e868ccc5cdd","","work-in-progress","FH-ZU2-QU-ITP013 - PCC Pavements - Rev 1","checklist","FALSE","FALSE","FH-ZU2-QU-ITP013 - PCC Pavements","FH-ZU2-QU-ITP013-LOT-002 - DX33, DY33, DZ33, EA33, EB33, EC33, ED33, EE33, EF33"
"c5d38551-629f-4342-b3e6-232e29a96b9c","","work-in-progress","FH-ZU2-QU-ITP013 - PCC Pavements - Rev 1","checklist","FALSE","FALSE","FH-ZU2-QU-ITP013 - PCC Pavements","FH-ZU2-QU-ITP013-LOT-003 - EG31, EH30, EI29, EJ28"
"4c88eb14-6985-4a27-baed-269ac05cd7f3","","work-in-progress","FH-ZU2-QU-ITP013 - PCC Pavements - Rev 1","checklist","FALSE","FALSE","FH-ZU2-QU-ITP013 - PCC Pavements","FH-ZU2-QU-ITP013-LOT-004 -  DX36, DY36, DZ36, EA36, EB36, EC36, ED36, EE36, EF36"
"50e8a1e7-579a-409e-af15-55b1f7e009be","","work-in-progress","FH-ZU2-QU-ITP013 - PCC Pavements - Rev 1","checklist","FALSE","FALSE","FH-ZU2-QU-ITP013 - PCC Pavements","FH-ZU2-QU-ITP013-LOT-005 - EC39, ED39, EE39, EF40, DX34, DY34, DZ34, EA34, EB34, EC34, ED34, EE34, EF34"
"b625367a-cd49-4401-a74d-c76fb4d608b9","","work-in-progress","FH-ZU2-QU-ITP013 - PCC Pavements - Rev 1","checklist","FALSE","FALSE","FH-ZU2-QU-ITP013 - PCC Pavements","FH-ZU2-QU-ITP013-LOT-006 - DX32, DY32, DZ32, EA32, EB32, EC32, ED32, EE32, EF32"
"72a8316f-0a94-4076-af48-c0405733fbed","","work-in-progress","FH-ZU2-QU-ITP013 - PCC Pavements - Rev 1","checklist","FALSE","FALSE","FH-ZU2-QU-ITP013 - PCC Pavements","FH-ZU2-QU-ITP013-LOT-007 - DX38, DY38, DZ38, EA38, EB38, EC38, ED38, EE38, EF38"
"2b91208d-d752-4fcf-a505-010f43a18df4","","work-in-progress","FH-ZU2-QU-ITP013 - PCC Pavements - Rev 1","checklist","FALSE","FALSE","FH-ZU2-QU-ITP013 - PCC Pavements","FH-ZU2-QU-ITP013-LOT-008 - ED31, EE31, EF31"
"add2db00-3dfb-4a4b-854c-d75c5402b727","","work-in-progress","FH-ZU2-QU-ITP013 - PCC Pavements - Rev 1","checklist","FALSE","FALSE","FH-ZU2-QU-ITP013 - PCC Pavements","FH-ZU2-QU-ITP013-LOT-009 - FH-ZU2-QU-ITP013-LOT-009"
"a4d4e822-a012-40c3-a3d2-6c6bdd78bfa2","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP014 - Sawcutting & Joint Sealing"
"6faac85f-2b97-41c8-a4c0-fc8142151af6","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP015 - High Early Strength Lean Concrete Placement"
"d1884a1c-5dd1-484a-b6fb-455fc66885f1","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP016 - Asphalt Production - Airport Mix"
"796d398c-caac-48fb-8b35-084daa4d2d50","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP017 - Asphalt Production - 14H Mix"
"96367f0b-378b-4c7f-8ae9-165947c2ccaf","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP018 - Asphalt Placement"
"cdd20f2f-94ee-44ef-bb23-77fcca06f374","","pass","","folder","TRUE","FALSE","FH-ZU2-QU-ITP019 - Spray Seal Placement"
"2fa255a9-7aa0-4520-8281-20ad4f4106e6","","pass","FH-ZU2-QU-ITP019 - Spray Seal Placement - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP019 - Spray Seal Placement","FH-ZU2-QU-ITP019-LOT-001 - Spray Seal - Stage 1"
"e18664b2-075e-4564-bf72-cfefcc528e6d","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP020 - Prime Coat"
"0485ab31-fa84-4549-a5e8-90165e9e99a2","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP021 - Tack Coat"
"378a7fe2-7357-4180-bcf2-10caf8a09beb","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP022 - Hatelit Install"
"a542bed2-0b2f-4370-8bc8-824c5481e763","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP023 - RBB"
"fa909319-1d3a-4870-a5e6-8203a4919a74","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP024 - Line Marking"
"85b55f02-b2bd-4362-a156-f87c5530d423","","work-in-progress","","folder","TRUE","FALSE","FH-ZU2-QU-ITP025 - AGL Conduit Installation"
"9ec2f75d-d77e-4311-ac13-f64424504e48","","work-in-progress","FH-ZU2-QU-ITP025 - AGL Conduit and Boring Installation - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP025 - AGL Conduit Installation","FH-ZU2-QU-ITP025-LOT-002 - Stage 3 (4 x 100mm Conduits)"
"734181cb-077a-48be-bc37-df4eab49abbb","","work-in-progress","FH-ZU2-QU-ITP025 - AGL Conduit and Boring Installation - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP025 - AGL Conduit Installation","FH-ZU2-QU-ITP025-LOT-001 - Stage 5"
"99e0eaed-0de5-4d03-9afc-fbcc935cb360","","work-in-progress","FH-ZU2-QU-ITP025 - AGL Conduit and Boring Installation - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP025 - AGL Conduit Installation","FH-ZU2-QU-ITP025-LOT-003 - ALER 3 - AGL Conduit Trench (8 x 100mm)"
"9a1d819a-5184-4672-b266-c0010709a718","","work-in-progress","FH-ZU2-QU-ITP025 - AGL Conduit and Boring Installation - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP025 - AGL Conduit Installation","FH-ZU2-QU-ITP025-LOT-004 - IWDI Trench Line - (2 x 100 mm)"
"d1729ba8-0ba4-40ca-a434-818d84378f45","","work-in-progress","FH-ZU2-QU-ITP025 - AGL Conduit and Boring Installation - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP025 - AGL Conduit Installation","FH-ZU2-QU-ITP025-LOT-005 - Stage 1"
"0c668235-ebb3-49b3-8189-1505f328fa73","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP026 - AGL General, Testing & Commissioning"
"e29bff28-f6f7-42b9-80b5-e6ffb8a5e1d0","","pass","","folder","TRUE","FALSE","FH-ZU2-QU-ITP027 - AGL Cabling"
"7c642715-0fdd-40e4-9836-363575b4c7d8","","pass","FH-ZU2-QU-ITP027 - AGL Cabling - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP027 - AGL Cabling","FH-ZU2-QU-ITP027-LOT-001 - Stage 5"
"5489c613-93eb-46fd-8d18-39e93ec29de9","","work-in-progress","","folder","TRUE","FALSE","FH-ZU2-QU-ITP028 - AGL MAG Signs"
"71d7e8aa-b9cd-407e-a20a-272301d59f20","","work-in-progress","FH-ZU2-QU-ITP028 - AGL MAG Signs - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP028 - AGL MAG Signs","FH-ZU2-QU-ITP028-LOT-001 - Stage 5"
"955af896-30b2-463d-aa17-7f8472b29768","","not-started","FH-ZU2-QU-ITP028 - AGL MAG Signs - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP028 - AGL MAG Signs","FH-ZU2-QU-ITP028-LOT-002 - Stage 1"
"e49cf522-3dab-4de3-9cb3-157dea09adee","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP029 - Topsoil and Grassing"
"4d9df115-e2f5-41a1-8639-b5bd3f80a563","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP030 - Precast Concrete Walls"
"9cc21d08-174d-46a1-a0b5-17150349eab6","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP031 - Electrical and Communications Conduits Install"
"345843f8-363b-419f-a990-a2516a6aee71","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP032 - Sewer Pipe Install"
"8b302eb2-e9d4-4a80-ab74-984539868a0f","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP033 - Building Fitout"
"165774b5-6c9f-4178-a065-261cc990a1ae","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP034 - HV Conduits"
"838bee1a-a12c-4e0f-9abe-64d925d6c4f0","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP035 - HV Cabling"
"a0e25e65-94c9-4fb9-8507-c53f523815bc","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP036 - HV Testing & Commissioning"
"6c6bfb91-0fbf-44fc-894f-dc8321b5bf62","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP037 - Miscellaneous Concrete Structures"
"ab6b250c-f409-4ebb-9355-5c6e12d33182","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP038 - Native Grass Protection"
"d2a9c7c3-f057-4f35-9d07-9109c3186262","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP039 - AGL Boring Installation"
"3dd1feab-f326-4593-b636-422184942c61","","work-in-progress","","folder","TRUE","FALSE","FH-ZU2-QU-ITP040 - AGL Pit Installation"
"a90c5380-d4ab-4326-9240-f217437bf0c1","","work-in-progress","FH-ZU2-QU-ITP040 - AGL Pit Installation - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP040 - AGL Pit Installation","FH-ZU2-QU-ITP040-LOT-002 - Stage 3 (EP222)"
"fc82f7f7-92e6-4215-896c-022c5fb3c150","","work-in-progress","FH-ZU2-QU-ITP040 - AGL Pit Installation - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP040 - AGL Pit Installation","FH-ZU2-QU-ITP040-LOT-003 - Stage 1 (EP223)"
"3b07ba90-ee50-4661-9a68-98f50a8e38a5","","work-in-progress","FH-ZU2-QU-ITP040 - AGL Pit Installation - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP040 - AGL Pit Installation","FH-ZU2-QU-ITP040-LOT-004 - Stage 1 (EP224)"
"1aaf2927-b287-43eb-a280-24db5f730342","","work-in-progress","FH-ZU2-QU-ITP040 - AGL Pit Installation - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP040 - AGL Pit Installation","FH-ZU2-QU-ITP040-LOT-005 - Stage 1 (EP225)"
"e549af70-8996-48cf-b758-00f1a76bf246","","pass","FH-ZU2-QU-ITP040 - AGL Pit Installation - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP040 - AGL Pit Installation","FH-ZU2-QU-ITP040-LOT-001 - Stage 3 (EP235)"
"ba8b9fed-6e52-43d4-af29-65379b4b726f","","pass","FH-ZU2-QU-ITP040 - AGL Pit Installation - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP040 - AGL Pit Installation","FH-ZU2-QU-ITP040-LOT-006 - ALER 3 (EP206)"
"5534b5fc-76a6-4a2a-9e8a-a78e89e949e6","","pass","FH-ZU2-QU-ITP040 - AGL Pit Installation - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP040 - AGL Pit Installation","FH-ZU2-QU-ITP040-LOT-007 - ALER 3 (EP207)"
"09ed5d5e-40de-402b-9d1f-c41a54fc9f2a","","pass","FH-ZU2-QU-ITP040 - AGL Pit Installation - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP040 - AGL Pit Installation","FH-ZU2-QU-ITP040-LOT-008 - ALER 3 (EP208)"
"815d1e3d-2a89-4f75-9f2a-68dcce02c823","","pass","FH-ZU2-QU-ITP040 - AGL Pit Installation - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP040 - AGL Pit Installation","FH-ZU2-QU-ITP040-LOT-009 - ALER 3 (EP209)"
"5c6f8ba2-b634-4011-bc97-c8bd38fb6d2e","","pass","FH-ZU2-QU-ITP040 - AGL Pit Installation - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP040 - AGL Pit Installation","FH-ZU2-QU-ITP040-LOT-010 - ALER 3 (EP210)"
"44d35ae8-357e-40ef-bdfe-dd5d3e141182","","pass","FH-ZU2-QU-ITP040 - AGL Pit Installation - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP040 - AGL Pit Installation","FH-ZU2-QU-ITP040-LOT-011 - ALER 3 (EP211)"
"23e53bc9-55c5-46a1-aa36-bd8143cd7fb4","","no-status-not-started","","folder","TRUE","FALSE","FH-ZU2-QU-ITP041 - AGL Pit Fit Out"
"a6710577-26f4-4353-8225-ca10deb2e570","","work-in-progress","","folder","TRUE","FALSE","FH-ZU2-QU-ITP042 - AGL Shallow Base Cans"
"e48ac3ff-795f-4ded-9393-070f88d8384c","","pass","FH-ZU2-QU-ITP042 - AGL Shallow Base Cans - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP042 - AGL Shallow Base Cans","FH-ZU2-QU-ITP042-LOT-001 - Stage 5"
"0997c06d-bd88-4968-8e73-d597cfe0c2de","","work-in-progress","FH-ZU2-QU-ITP042 - AGL Shallow Base Cans - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP042 - AGL Shallow Base Cans","FH-ZU2-QU-ITP042-LOT-002 - Stage 1"
"978346ba-362c-4268-bc4f-658bb0ec0824","","work-in-progress","","folder","TRUE","FALSE","FH-ZU2-QU-ITP043 - AGL Deep Base Cans"
