"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8b3eacfa-211f-4d04-a2d3-b9ce808b8291","","fail","","folder","TRUE","FALSE","Material Inspection "
"ecdc355d-30fc-423a-ae50-86e3034f057f","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP006 - MIN002 - GM721G Lids (FOR)"
"4e05a60f-114e-4636-a1ce-f8bafd4494fb","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP006 - MIN001 - 100mm SN20 Agi Pipe"
"dc4cf4be-141f-432c-830c-a30cb7ce9fe9","","fail","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP007 - MIN001 - Precast Drainage Structures"
"a5b90824-83d0-452e-bf72-13d5727ee825","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP005 - MIN001 - 525dia RCPs"
"5e2772f3-a3f6-403b-b968-2d1557216a25","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP007 - MIN002 - Precast Drainage Structures"
"fa2c593e-19de-4c0c-8431-7abc7878c389","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP005 - MIN002 - 5.06.24 RCP Delivery"
"ede87a6d-4f9f-4ab9-8707-0b8f591a4b9b","","work-in-progress","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","Hurdles"
"0b3e6291-a475-44f9-8029-2fa4a689a926","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP013 - SL92 Mesh"
"a16070c9-d53d-4376-9664-04e6227f17c2","","not-started","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP013 - Dowel Cradles"
"ea974a37-d88e-431d-be13-9fa8ccb966f6","","fail","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP005 - MIN003 - 13.06 RCP Delivery"
"1cfc3208-859d-4faf-b1d7-7935b25c5431","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP006 - MIN003 - 5.07 Batter Outlets"
"6097ae13-fd13-4e92-83b8-9343c20b3b77","","pass","Order Acceptance Certificate","checklist","FALSE","FALSE","Material Inspection ","ITP007 - MIN003 - Box Culvert Inverts and Lids"
"0d94120e-6c03-41a5-9292-02cb6fda4b48","","work-in-progress","","folder","TRUE","FALSE","FH-ZU2-QU-ITP001 - Demolition of Existing Infrastructure"
"46d46c53-4b35-484b-8875-71d3ada4b9e6","","pass","FH-ZU2-QU-ITP001 - Demolition of Existing Pavements - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP001 - Demolition of Existing Infrastructure","FH-ZU2-QU-ITP001-LOT-001 - Stage 1 - Rigid & Flexible Pavement Demolition - TWY Papa"
"e91e11e4-9343-4fb7-a3af-bf3776a5cb72","","work-in-progress","FH-ZU2-QU-ITP001 - Demolition of Existing Pavements - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP001 - Demolition of Existing Infrastructure","FH-ZU2-QU-ITP001-LOT-002 - Stage 2 - TWY Alpha - Rigid and Flexible Pavements"
"517dbdae-4a57-4fa5-a436-eb43033e90c9","","pass","","folder","TRUE","FALSE","FH-ZU2-QU-ITP002 - Site Establishment"
"3c65b554-bef2-45a4-b67d-9030d0812eb1","","pass","FH-ZU2-QU-ITP002 - Site Establishment - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP002 - Site Establishment","FH-ZU2-QU-ITP002-LOT-001 - Gate 3 Compound"
"4cad4351-7671-4dcf-a090-3b5b12e71283","","pass","FH-ZU2-QU-ITP002 - Site Establishment - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP002 - Site Establishment","FH-ZU2-QU-ITP002-LOT-002 - Gate 3 Batch Plant Compound"
"8b68f7b8-8399-4ff7-8658-65dc1fddabd5","","pass","FH-ZU2-QU-ITP002 - Site Establishment - Rev 0","checklist","FALSE","FALSE","FH-ZU2-QU-ITP002 - Site Establishment","FH-ZU2-QU-ITP002-LOT-003 - Gate 11 Site Compound"
