type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,
checklist,ITR-E-64 General Lighting,, , , , ,,,,
section,Details,,,,,,,,,
checkpoint,General Lighting,,,,,,,,,
textbox,Manufacturer:,,,,,,,,,
textbox,Model No:,,,,,,,,,
textbox,Serial and Tag Numbers:,,,,,,,,,
button,Check equipment and nameplate details are correct and in accordance with the data sheet and Equipment Schedule.,"Yes,N/A",,,,,,,,
button,No mechanical damage and paintwork in good condition.,"Yes,N/A",,,,,,,,
button,Operation of emergency lighting fixtures checked,"Yes,N/A",,,,,,,,
button,Mounting arrangement and degree unit is installed is correct,"Yes,N/A",,,,,,,,
button,External cabling is correctly installed and labelled.,"Yes,N/A",,,,,,,,
button,Battery run-down test per manufacturers specification,"Yes,N/A",,,,,,,,
button,Power / load balance on distribution board checked,"Yes,N/A",,,,,,,,
button,Operation of remote lighting control checked,"Yes,N/A",,,,,,,,
button,All spare entries blanked off with correct plugs.,"Yes,N/A",,,,,,,,
button,"Check item is suitably rated for area (E.g. IP rating, Ex rating)","Yes,N/A",,,,,,,,
button,Conforms to Specifications and Drawings.,"Yes,N/A",,,,,,,,
button,Insulation resistance of final sub-circuits checked,"Yes,N/A",,,,,,,,
button,Operation of photo-electric cell control checked,"Yes,N/A",,,,,,,,
button,Lighting pole is adequately earthed,"Yes,N/A",,,,,,,,
button,Circuit ID fitted to all light switches,"Yes,N/A",,,,,,,,
button,All fittings correctly labelled,"Yes,N/A",,,,,,,,
button,"All switching tested and confirmed as correct (two way, intermediate, on/off/auto etc","Yes,N/A",,,,,,,,
checkpoint,Insert Photo,,,,,,,,,
button,As-Built drawings completed ,"Yes,N/A",,,,,,,,
checkpoint,Lux Levels,,,,,,,,,
button,Lux levels meet minimum client specifications. (Closed door and measure lux level at darkest point of personnel accessible area),"Yes,N/A",,,,,,,,
textbox,Lux Results:,,,,,,,,,
holdpoint,"Add applicable signatures (e.g Electrician, Inspector, Client Representative)",,,,,,,,,
,,,,,,,,,,
checklist,ITR-E-01 General Electrical Equipment,, , , , ,,,,
section,Details,,,,,,,,,
checkpoint,General Electrical Equipment,, , ,,,,,,
textbox,Tag Numbers:,,,,,,,,,
button,Check equipment and nameplate details are correct and in accordance with the data sheet and equipment schedule.,"Yes,N/A", , ,,,,,,
button,No mechanical damage and paintwork in good condition.,"Yes,N/A", , ,,,,,,
button,Installation is clean and tidy,"Yes,N/A", , ,,,,,,
button,Mounting arrangement correct,"Yes,N/A", , ,,,,,,
button,All internal cabling and wiring correctly installed and labelled.,"Yes,N/A", , ,,,,,,
button,External cabling is correctly installed and labelled.,"Yes,N/A", , ,,,,,,
button,Check that Equipment is correctly earthed.,"Yes,N/A", , ,,,,,,
button,"Check gland, plate, frame & door earth continuity","Yes,N/A", , ,,,,,,
button,All spare entries blanked off with correct plugs.,"Yes,N/A", , ,,,,,,
button,"Check item is suitably rated for area (E.g. IP rating, Ex rating)","Yes,N/A", , ,,,,,,
button,Conforms to Specifications and Drawings.,"Yes,N/A", , ,,,,,,
checkpoint,Insert Photo,,,,,,,,,
button,As-builts complete.,"Yes,N/A", , ,,,,,,
checkpoint,Electrical Checks,, , ,,,,,,
textbox,"Record test results: Insulation Resistance, Continuity, Bonding, Other.",, ,MegaOhms,,,,,,
holdpoint,Installed by:,,,,,,,,,
,,,,,,,,,,
checklist,ITR-E-69 Fire Detection System,,,,,,,,,
section,Details,,,,,,,,,
checkpoint,Fire Detection System,,,,,,,,,
button,Fire Panel ITR has been completed,"Yes,N/A",,,,,,,,
textbox,Tag Numbers:,,,,,,,,,
button,Smoke alarms have been installed as per specification,"Yes,N/A",,,,,,,,
button,Smoke alarms are ALL operational,"Yes,N/A",,,,,,,,
button,Alarm speaker has been installed per specifications,"Yes,N/A",,,,,,,,
button,Alarm speaker is operational,"Yes,N/A",,,,,,,,
button,Fire alarm beacon has been installed per specification,"Yes,N/A",,,,,,,,
button,Fire alarm beacon is operational,"Yes,N/A",,,,,,,,
button,Manual call point has been installed per specification,"Yes,N/A",,,,,,,,
button,Manual call point is operational,"Yes,N/A",,,,,,,,
button,Installations are all unobstructed,"Yes,N/A",,,,,,,,
button,No mechanical damage and paintwork in good condition.,"Yes,N/A",,,,,,,,
button,All installations have identification tags,"Yes,N/A",,,,,,,,
button,All internal cabling and wiring correctly installed and labelled.,"Yes,N/A",,,,,,,,
button,E.O.L has been installed as is operational,"Yes,N/A",,,,,,,,
textbox,Other fire system installations have been installed correctly:,,,,,,,,,
button,As-builts complete.,"Yes,N/A",,,,,,,,
checkpoint,Functional Check,,,,,,,,,
textbox,Selt test:,,,,,,,,,
textbox,Alarm Operation:,,,,,,,,,
textbox,Fault relay operation:,,,,,,,,,
textbox,Measured output (clear path):,,,,,,,,,
textbox,Measured output (blocked path):,,,,,,,,,
textbox,Measured output (filter in place):,,,,,,,,,
checkpoint,Upload QA pack from fire alarm installers,,,,,,,,,
textbox,Confirm ENTEC witness of installers testing,,,,,,,,,
holdpoint,"Add applicable signatures (e.g Electrician, Inspector, Client Representative)",,,,,,,,,
,,,,,,,,,,
checklist,ITR-E-06 Control Panel,, , , , ,,,,
section,Details,,,,,,,,,
checkpoint,Control Panel,, , ,,,,,,
button,Check equipment and nameplate details are correct and in accordance with the data sheet and equipment schedule.,"Yes,N/A", , ,,,,,,
button,Check holding down/mounting arrangement is correct.,"Yes,N/A", , ,,,,,,
button,Check for mechanical damage.,"Yes,N/A", , ,,,,,,
button,Check tightness of circuit connections.,"Yes,N/A", , ,,,,,,
button,"All internal cabling and wiring is correctly numbered, colour coded and terminated","Yes,N/A", , ,,,,,,
button,Ammeter scale and current transformer correct.,"Yes,N/A", , ,,,,,,
button,Check internals for cleanliness.,"Yes,N/A", , ,,,,,,
button,"Check manual operation of selector switches, MCB, push buttons, etc.","Yes,N/A", , ,,,,,,
button,"Incoming cables correctly glanded, terminated and labelled. Unused entries sealed with correct plug","Yes,N/A", , ,,,,,,
button,Heaters correctly installed.,"Yes,N/A", , ,,,,,,
button,Fuse rating correct.,"Yes,N/A", , ,,,,,,
checkpoint,Insert Photo,,,,,,,,,
button,As-builts complete.,"Yes,N/A", , ,,,,,,
checkpoint,Electrical Checks,, , ,,,,,,
textbox,"Record test results: Insulation Resistance, Continuity, Bonding, Other.",, , ,,,,,,
holdpoint,Installed by:,, , ,,,,,,
checkpoint,Add applicable signatures,,,,,,,,,
holdpoint,"Add applicable signatures (e.g Electrician, Inspector, Client Representative)",, , ,,,,,,
,,,,,,,,,,
checklist,ITR-E-03 Entec - Distribution Board Installation,, , , , ,,,,
section,Details,,,,,,,,,
checkpoint,Distribution Board Installation,, , ,,,,,,
button,Inspect for mechanical damage from freight and handling,"Yes,N/A", , ,,,,,,
button,"Check tag number is in accordance with Electrical Equipment List, Document No. and nameplate details correct.","Yes,N/A", , ,,,,,,
button,"Check type, size and number of breakers is correct as per drawings","Yes,N/A", , ,,,,,,
button,"Ensure there is no visible damage to the equipment and all meters, LED indicators, switches and fittings are in good order.","Yes,N/A", , ,,,,,,
button,Confirm main isolator operates with associated switches and auxiliaries,"Yes,N/A", , ,,,,,,
button,Check equipment panel external and internal earthing connections are securely fitted and properly terminated on the cabinet protective earth bar.,"Yes,N/A", , ,,,,,,
button,"Check DB, sub circuits, DB Legend and internal cables correctly labelled. As Built drawings complete","Yes,N/A", , ,,,,,,
button,Check sealing of all cable penetration (where applicable).,"Yes,N/A", , ,,,,,,
button,"Active, Neutral and Earth bar properly identified and labelled","Yes,N/A", , ,,,,,,
