resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,
,,,,,step,,,AIDP Ripley Sub-Acute Site QA,,,,,,,,,,
,,,,,step,,,,In-Ground Services Install,,,,,,,,,
QA_TEM_004_Trench and Backfill,QA_TEM_005_Underground Conduit Installation,QA_TEM_081_Cable Pit Installation,,,folder-with-checklists,,,,,In-Ground Services Install - Zone 1,,,,,,,,
QA_TEM_004_Trench and Backfill,QA_TEM_005_Underground Conduit Installation,QA_TEM_081_Cable Pit Installation,,,folder-with-checklists,,,,,In-Ground Services Install - Zone 2,,,,,,,,
QA_TEM_004_Trench and Backfill,QA_TEM_005_Underground Conduit Installation,QA_TEM_081_Cable Pit Installation,,,folder-with-checklists,,,,,In-Ground Services Install - Zone 3,,,,,,,,
QA_TEM_004_Trench and Backfill,QA_TEM_005_Underground Conduit Installation,,,,folder-with-checklists,,,,,In-Ground Services Install - Temps,,,,,,,,
,,,,,step,,,,In Slab Services Install,,,,,,,,,
QA_TEM_007_Cast in Conduit Installation,,,,,checklist,,,,,Cast in Conduit Installation - Level 00 - Pour 1,,,,,,,,
QA_TEM_007_Cast in Conduit Installation,,,,,checklist,,,,,Cast in Conduit Installation - Level 00 - Pour 2,,,,,,,,
QA_TEM_007_Cast in Conduit Installation,,,,,checklist,,,,,Cast in Conduit Installation - Level 00 - Pour 3,,,,,,,,
QA_TEM_007_Cast in Conduit Installation,,,,,checklist,,,,,Cast in Conduit Installation - Level 01 - Pour 1,,,,,,,,
QA_TEM_007_Cast in Conduit Installation,,,,,checklist,,,,,Cast in Conduit Installation - Level 01 - Pour 2,,,,,,,,
QA_TEM_007_Cast in Conduit Installation,,,,,checklist,,,,,Cast in Conduit Installation - Level 01 - Pour 3,,,,,,,,
QA_TEM_007_Cast in Conduit Installation,,,,,checklist,,,,,Cast in Conduit Installation - Level 02 - Pour 1,,,,,,,,
QA_TEM_007_Cast in Conduit Installation,,,,,checklist,,,,,Cast in Conduit Installation - Level 02 - Pour 2,,,,,,,,
QA_TEM_007_Cast in Conduit Installation,,,,,checklist,,,,,Cast in Conduit Installation - Level 02 - Pour 3,,,,,,,,
QA_TEM_007_Cast in Conduit Installation,,,,,checklist,,,,,Cast in Conduit Installation - Stair 1,,,,,,,,
QA_TEM_007_Cast in Conduit Installation,,,,,checklist,,,,,Cast in Conduit Installation - Stair 2,,,,,,,,
QA_TEM_007_Cast in Conduit Installation,,,,,checklist,,,,,Cast in Conduit Installation - External slabs,,,,,,,,
QA_TEM_007_Cast in Conduit Installation,,,,,checklist,,,,,Cast in Conduit Installation - Outbuildings,,,,,,,,
,,,,,step,,,,Equipotential Bonding,,,,,,,,,
QA_TEM_079_Equipotential Bonding,,,,,checklist,,,,,Equipotential Bonding - Level 00 - Pour 1,,,,,,,,
QA_TEM_079_Equipotential Bonding,,,,,checklist,,,,,Equipotential Bonding - Level 00 - Pour 2,,,,,,,,
QA_TEM_079_Equipotential Bonding,,,,,checklist,,,,,Equipotential Bonding - Level 00 - Pour 3,,,,,,,,
QA_TEM_079_Equipotential Bonding,,,,,checklist,,,,,Equipotential Bonding - Level 01 - Pour 1,,,,,,,,
QA_TEM_079_Equipotential Bonding,,,,,checklist,,,,,Equipotential Bonding - Level 01 - Pour 2,,,,,,,,
QA_TEM_079_Equipotential Bonding,,,,,checklist,,,,,Equipotential Bonding - Level 01 - Pour 3,,,,,,,,
QA_TEM_079_Equipotential Bonding,,,,,checklist,,,,,Equipotential Bonding - Level 02 - Pour 1,,,,,,,,
QA_TEM_079_Equipotential Bonding,,,,,checklist,,,,,Equipotential Bonding - Level 02 - Pour 2,,,,,,,,
QA_TEM_079_Equipotential Bonding,,,,,checklist,,,,,Equipotential Bonding - Level 02 - Pour 3,,,,,,,,
QA_TEM_079_Equipotential Bonding,,,,,checklist,,,,,Equipotential Bonding - Stair 1,,,,,,,,
QA_TEM_079_Equipotential Bonding,,,,,checklist,,,,,Equipotential Bonding - Stair 2,,,,,,,,
QA_TEM_079_Equipotential Bonding,,,,,checklist,,,,,Equipotential Bonding - External slabs,,,,,,,,
QA_TEM_079_Equipotential Bonding,,,,,checklist,,,,,Equipotential Bonding - Outbuildings,,,,,,,,
,,,,,step,,,,Cable Tray Installation,,,,,,,,,
QA_TEM_008_Cable Support Prior to Cabling,,,,,checklist,,,,,Cable Tray Installation - Level 00,,,,,,,,
QA_TEM_008_Cable Support Prior to Cabling,,,,,checklist,,,,,Cable Tray Installation - Level 01,,,,,,,,
QA_TEM_008_Cable Support Prior to Cabling,,,,,checklist,,,,,Cable Tray Installation - Level 02,,,,,,,,
QA_TEM_008_Cable Support Prior to Cabling,,,,,checklist,,,,,Cable Tray Installation - Outbuildings,,,,,,,,
,,,,,step,,,,Fire Sealing,,,,,,,,,
QA_TEM_017_Fire Sealing,,,,,checklist,,,,,Fire Sealing - Level 00,,,,,,,,
QA_TEM_017_Fire Sealing,,,,,checklist,,,,,Fire Sealing - Level 01,,,,,,,,
QA_TEM_017_Fire Sealing,,,,,checklist,,,,,Fire Sealing - Level 02,,,,,,,,
QA_TEM_017_Fire Sealing,,,,,checklist,,,,,Fire Sealing - Outbuildings,,,,,,,,
,,,,,step,,,,Lightning Protection,,,,,,,,,
QA_TEM_029_Lightning Protection,,,,,checklist,,,,,Lightning Protection,,,,,,,,
,,,,,step,,,,Luminaires,,,,,,,,,
QA_TEM_020_Lighting Poles,,,,,checklist,,,,,Pole 1 ,,,,,,,,
,,,,,step,,,,Luminaires,,,,,,,,,
QA_TEM_020_Lighting Poles,,,,,checklist,,,,,Pole 2,,,,,,,,
,,,,,step,,,,MSB,,,,,,,,,
QA_TEM_003_Earth Electrode,QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_011_Mains & Submains Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,folder-with-checklists,,,,,MSB - SMSB-1 ,,,,,,,,
QA_TEM_003_Earth Electrode,QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_011_Mains & Submains Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,folder-with-checklists,,,,,MSB - SMSB-2,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_011_Mains & Submains Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,folder-with-checklists,,,,,MSB - MDB-SA-1,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_011_Mains & Submains Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,folder-with-checklists,,,,,MSB - MDB-SA-2,,,,,,,,
QA_TEM_003_Earth Electrode,QA_TEM_011_Mains & Submains Installation,QA_TEM_014_Cable Terminations,,,folder-with-checklists,,,,,MSB - MSB-SHP,,,,,,,,
QA_TEM_011_Mains & Submains Installation,QA_TEM_014_Cable Terminations,,,,folder-with-checklists,,,,,MSB - MSB-CP,,,,,,,,
,,,,,step,,,,DB,,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-FPR ,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-WPR,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-SUB,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-SMSB,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-PFC,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-UPS,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-H1,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-LG-1-E,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-LG-2-E,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-L1-1-E,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-L1-2-E,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-L2-1-E,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-L2-2-E,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-LG-C-E,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-LG-K-NE,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-LG-1-NE,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-LG-2-NE,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-L1-1-NE,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-L1-2-NE,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-L2-1-NE,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-L2-2-NE,,,,,,,,
,,,,,step,,,,UPS,,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-LG-1-U,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-LG-2-U,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-L1-1-U,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-L1-2-U,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-L2-1-U,,,,,,,,
QA_TEM_012_Switchboard & Distribution Board Installation,QA_TEM_014_Cable Terminations,Final Installation Checklist,,,folder-with-checklists,,,,,DB - DB-L2-2-U,,,,,,,,
