"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"625c89c8-21d9-4d78-811d-dcbf3187fc14","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA"
"d4d5ccac-32c7-464f-bba3-97ed7c63ae41","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards"
"5d674ddc-2ba7-4799-a702-e0f3fe113891","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards"
"047ea102-e341-49c5-bce8-0fb8b9de725b","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","SMSB-1"
"c793391b-0ae9-4084-baca-d69df477b4b3","","checklist-flat","","QA_TEM_003_Earth Electrode","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","SMSB-1","Earth Electrode"
"7374cf34-38e6-4ebd-9f57-bbcf7758d240","","checklist-flat","","QA_TEM_011_Mains & Submains Installation","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","SMSB-1","Mains & Submains Installation"
"172fb0f1-da43-4a92-9fc9-d0e0b98dbde1","","checklist-sectioned","","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","SMSB-1","Switchboard & DB Installation"
"0ebaa1de-3e60-4727-9e98-0d9def59fd99","","checklist-sectioned","","QA_TEM_041_Power Cable Commissioning","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","SMSB-1","Power Cable Commissioning"
"ee1dae56-6013-4339-8649-c5cab6ec6240","","checklist-flat","","5270fcb98ed7d7c6467ab4034ebf430445d015879341b4ef25d19e63535d7dfb","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","SMSB-1","Final Installation Test Sheet"
"4741303d-00c9-4235-98a5-2aa7076659c0","","folder-normal","","","step","TRUE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","SMSB-2"
"80598a7c-d6b4-49d4-aca9-6665942e9192","","checklist-flat","","QA_TEM_003_Earth Electrode","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","SMSB-2","Earth Electrode"
"a9b13cc6-ed6f-4efb-ad4e-62b23f071b02","","checklist-flat","","QA_TEM_011_Mains & Submains Installation","checklist-flat","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","SMSB-2","Mains & Submains Installation"
"152e614f-b446-494b-b8a0-6e971e2c3a85","","checklist-sectioned","","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","SMSB-2","Switchboard & DB Installation"
"3306ce5b-d1bd-472e-ac3b-9541b738875d","","checklist-sectioned","","QA_TEM_041_Power Cable Commissioning","checklist","FALSE","FALSE","Ripley Sub-Acute QA","Switchboards","Main Switchboards","SMSB-2","Power Cable Commissioning"
