Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-sectioned,,,checklist,Cable Support Post Cabling,,,,,Yes,QA_TEM_009_Cable Support Post Cabling,078fe6db-eff5-4711-aadd-7c795204d718
checkpoint-group,,,section,Details,,,,,,,
checkpoint-status,,,checkpoint,Cable support is properly sealed at all penetrations,,,,,,,
checkpoint-status,,,checkpoint,Cable support has divider strip if required,,,,,,,
checkpoint-status,,,checkpoint,Cable support has cover fitted if required,,,,,,,
checkpoint-status,,,checkpoint,Cable support has correct segregation,,,,,,,
,,,,,,,,,,,
checklist-sectioned,,,checklist,Construction Lighting,,,,,Yes,QA_TEM_061_Construction Lighting,085a134f-5345-4012-a447-e25cdf05b6a2
checkpoint-group,,,section,Details,,,,,,,
checkpoint-status,,,checkpoint,Check Light fittings are securely fitted,,,,,,,
checkpoint-status,,,checkpoint,Check Emergency Exit signs visible and clear from obstructions,,,,,,,
checkpoint-status,,,checkpoint,"AS3012:2019 - 2.7.1 - Ensure minimum lighting levels are at least 40 lx for walkways and 160 lx for general areas, lunch rooms and site offices. Record results on layout drawing and attach to this ITC",,,,,,,
text,f4c50e60-4a0d-5f9f-988c-572c16faeb48,,textbox,Record Drawing Reference:,,,,,,,
checkpoint-status,,,checkpoint,AS3012:2019 - 2.7.2 - Light fittings are the correct type for the application and are protected against Mechanical damage,,,,,,,
checkpoint-status,,,checkpoint,AS3012:2019 - 2.7.3.1 - Emergency lighting is provided in designated access and egress paths,,,,,,,
checkpoint-status,,,checkpoint,AS3012:2019 - 2.7.3.1 - Emergency lighting is provided directly above and in front of switchboards (if natural lighting unavailable),,,,,,,
checkpoint-status,,,checkpoint,AS3012:2019 - 2.7.3.1 Complete fields for one of the following: Item (a) or Item (b) below,,,,,,,
boolean,c48e3d86-9aaa-5760-9b47-cf95aa778926,,tickbox,a) An average of 20 lx at 900 mm above floor level along the centre line of the corridor containing the emergency luminaires has been achieved. Record results on layout drawing and attach to this ITC.,,,,,,,
boolean,df8ecfb1-f1bd-5e42-aeb7-0e310ee349d1,,tickbox,"b) Emergency lighting has been installed using luminaires complying with AS2293.3:2018 luminaire classification and the mounting height and spacing, as specified in AS3012:2018 Tables 2,3,4 and 5.",,,,,,,
text,8b39b3b7-b449-5b25-90e9-b37dcfe5dea2,,textbox,EM Light Type or Model No.,,,,,,,
text,56f89799-7c66-572f-ae6e-11c915123e6a,,textbox,Fitting Classification,,,,,,,
text,7ef76863-0d6b-5b89-87cb-b32fc1bc9aa6,,textbox,Table No.,,,,,,,
text,669d33cf-dd26-50f0-a0c4-001230dd6f7c,,textbox,Mounting Height,,,,,,,
text,ebed9eab-47b5-5238-a495-b18009e2ad80,,textbox,"Max Spacing between fittings (C 90, C 0)",,,,,,,
checkpoint-status,,,checkpoint,AS3012:2019 - 2.7.3.1 - Emergency lighting levels are maintained for at least 60 mins following loss of normal lighting in the area.,,,,,,,
checkpoint-status,,,checkpoint,Log book is completed and copy on-site,,,,,,,
checkpoint-status,,,checkpoint,Emergency light fittings are correctly identified in line with log book,,,,,,,
,,,,,,,,,,,
checklist-sectioned,,,checklist,Final Sub Circuit Installation,,,,,Yes,QA_TEM_010_Final Sub Circuit Installation,08a76991-471c-4be4-9be7-93646f358cc9
checkpoint-group,,,section,Details,,,,,,,
checkpoint-status,,,checkpoint,Cable has correct origin and destination,,,,,,,
checkpoint-status,,,checkpoint,Cable has correct number of cores,,,,,,,
checkpoint-status,,,checkpoint,Cable cores are of the correct cross sectional area,,,,,,,
checkpoint-status,,,checkpoint,Cable type and configuration is as specified,,,,,,,
checkpoint-status,,,checkpoint,Cable follows the correct route,,,,,,,
checkpoint-status,,,checkpoint,Cable meets minimum bending radius requirements,,,,,,,
checkpoint-status,,,checkpoint,Cable is clear of heat sources,,,,,,,
checkpoint-status,,,checkpoint,Cable is clear of electronic / signal cables,,,,,,,
checkpoint-status,,,checkpoint,Cable is secured as specified,,,,,,,
checkpoint-status,,,checkpoint,Cable is installed in a neat and orderly manner,,,,,,,
checkpoint-status,,,checkpoint,Cable is routed to minimise crossovers,,,,,,,
checkpoint-status,,,checkpoint,Mechanical protection of cable is correct,,,,,,,
checkpoint-status,,,checkpoint,Cable is supported correctly,,,,,,,
checkpoint-status,,,checkpoint,Cable is marked with cable or circuit number,,,,,,,
checkpoint-status,,,checkpoint,Cable has correct segregation,,,,,,,
,,,,,,,,,,,
checklist-sectioned,,,checklist,Cast in Conduit Installation,,,,,Yes,QA_TEM_007_Cast in Conduit Installation,1122b736-20ab-42ad-8703-e3af1f4929ab
checkpoint-group,,,section,Details,,,,,,,
checkpoint-status,,,checkpoint,"Conduits are the correct type, size and quantity",,,,,,,
checkpoint-status,,,checkpoint,Conduits are following the correct route,,,,,,,
checkpoint-status,,,checkpoint,Conduits are correctly joined,,,,,,,
checkpoint-status,,,checkpoint,Condutis are tied in,,,,,,,
checkpoint-status,,,checkpoint,Correct concrete cover installed,,,,,,,
,,,,,,,,,,,
checklist-sectioned,,,checklist,Multi-Core Cable Commissioning,,,,,Yes,QA_TEM_040_Multi-Core Cable Commissioning,125f9865-7cc2-4411-8fe7-059288a14e57
checkpoint-group,,,section,Cable Install,,,,,,,
checkpoint-status,,,checkpoint,"Type, configuration, number of cores & cross sectional area is as specified",,,,,,,
checkpoint-status,,,checkpoint,Cable has correct origin and destination & follows the correct route,,,,,,,
checkpoint-status,,,checkpoint,Meets minimum bending radius requirements with minimal crossovers,,,,,,,
checkpoint-status,,,checkpoint,Is clear of heat sources with mechanical protection fitted if required,,,,,,,
checkpoint-status,,,checkpoint,Is secured properly & correctly supported as specified,,,,,,,
checkpoint-status,,,checkpoint,Is installed in a neat & orderly manner with inter cable spacing/segregation,,,,,,,
checkpoint-group,,,section,"Origin Termination, Location",,,,,,,
checkpoint-status,,,checkpoint,"Gland is correct type & size, & also fitted & secured properly",,,,,,,
checkpoint-status,,,checkpoint,Cable numbers fitted correctly & securely,,,,,,,
checkpoint-status,,,checkpoint,Cores loomed neatly with correct identification,,,,,,,
checkpoint-status,,,checkpoint,Cores in the correct terminals & correctly tensioned,,,,,,,
