"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"78a71005-cb4a-4b3f-a592-728a54f7b72b","","checklist-flat","not-started","Job Details Checklist","checklist-flat","FALSE","FALSE","Job Details"
"511e0390-bd87-5d59-b68c-4a847eadf7d1","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Project details entered below"
"a8b334db-7706-4fbe-b067-5912e93f5c58","","folder-normal","not-started","","step","TRUE","FALSE","Panel QA"
"2c197680-58f8-48a0-ae39-14ecf9d0dd41","","folder-normal","not-started","","step","TRUE","FALSE","Panel QA","Gracefield"
"900b5592-1346-4b74-91b4-ee3eb13cb15d","","folder-normal","not-started","","step","TRUE","FALSE","Panel QA","Gracefield","Panels"
"ee7d5d8f-13e6-4f8f-ae0e-1452279664c6","","checklist-sectioned","not-started","cc1a74f45335a51ef140d9d01b5e8d2dd95f91c6f03e4ba4bcb34bb448b7bd29","checklist","FALSE","FALSE","Panel QA","Gracefield","Panels","PC-01"
"fba25a09-db3d-5ff0-b625-31a05dd13b05","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Gracefield","Panels","PC-01","Precast Element Details"
"b64b17a0-f19b-5f2c-bb22-581288e00e57","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Gracefield","Panels","PC-01","Precast Element Details","Concrete Details Complete"
"65f768b2-05ec-5285-83cd-3fc5c4af8a31","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Gracefield","Panels","PC-01","Formwork Set Up Checks"
"9ae8ecf3-61e0-54fa-805e-239f8063594e","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Gracefield","Panels","PC-01","Formwork Set Up Checks","Length/Width/Thickness/Cutouts/Diagonals"
"8146918d-26a5-556c-aacc-773725bbcc15","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Gracefield","Panels","PC-01","Formwork Set Up Checks","Edge Details & Rebates"
"05abf0be-1b84-56c2-85e8-f88b36cd0ed5","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Gracefield","Panels","PC-01","Formwork Set Up Checks","Inserts on MF (Weld plates, RB's, TIM's, Penetrations, DB Bottoms)"
"ae576a14-16a1-5692-9cfa-7aa7ccdafddf","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Gracefield","Panels","PC-01","Formwork Set Up Checks","MF roughening's"
"71f3e552-fa52-5f3f-b993-e195bcc4aeeb","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Gracefield","Panels","PC-01","Formwork Set Up Checks","Sides Straight & Magnets Fastened"
"3f418592-03e8-557e-a324-13afb24ed3be","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Gracefield","Panels","PC-01","Formwork Set Up Checks","Mould Face Clean"
"1c16bdc1-f872-59bc-8831-1938c25217ad","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Gracefield","Panels","PC-01","Prepour Checks"
"af4146a0-2fed-538e-bb5d-3cddfc2a7ac7","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Gracefield","Panels","PC-01","Prepour Checks","Mould Cleaned & Oiled"
"b1f04d80-f44b-5758-9ac3-40a5677d3b93","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Gracefield","Panels","PC-01","Prepour Checks","Reinforcing details checked/highlighted off against shop drawing (Bar sizes, grades and spacings)"
"66600d35-3c10-5d61-84e4-a456aab73bf1","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Gracefield","Panels","PC-01","Prepour Checks","Check covers on all sides, MF and TF"
"039eb0b5-30f0-5e7b-b7ae-e16f17e770af","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Gracefield","Panels","PC-01","Prepour Checks","There is sufficient cover to rebates around openings or weatherproofing details"
"ea785f66-0cac-50e2-9c75-071be7810a3d","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Gracefield","Panels","PC-01","Prepour Checks","Starters (Size, Grade, Setout and Length)"
"4be635b8-332d-561b-9e52-809e5458f0e7","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Gracefield","Panels","PC-01","Prepour Checks","Inserts on TF (Weld plates, RB's, TIM's, Penetrations, DB's, Rebates)"
