Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Overall Progress,,,,,,,
,Scope,,,Site QA,,,
,Rows,,,,,,
,,Building A - Rough In,dynamic,Rough In,Building A,Site QA,
,,Building A - Fit Off,dynamic,Fit Off,Building A,Site QA,
,,Building A - Fire Penetrations,dynamic,Fire Penetrations,Building A,Site QA,
,,Building A - Hydrant / Sprinkler Mains / Risers / Hose Reels,dynamic,Hydrant / Sprinkler Mains / Risers / Hose Reels,Building A,Site QA,
,,Building A - Sprinkler Control Valves,grouping,Building A - Sprinkler Control Valves,,,
,,Sprinkler Control Valves,,Sprinkler Control Valves,Building A,Site QA,
,,Building A - Fire Booster Cupboard,grouping,Building A - Fire Booster Cupboard,,,
,,Fire Booster Cupboard,,Fire Booster Cupboard,Building A,Site QA,
,,Building A - Fire Pumps/Tanks,grouping,Building A - Fire Pumps/Tanks,,,
,,Fire Pumps/Tanks,,Fire Pumps/Tanks,Building A,Site QA,
,,Building A - Fire Extinguishers/Blankets,dynamic,Fire Extinguishers/Blankets,Building A,Site QA,
,,Building A - Commissioning,grouping,Building A - Commissioning,,,
,,Commissioning,,Commissioning,Building A,Site QA,
,,Building B - Rough In,dynamic,Rough In,Building B,Site QA,
,,Building B - Fit Off,dynamic,Fit Off,Building B,Site QA,
,,Building B - Fire Penetrations,dynamic,Fire Penetrations,Building B,Site QA,
,,Building B - Hydrant / Sprinkler Mains / Risers / Hose Reels,dynamic,Hydrant / Sprinkler Mains / Risers / Hose Reels,Building B,Site QA,
,,Building B - Sprinkler Control Valves,grouping,Building B - Sprinkler Control Valves,,,
,,Sprinkler Control Valves,,Sprinkler Control Valves,Building B,Site QA,
,,Building B - Fire Booster Cupboard,grouping,Building B - Fire Booster Cupboard,,,
,,Fire Booster Cupboard,,Fire Booster Cupboard,Building B,Site QA,
,,Building B - Fire Pumps/Tanks,grouping,Building B - Fire Pumps/Tanks,,,
,,Fire Pumps/Tanks,,Fire Pumps/Tanks,Building B,Site QA,
,,Building B - Fire Extinguishers/Blankets,dynamic,Fire Extinguishers/Blankets,Building B,Site QA,
,,Building B - Commissioning,grouping,Building B - Commissioning,,,
,,Commissioning,,Commissioning,Building B,Site QA,
,Columns,,,,,,
,,QA,,Site QA,,,
,,,,,,,
Rough In - Detailed Progress,,,,,,,
,Scope,,,Site QA,Rough In,,
,Rows,,,,,,
,,Building A,dynamic,Rough In,Building A,Site QA,
,,Building B,dynamic,Rough In,Building B,Site QA,
,Columns,,,,,,
,,Rough In: Mains/range pipes/clips,,"Rough In: All Mains, range pipes, clips installed & secured",,,
,,Concealed Space Sprinklers & Flexible droppers,,Concealed Space Sprinklers & Flexible droppers Installed,,,
,,Arm pieces/Under Duct pipework,,Arm pieces / Under Duct pipework installed and secured,,,
,,Balcony Sprinklers,,Balcony Sprinklers installed,,,
,,Car Park Sprinklers,,Car Park Sprinklers Installed,,,
,,Car Stackers pipework,,Car Stackers pipework installed & secured (if applicable),,,
,,Install Remote Test drain pipework,,Install Remote Test drain pipework,,,
,,Air Test: Pressurized air test,,Air Test: Pressurized air test for a period of 30 mins (if applicable),,,
,,Start time:,Start time:,Air Test: Pressurized air test for a period of 30 mins (if applicable),,,
,,Completion time:,Completion time:,Air Test: Pressurized air test for a period of 30 mins (if applicable),,,
,,Water Test: Pressure test to 1600Kpa,,Water Test: Pressure test to 1600Kpa for duration of 2 hours,,,
,,Start time:,Start time:,Water Test: Pressure test to 1600Kpa for duration of 2 hours,,,
,,Completion time:,Completion time:,Water Test: Pressure test to 1600Kpa for duration of 2 hours,,,
,,PFP Foreman signature,,PFP Foreman signature,,,
,,,,,,,
Fit Off - Detailed Progress,,,,,,,
,Scope,,,Site QA,Fit Off,,
,Rows,,,,,,
,,Building A,dynamic,Fit Off,Building A,Site QA,
,,Building B,dynamic,Fit Off,Building B,Site QA,
,Columns,,,,,,
,,Fit Off: All sprinklers fit off,,Fit Off: Check all sprinklers have been fit off,,,
,,Check sprinkler heights pre paint,,Check sprinkler heights pre paint,,,
,,Fit off Escutcheon plates,,Fit off Escutcheon plates,,,
,,Air Test: Pressurized air test,,Air Test: Pressurized air test for a period of 30 mins (if applicable),,,
,,Start time:,Start time:,Air Test: Pressurized air test for a period of 30 mins (if applicable),,,
,,Completion time:,Completion time:,Air Test: Pressurized air test for a period of 30 mins (if applicable),,,
,,Water Test: Pressure test to 1600Kpa,,Water Test: Pressure test to 1600Kpa for duration of 2 hours,,,
,,Start time:,Start time:,Water Test: Pressure test to 1600Kpa for duration of 2 hours,,,
,,Completion time:,Completion time:,Water Test: Pressure test to 1600Kpa for duration of 2 hours,,,
,,PFP Foreman signature,,PFP Foreman signature,,,
,,,,,,,
Fire Penetrations - Detailed Progress,,,,,,,
,Scope,,,Site QA,Fire Penetrations,,
,Rows,,,,,,
,,Building A - B1,dynamic,B1,Fire Penetrations,Building A,Site QA
,,Building A - Ground,dynamic,Ground,Fire Penetrations,Building A,Site QA
,,Building A - Level 1,dynamic,Level 1,Fire Penetrations,Building A,Site QA
,,Building A - Level 2,dynamic,Level 2,Fire Penetrations,Building A,Site QA
,,Building A - Level 3,dynamic,Level 3,Fire Penetrations,Building A,Site QA
,,Building B - Ground,dynamic,Ground,Fire Penetrations,Building B,Site QA
,,Building B - Level 1,dynamic,Level 1,Fire Penetrations,Building B,Site QA
,,Building B - Level 2,dynamic,Level 2,Fire Penetrations,Building B,Site QA
,,Building B - Level 3,dynamic,Level 3,Fire Penetrations,Building B,Site QA
,,Building B - Level 4,dynamic,Level 4,Fire Penetrations,Building B,Site QA
,,Building B - Level 5,dynamic,Level 5,Fire Penetrations,Building B,Site QA
,,Building B - Level 6,dynamic,Level 6,Fire Penetrations,Building B,Site QA
,,Building B - Level 7,dynamic,Level 7,Fire Penetrations,Building B,Site QA
,Columns,,,,,,
,,Labelled & caulked in accordance with AS 4072.1 Drawing Reference No.,,Fire Penetration labelled & caulked in accordance with AS 4072.1 Drawing Reference No.,,,
,,,,,,,
Hydrant / Sprinkler Mains / Risers / Hose Reels - Detailed Progress,,,,,,,
,Scope,,,Site QA,Hydrant / Sprinkler Mains / Risers / Hose Reels,,
,Rows,,,,,,
,,Building A,dynamic,Hydrant / Sprinkler Mains / Risers / Hose Reels,Building A,Site QA,
,,Building B,dynamic,Hydrant / Sprinkler Mains / Risers / Hose Reels,Building B,Site QA,
,Columns,,,,,,
,,Rough In: Mains & isolation valves,,Rough In: All Mains & isolation valves installed,,,
,,Install Hydrant/ Sprinkler/Test Drain Risers & Mill Cocks,,Install Hydrant/ Sprinkler/Test Drain Risers & Mill Cocks,,,
,,Sprinkler Floor Control Valves,,Sprinkler Floor Control Valves installed and secured,,,
,,Fit Off: Millcock clearances/angles/Mill cocks in closed position,,Fit Off: Check all millcock clearances/angles/Mill cocks in closed position & Install 2400kPa pressure gauge to top of risers,,,
,,Install Fire Hose Reels & pipework,,Install Fire Hose Reels & pipework,,,
,,Air Test: Pressurized air test,,Air Test: Pressurized air test for a period of 30 mins (if applicable),,,
,,Start time:,Start time:,Air Test: Pressurized air test for a period of 30 mins (if applicable),,,
,,Completion time:,Completion time:,Air Test: Pressurized air test for a period of 30 mins (if applicable),,,
,,Water Test: Pressure test to 1700Kpa,,Water Test: Pressure test to 1700Kpa for duration of 2 hours,,,
