"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7f7a482a-0755-469e-b594-d7a917cf71ec","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Asphalt"
"c1a863cd-6ee0-4913-8764-65467ed56b6d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Chipseal"
"96122de8-2439-409b-9513-997f3174dd38","","folder-normal","work-in-progress","","step","TRUE","FALSE","Rehab"
"e73310f9-13b0-4ca0-904b-7564ceffef04","","folder-normal","work-in-progress","","step","TRUE","FALSE","Rehab","Tuhikaramea RD"
"23e5b41f-d9dc-4fb9-add1-72b351eba8ec","","checklist-sectioned","work-in-progress","ITP - GRANULAR REHAB INSPECTION TESTING PLAN Rev 1","checklist","FALSE","FALSE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP "
"58e6fdac-f072-5737-a308-4c009309545c","","checkpoint-group","work-in-progress","","","FALSE","FALSE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Subgrade"
"3b632679-487b-59bf-8f65-4f254da93b73","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Subgrade","1.01 - Field"
"8770970b-567e-5b68-ae98-2e55162fe137","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Subgrade","1.02 - Field"
"1042776a-1f71-520f-92b5-774c3572c17c","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Subgrade","1.03 - Field"
"d8bd4a65-47cd-5ca9-94ac-3279e03e7460","","checkpoint-status","not-applicable","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Subgrade","1.04 - Field"
"033a792d-aabd-5829-973d-cc2270a0d89a","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Subgrade","1.05 - PQE"
"191d91e4-cb5c-5a03-9177-23737fd81148","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Subgrade","AUTHORITY HOLDPOINT"
"0f80a15d-6258-5a16-b57d-13429abba58b","","checkpoint-group","not-started","","","FALSE","FALSE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Subbase"
"f4e42e89-b80c-517b-8cef-baa40d70105c","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Subbase","2.01 - PQE"
"5d7756ac-09d8-5a86-b73f-ce7a2c2fb490","","holdpoint","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Subbase","AUTHORITY HOLDPOINT"
"aff9fb87-9807-57d4-a8d0-deafb612a0dd","","checkpoint-status","not-started","","","TRUE","TRUE","Rehab","Tuhikaramea RD","Tuhikaramea Rd - GRANULAR REHAB ITP ","Subbase","2.02 - Field"
