type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,
checklist,FHC-ITP-028 - Fence Installation Rev1,itp,,,,,FHC-ITP-028 - Fence Installation Rev1,,,,,,,,,
section,1 - Preliminary Works,,,,,,,,,,,,,,,
checkpoint,1.1 Check for correct documentation,,,,,,,,,,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Ensure that all employees and subcontractors are using the most current and updated set of complete construction drawings,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: Drawings and drawing registers,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual inspection,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
text,DATE:,,,,,,,,,,,,,,,
checkpoint,1.2 Implementation of all measures and controls,,,,,,,,,,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: All necessary measures and controls are being implemented, that is: PSP, EMP, TMP, JSEA, SWMS & WP",,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,"REFERENCE DOCUMENTS: PSP, EMP, TMP, JSEA, SWMS, WP",,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
text,DATE:,,,,,,,,,,,,,,,
checkpoint,1.3 Check Materials,,,,,,,,,,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Unless specified otherwise, all fencing materials and products shall be supplied by the Contractor and shall be of the dimensions, manufacture, quality and structural grade in accordance with the requirements of SD3143 and IFC drawings.",,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: Fencing Plan SD3143,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
text,DATE:,,,,,,,,,,,,,,,
checkpoint,1.4 Confirm Footings position,,,,,,,,,,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Confirm footings are set out to locations specified on design drawings,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: Fencing Plan SD3143,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
text,DATE:,,,,,,,,,,,,,,,
section,2 - Construction Works,,,,,,,,,,,,,,,
checkpoint,2.1 Footing Installation,,,,,,,,,,,,,,,
label,FREQUENCY: Prior to post installation,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Concrete shall be of minimum strength N20,,,,,,,,,,,,,,,
label,○ Concrete footing shall be 600mm x 200mm for all posts,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: Fencing Plan SD3143,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,,,
