Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Formwork Pre Pour Inspection Checklist,,,,,,
,Scope,,,Site QA,,
,Rows,,,,,
,,Tower A,dynamic,Tower A,Site QA,
,,Tower B,dynamic,Tower B,Site QA,
,Columns,,,,,
,,Stairs,,Stairs,,
,,Columns,,Columns,,
,,Core Lobby,,Core Lobby,,
,,Slab - Pre-Pour,,Slab,Pre-Pour,
,,Core 1 Lobby,,Core 1 Lobby,,
,,Core 2 Lobby,,Core 2 Lobby,,
,,,,,,
Formwork Element Handover,,,,,,
,Scope,,,Site QA,Handover,
,Rows,,,,,
,,Tower A,dynamic,Tower A,Site QA,
,,Tower B,dynamic,Tower B,Site QA,
,Columns,,,,,
,,Submission of Certified Formwork Design,,submission of certified formwork design (where required),Handover,
,,Formwork Element built to Formwork Design,,has the formwork element been built to formwork design,Handover,
,,Safe Access & Egress to & from Working Area,,is safe access and egress to and from working area in place for other trades (by others),Handover,
,,Edge Protection/Kick Boards/Handrails in place,,"edge protection, kick boards and handrails in place",Handover,
,,Delineation in place between leading Formwork Deck & area of deck being handed over,,is delineation in place between leading formwork deck and the area of deck being handed over with bunting and signage,Handover,
,,Working area Clean & free of excess formwork,,is the working area relatively clean and free of excess formwork,Handover,
,,Penetrations/block-outs completed & covered,,have penetrations/block-outs been completed and covered,Handover,
,,Working Platforms in place with safe access for Steel-fixer/other trades,,are working platforms in place with safe access for steel-fixer and other trades (vertical elements),Handover,
,,Propping required to Cantilevered bearers/formwork installed,,has propping required to cantilevered bearers/formwork been installed eg. tower boom penetration,Handover,
,,Formwork element ready for the following trades,,is the formwork element ready for the following trades,Handover,
,,Work Completed,,work completed,Handover,
,,,,,,
Screens Pre-Climbing Checklist,,,,,,
,Scope,,,Site QA,Screens (Pre/Post Climb),Pre-Climb
,Rows,,,,,
,,Tower A,dynamic,Tower A,Site QA,
,,Tower B,dynamic,Tower B,Site QA,
,Columns,,,,,
,,Exclusion zone permit setup prior to jump,,exclusion zone permit to be setup prior to jump.,Pre-Climb,
,,Platforms & rails clean & clear of all material & debris,,platforms & rails clean & clear of all material & debris,Pre-Climb,
,,Area outside handrail & slab edge clean & cleared,,area outside handrail and along slab edge is clean and cleared of all loose material and debris inclusive of halfen cast ins (by others - llb to check),Pre-Climb,
,,Inspect concrete soffit above lowest platform clear,,"inspect concrete soffit above lowest platform is clear of any loose debris fillets, dags etc",Pre-Climb,
,,Flaps/infills/rubber covers are disengaged,,"flaps, infills, rubber covers, are disengaged.",Pre-Climb,
,,All decks assessed ready for lifting to commence,,all decks are assessed ready for lifting to commence.,Pre-Climb,
,,Spotters required on each floor,,spotters required on each floor - leading / trailing / intermediate / exclusions,Pre-Climb,
,,Spotters have radio communication on each level,,spotters to have radio communication on each level.,Pre-Climb,
,,Power to hydraulic pumps/all lines laid properly & will not ping ,,"check power to hydraulic pumps, ensure all lines are laid properly and will not ping or shear during climb (peri screens only)",Pre-Climb,
,,Test hydraulic functions by completing stroke,,"test hydraulic functions by completing a stroke, ensure rams are tested and climbed in pairs (peri screens only)",Pre-Climb,
,,Spill kit readily available,,spill kit readily available,Pre-Climb,
,,Back-propping in place as required,,back-propping in place as required. any props inside pez zones on the lowest level are to be bolted.,Pre-Climb,
