"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Electrocom - Avon North"
,"Scope",,
,"Rows"
,,"Internal rooms","grouping","electrocom - site qa","avon north","internal rooms"
,,"3",,"3","avon south (gordon)","electrocom - site qa","cell"
,,"4",,"4","avon south (gordon)","electrocom - site qa","cell"
,,"5",,"5","avon south (gordon)","electrocom - site qa","cell"
,,"6",,"6","avon south (gordon)","electrocom - site qa","cell"
,,"7",,"7","avon south (gordon)","electrocom - site qa","cell"
,,"8",,"8","avon south (gordon)","electrocom - site qa","cell"
,,"9",,"9","avon south (gordon)","electrocom - site qa","cell"
,,"10",,"10","avon south (gordon)","electrocom - site qa","cell"
,,"11",,"11","avon south (gordon)","electrocom - site qa","cell"
,,"12",,"12","avon south (gordon)","electrocom - site qa","cell"
,,"13",,"13","avon south (gordon)","electrocom - site qa","cell"
,,"14",,"14","avon south (gordon)","electrocom - site qa","cell"
,,"15",,"15","avon south (gordon)","electrocom - site qa","cell"
,,"16",,"16","avon south (gordon)","electrocom - site qa","cell"
,,"17",,"17","avon south (gordon)","electrocom - site qa","cell"
,,"18",,"18","avon south (gordon)","electrocom - site qa","cell"
,,"19",,"19","avon south (gordon)","electrocom - site qa","cell"
,,"20",,"20","avon south (gordon)","electrocom - site qa","cell"
,,"21",,"21","avon south (gordon)","electrocom - site qa","cell"
,,"22",,"22","avon south (gordon)","electrocom - site qa","cell"
,,"23",,"23","avon south (gordon)","electrocom - site qa","cell"
,"Columns"
,,"Communications cables installed from Rack",,"communications cables installed from rack"
,,"Communications cables fitted off",,"communications cables fitted off"
,,"Communications cables labelled",,"communications cables labelled"
,,"Communications cables tested",,"communications cables tested"
,,"Area/Room complete",,"area/room complete"
,,"Cell complete",,"cell complete"

"Electrocom - Dawson"
,"Scope",,
,"Rows"
,,"Ground Floor","grouping","ground floor"
,,"DA 002 Foyer",,"ground floor","da 002 foyer"
,,"DA 003 Officers Post",,"ground floor","da 003 officers post"
,,"DA 004 SUP Office",,"ground floor","da 004 sup office"
,,"DA 006 Interview 01",,"ground floor","da 006 interview 01"
,,"DA009 Staff Tea",,"ground floor","da009 staff tea"
,,"DA 010 Programs/ INT 02",,"ground floor","da 010 programs/ int 02"
,,"DA 012 Communal Kitchen Dining B",,"ground floor","da 012 communal kitchen dining b"
,,"DA 021 EDB (electrical sb)",,"ground floor","da 021 edb (electrical sb)"
,,"DA 029 Communal kitchen c",,"ground floor","da 029 communal kitchen c"
,,"DA 030 Communal lounge c",,"ground floor","da 030 communal lounge c"
,,"DA 040 Communal Kitchen Dining A",,"ground floor","da 040 communal kitchen dining a"
,,"DA 050 EDB ( electrical SB)",,"ground floor","da 050 edb ( electrical sb)"
,,"DA 051 Communal lounge A",,"ground floor","da 051 communal lounge a"
,,"DA 064 Interview room",,"ground floor","da 064 interview room"
,,"DA 065 Service",,"ground floor","da 065 service"
,,"DA 066 Prigramms / INT 03",,"ground floor","da 066 prigramms / int 03"
,,"DA 000 External",,"ground floor","da 000 external"
,,"Level 1","grouping","level 1"
,,"DA 143 Internal Plant",,"level 1","da 143 internal plant"
,,"Cell - Ground Floor","grouping","cell - ground floor"
,,"1",,"1","cell - ground floor"
,,"2",,"2","cell - ground floor"
,,"3",,"3","cell - ground floor"
,,"4",,"4","cell - ground floor"
,,"5",,"5","cell - ground floor"
,,"6",,"6","cell - ground floor"
,,"7",,"7","cell - ground floor"
,,"8",,"8","cell - ground floor"
,,"9",,"9","cell - ground floor"
,,"12",,"12","cell - ground floor"
,,"13",,"13","cell - ground floor"
,,"14",,"14","cell - ground floor"
,,"15",,"15","cell - ground floor"
,,"16",,"16","cell - ground floor"
,,"34",,"34","cell - ground floor"
,,"35",,"35","cell - ground floor"
,,"36",,"36","cell - ground floor"
,,"37",,"37","cell - ground floor"
,,"38",,"38","cell - ground floor"
,,"39",,"39","cell - ground floor"
,,"40",,"40","cell - ground floor"
,,"41",,"41","cell - ground floor"
,,"42",,"42","cell - ground floor"
,,"43",,"43","cell - ground floor"
,,"44",,"44","cell - ground floor"
,,"57",,"57","cell - ground floor"
,,"58",,"58","cell - ground floor"
,,"59",,"59","cell - ground floor"
,,"60",,"60","cell - ground floor"
,,"61",,"61","cell - ground floor"
,,"62",,"62","cell - ground floor"
,,"63",,"63","cell - ground floor"
,,"64",,"64","cell - ground floor"
,,"65",,"65","cell - ground floor"
,,"66",,"66","cell - ground floor"
,,"Cells - First Floor","grouping","cells - first floor"
,,"17",,"17","cells - first floor"
,,"18",,"18","cells - first floor"
,,"19",,"19","cells - first floor"
,,"20",,"20","cells - first floor"
,,"21",,"21","cells - first floor"
,,"22",,"22","cells - first floor"
,,"23",,"23","cells - first floor"
,,"24",,"24","cells - first floor"
,,"25",,"25","cells - first floor"
,,"26",,"26","cells - first floor"
,,"27",,"27","cells - first floor"
,,"28",,"28","cells - first floor"
,,"29",,"29","cells - first floor"
,,"30",,"30","cells - first floor"
,,"31",,"31","cells - first floor"
,,"32",,"32","cells - first floor"
,,"45",,"45","cells - first floor"
,,"46",,"46","cells - first floor"
,,"47",,"47","cells - first floor"
,,"48",,"48","cells - first floor"
,,"49",,"49","cells - first floor"
,,"50",,"50","cells - first floor"
,,"51",,"51","cells - first floor"
,,"52",,"52","cells - first floor"
,,"53",,"53","cells - first floor"
,,"54",,"54","cells - first floor"
,,"55",,"55","cells - first floor"
,,"56",,"56","cells - first floor"
,"Columns"
,,"Communications cables installed from Rack",,"communications cables installed from rack"
,,"Communications cables fitted off",,"communications cables fitted off"
,,"Communications cables labelled",,"communications cables labelled"
,,"Communications cables tested",,"communications cables tested"
,,"Area/Room complete",,"area/room complete"
,,"WAP Installed",,"wap installed"
,,"Cell complete",,"cell complete"

"Electrocom - Reception"
,"Scope",,
,"Rows"
,,"Internal Rooms","grouping","reception","internal rooms"
,,"RB 005 Pre Sterile Waiting",,"reception","internal rooms","rb 005 pre sterile waiting"
,,"RB 009 Body scan x-ray",,"reception","internal rooms","rb 009 body scan x-ray"
,,"RB 010 Records",,"reception","rb 010 records","internal rooms"
,,"RB 011 Interview",,"reception","rb 011 interview","internal rooms"
,,"RB 012 Clothing Issue",,"reception","rb 012 clothing issue","internal rooms"
,,"RB 015 Waiting",,"reception","rb 015 waiting","internal rooms"
,,"RB 016 Int 01",,"reception","internal rooms","rb 016 int 01"
,,"RB 017 Int 02",,"reception","rb 017 int 02","internal rooms"
,,"RB 018 Box Writer, mout office",,"reception","rb 018 box writer, mout office","internal rooms"
,,"RB 020 Int 03",,"reception","rb 020 int 03","internal rooms"
,,"RB 021 Int 04",,"reception","rb 021 int 04","internal rooms"
,,"RB 022 Int 05",,"reception","rb 022 int 05","internal rooms"
,,"RB 026 Corridor 2",,"reception","rb 026 corridor 2","internal rooms"
,,"RB 028 Store Receipt",,"rb 028 store receipt","reception","internal rooms"
,,"RB 029 Property Store",,"reception","rb 029 property store","internal rooms"
,,"RB 032 Group Hold 01",,"reception","rb 032 group hold 01","internal rooms"
,,"RB 033 Consult 01",,"reception","internal rooms","rb 033 consult 01"
,,"RB 034 Consult 02",,"reception","rb 034 consult 02","internal rooms"
,,"RB 035 Consult 03",,"rb 035 consult 03","reception","internal rooms"
,,"RB 036 Arunta",,"reception","rb 036 arunta","internal rooms"
,,"RB 037 Group Hold 02",,"rb 037 group hold 02","reception","internal rooms"
,,"RB 038 Group Hold 03",,"reception","rb 038 group hold 03","internal rooms"
,,"RB 042 Valuable",,"reception","internal rooms","rb 042 valuable"
,,"RB 044 Comms",,"reception","rb 044 comms","internal rooms"
,,"RB 045 Dispensary",,"reception","rb 045 dispensary","internal rooms"
,,"RB 046 Med Store",,"reception","rb 046 med store","internal rooms"
,,"RB 060 External Plant 01",,"reception","rb 060 external plant 01","internal rooms"
,,"RB 061 External Plant 02",,"reception","rb 061 external plant 02","internal rooms"
,,"RB 101 External",,"reception","rb 101 external","internal rooms"
,,"RB 000 External",,"reception","rb 000 external","internal rooms"
,"Columns"
,,"Communications cables installed from Rack",,"communications cables installed from rack"
,,"Communications cables fitted off",,"communications cables fitted off"
,,"Communications cables labelled",,"communications cables labelled"
,,"Communications cables tested",,"communications cables tested"
,,"Area/Room complete",,"area/room complete"

"Electrocom - Multipurpose"
,"Scope",,
,"Rows"
,,"Internal Rooms","grouping","internal rooms"
,,"MP 002 Officers Post",,"mp 002 officers post","internal rooms"
,,"MP 007",,"mp 007","internal rooms"
,,"MP 008 Corridor 01",,"internal rooms","mp 008 corridor 01"
,,"MP 009 Fitness Studio",,"mp 009 fitness studio","internal rooms"
,,"MP 013 Legal Library",,"mp 013 legal library","internal rooms"
,,"MP 016 Int .01",,"mp 016 int .01","internal rooms"
,,"MP 017 Int .02",,"mp 017 int .02","internal rooms"
,,"MP 018 Int .03",,"mp 018 int .03","internal rooms"
,,"MP 019 Telecourt 03",,"mp 019 telecourt 03","internal rooms"
,,"MP 020 Int . 04",,"mp 020 int . 04","internal rooms"
,,"MP 021 Telecourt 02",,"mp 021 telecourt 02","internal rooms"
,,"MP 022 Telecourt 01",,"mp 022 telecourt 01","internal rooms"
,,"MP 023 Multipurpose 02",,"mp 023 multipurpose 02","internal rooms"
,,"MP 024 Multipurpose 01",,"mp 024 multipurpose 01","internal rooms"
,,"MP 032 Staff Workstation",,"mp 032 staff workstation","internal rooms"
,,"MP 101 External",,"internal rooms","mp 101 external"
,"Columns"
,,"Communications cables installed from Rack",,"communications cables installed from rack"
,,"Communications cables fitted off",,"communications cables fitted off"
,,"Communications cables labelled",,"communications cables labelled"
,,"Communications cables tested",,"communications cables tested"
,,"Area/Room complete",,"area/room complete"

"Electrocom - Canteen"
,"Scope",,
,"Rows"
,,"Internal Rooms - CT 0015 Canteen",,"canteen","internal rooms - ct 0015 canteen"
,,"External Rooms - CT 019 Covered Area",,"external rooms - ct 019 covered area","canteen"
,"Columns"
,,"Communications cables installed from Rack",,"communications cables installed from rack"
,,"Communications cables fitted off",,"communications cables fitted off"
,,"Communications cables labelled",,"communications cables labelled"
,,"Communications cables tested",,"communications cables tested"
,,"Area/Room complete",,"area/room complete"

"Electrocom - Kitchen - Internal Rooms"
,"Scope",,
,"Rows"
,,"KI 009 officers Post",,"kitchen - internal rooms","ki 009 officers post"
,,"KI020 External Plant",,"kitchen - internal rooms","ki020 external plant"
,"Columns"
,,"Communications cables installed from Rack",,"communications cables installed from rack"
,,"Communications cables fitted off",,"communications cables fitted off"
,,"Communications cables labelled",,"communications cables labelled"
,,"Communications cables tested",,"communications cables tested"
,,"Area/Room complete",,"area/room complete"

"Electrocom - Copper Engineering - BMS / Clock Outlets"
,"Scope",,
,"Rows"
,,"Copper Outlets Western","grouping","copper outlets western"
,,"Avon North",,"copper outlets western","avon north"
,,"Avon South",,"copper outlets western","avon south"
,,"Multipurpose",,"copper outlets western","multipurpose"
,,"Reception",,"reception","copper outlets western"
,,"Dawson",,"copper outlets western","dawson"
,,"Copper Outlets Centre","grouping","copper outlets centre"
,,"Kitchen",,"kitchen","copper outlets centre"
,,"Gatehouse",,"gatehouse","copper outlets centre"
,,"Site Wide Electrical",,"copper outlets centre","site wide electrical"
,,"Old Industry",,"old industry","copper outlets centre"
,,"Industries",,"copper outlets centre","industries"
,,"Canteen",,"canteen","copper outlets centre"
,,"Murray",,"murray","copper outlets centre"
,,"Elliot",,"copper outlets centre","elliot"
,,"Margaret 1",,"margaret 1","copper outlets centre"
,,"Margaret 2",,"margaret 2","copper outlets centre"
,,"Margaret 3",,"copper outlets centre","margaret 3"
,,"Margaret 4",,"margaret 4","copper outlets centre"
,,"Hunter 1",,"copper outlets centre","hunter 1"
,,"Hunter 2",,"hunter 2","copper outlets centre"
,,"Hunter 3",,"hunter 3","copper outlets centre"
,,"BMS Comms",,"bms comms","copper outlets centre"
,,"Education",,"education","copper outlets centre"
,,"Program",,"copper outlets centre","program"
,,"Leisure",,"leisure","copper outlets centre"
,,"Multifaith",,"multifaith","copper outlets centre"
,,"Health Centre",,"health centre","copper outlets centre"
,,"Copper Outlets Eastern","grouping","copper outlets eastern"
,,"External Store",,"external store","copper outlets eastern"
,,"Mitchell 1",,"mitchell 1","copper outlets eastern"
,,"Mitchell 2",,"copper outlets eastern","mitchell 2"
,,"Mitchell 3",,"mitchell 3","copper outlets eastern"
,,"Goulburn Program",,"goulburn program","copper outlets eastern"
,,"Gilbert",,"gilbert","copper outlets eastern"
,,"Blackwood",,"blackwood","copper outlets eastern"
,,"Hawksbury",,"copper outlets eastern","hawksbury"
,,"Torrens",,"copper outlets eastern","torrens"
,,"Winja Gunya",,"copper outlets eastern","winja gunya"
,,"Swan 1",,"swan 1","copper outlets eastern"
,,"Swan 2",,"swan 2","copper outlets eastern"
,,"Rosewood",,"rosewood","copper outlets eastern"
,,"Thompson 2",,"copper outlets eastern","thompson 2"
,,"Yarra",,"copper outlets eastern","yarra"
,"Columns"
,,"Communications BMS copper cables roughed in",,"communications bms copper cables roughed in"
,,"Terminated rack end",,"terminated rack end"
,,"Terminated field end",,"terminated field end"
,,"Tested",,"tested"
,,"Labelled",,"labelled"
,,"Outlets complete",,"outlets complete"

"Electrocom - Copper Backbone"
,"Scope",,
,"Rows"
,,"DJCS/Arunta",,"djcs/arunta"
,,"Reception",,"reception","djcs/arunta"
,,"Dawson",,"djcs/arunta","dawson"
,,"Avon North",,"djcs/arunta","avon north"
,,"Avon South",,"djcs/arunta","avon south"
,,"Kitchen",,"kitchen","djcs/arunta"
,,"Multipurpose",,"djcs/arunta","multipurpose"
,"Columns"
,,"10 pair DJCS cable roughed in R1 Top",,"10 pair djcs cable roughed in r1 top"
,,"30 pair Arunta cable roughed in R2 Bottom",,"30 pair arunta cable roughed in r2 bottom"
,,"1 x C6A UG Arunta cable roughed in R2 Bottom",,"1 x c6a ug arunta cable roughed in r2 bottom"
,,"Terminated local end",,"terminated local end"
,,"Terminated remote end Administration Bldg PABX Rm",,"terminated remote end administration bldg pabx rm"
,,"Tested",,"tested"
,,"Labelled",,"labelled"
,,"Copper backbone links complete",,"copper backbone links complete"

"Electrocom - Fibre Backbone"
,"Scope",,
,"Rows"
,,"VOIP","grouping","voip"
,,"Derwent Building",,"derwent building"
,,"Education Building",,"education building"
,,"Elliot Building",,"elliot building"
,,"Excel Hub",,"excel hub"
,,"External Store",,"external store"
,,"Hort Maintenance",,"hort maintenance"
,,"Hunter 1 Building",,"hunter 1 building"
,,"Hunter 2 Building",,"hunter 2 building"
,,"Hunter 3 Building",,"hunter 3 building"
,,"Industries Laundry",,"industries laundry"
,,"Mainstream Building",,"mainstream building"
,,"Mitchell Officer Post",,"mitchell officer post"
,,"Opps Hub",,"opps hub"
,,"Prisoner Reception",,"prisoner reception"
,,"Programs Building",,"programs building"
,,"Recreation Building",,"recreation building"
,,"Swan 1 Building",,"swan 1 building"
,,"Swan 2 Building",,"swan 2 building"
,,"Thompson 2 Building",,"thompson 2 building"
,,"Yarra Building",,"yarra building"
,,"BMS","grouping","bms"
,,"Avon North Building",,"avon north building"
,,"Avon South",,"avon south"
,,"Dawson",,"dawson"
,,"Kitchen",,"kitchen"
,,"Multipurpose",,"multipurpose"
,,"Reception",,"reception"
,,"DJCS/PIN/Arunta","grouping","djcs/pin/arunta"
,,"Avon North Building",,"avon north building"
,,"Avon South",,"avon south"
,,"Dawson",,"dawson"
,,"Kitchen",,"kitchen"
,,"Reception",,"reception"
,,"Multipurpose",,"multipurpose"
,"Columns"
,,"12 Core OS2 cable roughed in",,"12 core os2 cable roughed in"
,,"Terminated local end",,"terminated local end"
,,"Terminated remote end",,"terminated remote end"
,,"Tested - OTDR",,"tested - otdr"
,,"Tested - Power/Light Meter",,"tested - power/light meter"
,,"Labelled",,"labelled"
,,"Fibre link complete",,"fibre link complete"

"Electrocom - Racks"
,"Scope",,
,"Rows"
,,"New Buildings","grouping","racks","new buildings"
,,"Reception",,"racks","reception","new buildings"
,,"Dawson",,"racks","new buildings","dawson"
,,"Avon North",,"racks","avon north","new buildings"
,,"Avon South",,"racks","avon south","new buildings"
,,"Kitchen",,"racks","kitchen","new buildings"
,,"Multipurpose",,"racks","new buildings","multipurpose"
,,"Existing Buildings","grouping","racks","existing buildings"
,,"Yarra",,"racks","existing buildings","yarra"
,,"Education",,"racks","existing buildings","education"
,,"Prisoner Reception",,"racks","existing buildings","prisoner reception"
,,"Hunter 2",,"racks","hunter 2","existing buildings"
,,"Hunter 3",,"racks","existing buildings","hunter 3"
,,"Swan 1",,"racks","existing buildings","swan 1"
,,"Swan 2",,"swan 2","racks","existing buildings"
,,"Operations Hub",,"racks","existing buildings","operations hub"
,,"Derwent",,"racks","existing buildings","derwent"
,"Columns"
,,"Install 15RU Wall Cabinet R4386",,"install 15ru wall cabinet r4386"
,,"Cabinet secured",,"cabinet secured"
,,"Cabinet fitted off",,"cabinet fitted off"
,,"Cable management installed",,"cable management installed"
,,"PDU's Installed",,"pdu's installed"
,,"Cabinet labelled",,"cabinet labelled"
,,"Cabinet cleaned",,"cabinet cleaned"
,,"Cabinet complete",,"cabinet complete"

