"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e964135b-491d-49a1-b0c1-924fd4a6dea0","","folder-normal","work-in-progress","","step","TRUE","FALSE","External Tile Cladding QA"
"429edc65-62a9-4fbd-b982-f903f3dd1174","","folder-normal","work-in-progress","","step","TRUE","FALSE","External Tile Cladding QA","Elevation"
"a1b4b57c-2fec-4763-98ad-11d806183362","","checklist-sectioned","not-started","External Tile Cladding Checklist","checklist","FALSE","FALSE","External Tile Cladding QA","Elevation","1"
"a0212ea6-dd55-487c-8e2e-d13359db3604","","checklist-sectioned","not-started","External Tile Cladding Checklist","checklist","FALSE","FALSE","External Tile Cladding QA","Elevation","2"
"474c6c1b-6c50-4783-8890-2ee75902a928","","checklist-sectioned","not-started","External Tile Cladding Checklist","checklist","FALSE","FALSE","External Tile Cladding QA","Elevation","3"
"bc8f0590-a571-4766-85ae-4fc5963ea368","","checklist-sectioned","not-started","External Tile Cladding Checklist","checklist","FALSE","FALSE","External Tile Cladding QA","Elevation","4"
"74736fd5-b143-4f48-bc67-e41aa4b73fd0","","checklist-sectioned","not-started","External Tile Cladding Checklist","checklist","FALSE","FALSE","External Tile Cladding QA","Elevation","5"
"8da8430c-d63b-49ec-b829-c9a98147de4a","","checklist-sectioned","not-started","External Tile Cladding Checklist","checklist","FALSE","FALSE","External Tile Cladding QA","Elevation","6"
"10a3703b-9172-452c-ac19-931a0fd765e4","","checklist-sectioned","work-in-progress","External Tile Cladding Checklist","checklist","FALSE","FALSE","External Tile Cladding QA","Elevation","7"
"a99c88f2-80a1-4cea-b721-ba2dc86bdca6","","checklist-sectioned","work-in-progress","External Tile Cladding Checklist","checklist","FALSE","FALSE","External Tile Cladding QA","Elevation","8"
"d30719c7-208b-4830-bd19-32759c39dfd4","","checklist-sectioned","work-in-progress","External Tile Cladding Checklist","checklist","FALSE","FALSE","External Tile Cladding QA","Elevation","9"
"6ee6ed45-50c7-42ae-90d8-dbee9f94bb14","","checklist-sectioned","not-started","External Tile Cladding Checklist","checklist","FALSE","FALSE","External Tile Cladding QA","Elevation","10"
"3d3df399-dcb5-4bde-b117-72b9b5af2275","","checklist-sectioned","not-started","External Tile Cladding Checklist","checklist","FALSE","FALSE","External Tile Cladding QA","Elevation","11"
"8979627b-a42a-4164-b0d5-5448e42ca76f","","checklist-sectioned","work-in-progress","External Tile Cladding Checklist","checklist","FALSE","FALSE","External Tile Cladding QA","Elevation","12"
"c6a9ba22-d48b-401e-99fa-bcdb1323b7e6","","checklist-sectioned","work-in-progress","External Tile Cladding Checklist","checklist","FALSE","FALSE","External Tile Cladding QA","Elevation","13"
"72ce18f4-d28d-43a4-a64f-cdea385a4626","","checklist-sectioned","work-in-progress","External Tile Cladding Checklist","checklist","FALSE","FALSE","External Tile Cladding QA","Elevation","14"
"4d41725d-6aa1-4d56-a182-8b4e73c9086e","","checklist-sectioned","not-started","External Tile Cladding Checklist","checklist","FALSE","FALSE","External Tile Cladding QA","Elevation","15"
"09f0ddda-5b77-4897-9f6e-71464172b49d","","checklist-sectioned","not-started","External Tile Cladding Checklist","checklist","FALSE","FALSE","External Tile Cladding QA","Elevation","16"
"1935b546-4bdb-4bc0-8adb-a5bb84cd4bf5","","checklist-sectioned","not-started","External Tile Cladding Checklist","checklist","FALSE","FALSE","External Tile Cladding QA","Elevation","17"
"7d285b39-347c-4790-9f25-eeedec497b18","","folder-normal","fail","","step","TRUE","FALSE","Gridline"
"4044da82-99c9-4f9c-bfcf-9ba11cb8a9ee","","folder-normal","not-started","","step","TRUE","FALSE","Gridline","Level 1"
"b9f67a79-eb2e-4433-9deb-e9addd324922","","folder-normal","not-started","","step","TRUE","FALSE","Gridline","Level 1","West L1 D-G"
"3756f1a7-0cf7-4ca4-9561-a96bf47dccc5","","folder-normal","not-started","","step","TRUE","FALSE","Gridline","Level 1","West L1 D-G","A001"
"120524f1-3742-4cba-856c-bdb478d75734","","checklist-sectioned","not-started","Toilets Checklist","checklist","FALSE","FALSE","Gridline","Level 1","West L1 D-G","A001","Toilets Checklist"
"53d2c9bf-82ee-48c7-a13e-f733a1cf1451","","checklist-sectioned","not-started","Bathroom Checklist","checklist","FALSE","FALSE","Gridline","Level 1","West L1 D-G","A001","Bathroom Checklist"
"0bead5b5-525e-496e-8c2d-53abe2a9c17f","","folder-normal","not-started","","step","TRUE","FALSE","Gridline","Level 1","West L1 D-G","A002"
"c08b3927-a98a-4cc5-8abb-36cf97bb2ada","","checklist-sectioned","not-started","Toilets Checklist","checklist","FALSE","FALSE","Gridline","Level 1","West L1 D-G","A002","Toilets Checklist"
"5d8b8d1e-97a7-4a8f-bf02-c22155d7eccf","","checklist-sectioned","not-started","Bathroom Checklist","checklist","FALSE","FALSE","Gridline","Level 1","West L1 D-G","A002","Bathroom Checklist"
"a6830bb4-103e-40a3-bb03-67e7f47721f4","","folder-normal","not-started","","step","TRUE","FALSE","Gridline","Level 1","West L1 D-G","A003"
"9290fe03-df46-4028-b17d-90018df0a9f3","","checklist-sectioned","not-started","Toilets Checklist","checklist","FALSE","FALSE","Gridline","Level 1","West L1 D-G","A003","Toilets Checklist"
"cdf87721-16b3-449b-9b4d-c6feaed17e45","","checklist-sectioned","not-started","Bathroom Checklist","checklist","FALSE","FALSE","Gridline","Level 1","West L1 D-G","A003","Bathroom Checklist"
"ed294db0-bf43-495d-9ec5-1dc8e583ce0d","","folder-normal","not-started","","step","TRUE","FALSE","Gridline","Level 1","West L1 D-G","A004"
"a20ee0a9-7d61-4056-8d0e-96d548d783e0","","checklist-sectioned","not-started","Toilets Checklist","checklist","FALSE","FALSE","Gridline","Level 1","West L1 D-G","A004","Toilets Checklist"
"4dfce57d-6f25-4edc-982b-8c03f47a1452","","checklist-sectioned","not-started","Bathroom Checklist","checklist","FALSE","FALSE","Gridline","Level 1","West L1 D-G","A004","Bathroom Checklist"
"12e30aeb-5662-4818-b4bd-46e8ed355a9a","","folder-normal","not-started","","step","TRUE","FALSE","Gridline","Level 1","West L1 D-G","A005"
"ce6ec82b-09b6-4dbb-b94a-ed94ad253863","","checklist-sectioned","not-started","Toilets Checklist","checklist","FALSE","FALSE","Gridline","Level 1","West L1 D-G","A005","Toilets Checklist"
"f5707b31-b025-4cbf-b63c-f6d34108ea41","","checklist-sectioned","not-started","Bathroom Checklist","checklist","FALSE","FALSE","Gridline","Level 1","West L1 D-G","A005","Bathroom Checklist"
"629830de-126b-4fad-8174-234c7892bb9c","","folder-normal","fail","","step","TRUE","FALSE","Gridline","Level 2"
"8bb72a81-d36f-4917-a269-854fdb4d08a5","","folder-normal","not-started","","step","TRUE","FALSE","Gridline","Level 2","West L2 D-G"
"bdcdd8a5-bc4b-439a-a6f0-d22f6b4069fe","","folder-normal","not-started","","step","TRUE","FALSE","Gridline","Level 2","West L2 D-G","A-101"
"1b7e2bcb-fa4e-4d1c-bd0c-782399bf70aa","","checklist-sectioned","not-started","Toilets Checklist","checklist","FALSE","FALSE","Gridline","Level 2","West L2 D-G","A-101","Toilets Checklist"
"0c9a5b10-7a8d-442a-81d9-768a4a8db5e8","","checklist-sectioned","not-started","Bathroom Checklist","checklist","FALSE","FALSE","Gridline","Level 2","West L2 D-G","A-101","Bathroom Checklist"
"b3065607-014b-43db-b23b-ab370b326ac5","","folder-normal","not-started","","step","TRUE","FALSE","Gridline","Level 2","West L2 D-G","A-102"
"672a561a-2cdb-45d1-b9d5-545ab4da4fb9","","checklist-sectioned","not-started","Toilets Checklist","checklist","FALSE","FALSE","Gridline","Level 2","West L2 D-G","A-102","Toilets Checklist"
"5d6a623d-d657-479b-857c-cb484f31aea9","","checklist-sectioned","not-started","Bathroom Checklist","checklist","FALSE","FALSE","Gridline","Level 2","West L2 D-G","A-102","Bathroom Checklist"
