type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-flat,Steel Member Checklist,,,,,Yes,Steel Member Checklist,24b4adbb-f9eb-44ef-adab-6ca79fbfd5a2
checkpoint,Batch numbers photographed,,,,,,,
checkpoint,Area first application complete and visual check completed,,,,,,,
checkpoint,Proile substrate for adhesion sanded,,,,,,,
checkpoint,Solvent clean of substrate performed to remove contamination,,,,,,,
,,,,,,,,
checklist,ST - S - Intumescent Painting - Pre-Commencement,,,,,Yes,ST - S - Intumescent Painting - Pre-Commencement,39df253a-8f0f-4334-9fdd-fc9185c10a29
section,Pre-site visit,,,,,,,
checkpoint,Fabrication Drawings received,,,,,,,
checkpoint,Carboline schedule received and attached/uploaded,,,,,,,
checkpoint,Sealer schedule received and attached/uploaded,,,,,,,
checkpoint,Fire engineer report received and attached/uploaded,,,,,,,
textbox,Fire rating specified,60FRR,,,,,,
textbox,Fire limiting temperature specified,550,,,,,,
checkpoint,QA documentation from blast and prime received,,,,,,,
signoff,Raise remedial/ sign-off request,,,,,,,
section,Pre-Paint Site Visit,,,,,,,
checkpoint,Supports removed,,,,,,,
checkpoint,No timber attached,,,,,,,
checkpoint,Concrete splatters removed,,,,,,,
checkpoint,All area and substrate checkpoints passed and area acceptable for painting,,,,,,,
signoff,Raise remedial/ sign-off request,,,,,,,
checkpoint,Inspections completed and issued to Foreman,,,,,,,
signoff,CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS,,,,,,,
,,,,,,,,
checklist-flat,Area Checklist,,,,,Yes,Area Checklist,422fa8f6-f8a6-48bb-890f-326c2b796c10
checkpoint,All area and substrate checkpoints passed and area acceptable for painting,,,,,,,
checkpoint,Average ambient conditions photographed and site conditions acceptable for painting,,,,,,,
checkpoint,Positector activated to gauge weather elements,,,,,,,
checkpoint,No timber attached,,,,,,,
checkpoint,Concrete splatters removed,,,,,,,
checkpoint,Inspections completed and issued to Foreman,,,,,,,
,,,,,,,,
checklist-flat,CST - S - Completion Documents,,,,,Yes,CST - S - Completion Documents,bc9797a9-a87e-4c43-bbb0-17f26d13fd8e
checkpoint,All relevant Compliance Documentation completed and attached above,,,,,,,
tickbox,Any Additional Compliance Documentation (Required under Section C and by Consultants) - Completed and Attached,,,,,,,
note,"Do not select ""Pass"" HERE until all requirements have been marked as ""Yes"" & attached or you have selected ""N/A""",,,,,,,
signoff,Request Signoff,,,,,,,
checkpoint,Inspections completed and issued to Foreman,,,,,,,
signoff,CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS,,,,,,,
,,,,,,,,
checklist,ST - S - Intumescent Painting - QA,,,,,Yes,ST - S - Intumescent Painting - QA,fb65c9ca-305e-4e15-978e-b2be384d0123
section,Preparation,,,,,,,
checkpoint,Area for preparation and application input:,,,,,,,
textbox,Area / Grids:,,,,,,,
checkpoint,Solvent clean of substrate performed to remove contamination,,,,,,,
checkpoint,Proile substrate for adhesion sanded,,,,,,,
tickbox,Abrasive blast,,,,,,,
tickbox,Vapour blast,,,,,,,
tickbox,Bristle blast,,,,,,,
tickbox,Scotch sand,,,,,,,
checkpoint,All area and substrate checkpoints passed and area acceptable for painting,,,,,,,
section,Application,,,,,,,
checkpoint,Positector activated to gauge weather elements,,,,,,,
checkpoint,Average ambient conditions photographed and site conditions acceptable for painting,,,,,,,
checkpoint,Batch numbers photographed,,,,,,,
checkpoint,Area first application complete and visual check completed,,,,,,,
checkpoint,Inspections completed and issued to Foreman,,,,,,,
signoff,CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS,,,,,,,
,,,,,,,,
checklist-flat,Application,,,,,Yes,Application,172e9c72-2c60-4bfb-86da-0aa30a39d6da
checkpoint,All area substrates passed and area acceptable for painting,,,,,,,
textbox,Area / Grids:,,,,,,,
checkpoint,Batch numbers photographed,,,,,,,
