"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"da115af4-b8d4-40ea-8310-0718e3f0e0fd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Construction"
"e136990f-ac23-4e4f-a9bd-041e9b0208e9","","folder-normal","work-in-progress","","step","TRUE","FALSE","Construction","STAGE 1"
"c5bb3ace-35a9-49bc-bd42-219840b130d7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1B"
"9e40f3e3-4fa8-4cba-9dce-c4fcce3efec6","","folder-normal","not-started","","step","TRUE","FALSE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing"
"225ec078-5aff-4c3c-a690-9431185e2a6f","","checklist-sectioned","not-started","SYM-ITP-003 - Asphalt Placement 1 (Rev A)","checklist","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)"
"9d02b2eb-7fc5-52a7-95ff-c3c5e29add8d","","checkpoint-group","not-started","","","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","1.0 Pre-start activities"
"59aae1e5-7619-5394-af8f-12fe0ef9255f","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","1.0 Pre-start activities","• What is the lot size?"
"bacb2ca3-ebac-53d5-a1d5-4033d7dcfaec","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","1.0 Pre-start activities","• Is the asphalt mix design considered “General” and does it conform with VicRoads Section 407? Has mix design been approved by CYP D&C JV?"
"c39d8c0f-f283-5e56-9440-b6b18148b3af","","holdpoint","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","1.0 Pre-start activities","Request Sign Off"
"ab62302b-20e4-5f3c-a08d-8fec8255bba8","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","1.0 Pre-start activities","• Has the previous layer passed acceptance criteria?"
"0bfb170a-35e8-5f84-b5ba-decb32fc9c47","","holdpoint","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","1.0 Pre-start activities","Request Sign Off"
"68564fdb-fb62-5d75-ab41-d2ac7954b420","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","1.0 Pre-start activities","• For intermediate and base courses surface to be above 5 degrees Celsius. For wearing course installation, surface to be greater then 10 degrees Celsius. Has the above criteria been met?"
"83469b9c-5ca2-59a5-a684-ebdd16778bef","","holdpoint","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","1.0 Pre-start activities","Request Sign Off"
"d51655f6-1da8-5de5-9f8d-17d15dc91328","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","1.0 Pre-start activities","• Have the existing pits been raised/lowered to meet the surface level of Asphalt?"
"244edb15-b5fe-5bb6-abe6-91fb3d2e5ca7","","checkpoint-group","not-started","","","FALSE","FALSE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","2.0 Hot Mix Asphalt Installation"
"53391621-a5c2-5a78-9279-caf1ab062069","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","2.0 Hot Mix Asphalt Installation","• The placement of asphalt on the sub-base or granular base for a new pavement or for an overlay of an existing bituminous surfaced pavement shall not commence until approval to proceed is obtained from CYP D&C JV."
"8d19909e-ef5c-52bd-afde-fbb61f0eeebe","","holdpoint","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","2.0 Hot Mix Asphalt Installation","Request Sign Off"
"c481f04a-c5b6-52cf-a6ef-1932c1dd0c76","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","2.0 Hot Mix Asphalt Installation","• All transverse joints shall be offset from layer to layer by at least 2 m."
"939931c9-dec3-53a5-b1a9-2e245c52eebf","","holdpoint","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","2.0 Hot Mix Asphalt Installation","Request Sign Off"
"6a4ea5b9-9636-5419-8398-e4359b88af7e","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","2.0 Hot Mix Asphalt Installation","• At junctions where the new asphalt mat is required to match the level of existing pavement surface at the limits of work, chases shall be cut into the existing pavement by cold planing as specified in Section 402."
"ebae10a7-c87c-5280-8855-e9674ee5119d","","holdpoint","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","2.0 Hot Mix Asphalt Installation","Request Sign Off"
"c72a902b-bcb1-515e-8c3b-09517f1c0392","","checkpoint-status","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","2.0 Hot Mix Asphalt Installation","• Asphalt shall be spread in layers at the compacted thicknesses shown on the drawings or specified. Asphalt shall be uniformly compacted Compaction shall not commence until the asphalt has cooled sufficiently to support the rollers without undue displacement."
"e44070b7-13a3-5c66-a2ed-d0aa55d7a397","","holdpoint","not-started","","","TRUE","TRUE","Construction","STAGE 1","ZONE 1B","3) ITP-003 - Asphalt & Sealing","SYM-PURL-ASP-1B-1 (REGULATION LAYER)","2.0 Hot Mix Asphalt Installation","Request Sign Off"
