Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Concrete Delivery Checklist,,Concrete Delivery Checklist,_NEW TEST
,Columns,,,,
,,Concrete Docket Number,Concrete Docket Number,details,
,,Pour Date,Pour Date,details,
,,Time Batched,Time Batched,details,
,,Load M3,Load M3,details,
,,Picture of Concrete Docket,,picture of concrete docket,
,,Load size match order sheet,,load size match order sheet,
,,Mix type match the order sheet,,mix type match the order sheet,
,,Mix color match the order sheet,,mix color match the order sheet,
,,MPa match the order sheet,,mpa match the order sheet,
,,Concrete Strength,Concrete Strength,mpa match the order sheet,
,,Spread / slump within range,,spread / slump within range,
,,Spread / Slump in mm,Spread / Slump in mm,spread / slump within range,
,,Water Added (N/A if no),,water added (n/a if no),
,,Quantity of water added,Quantity of water added,water added (n/a if no),
,,Concrete test taken (N/A if no),,concrete test taken (n/a if no),
,,Picture of spread check before dispatch,,picture of spread check before dispatch,
,,Inspector sign off attached below,,inspector sign off attached below,
