"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"69fc2694-9bb1-40bf-a8f5-7742a3f5245e","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"ed3ca95c-8bf8-5a94-96f6-f5aff0ea31e5","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"65319923-703b-57b5-96ad-6491dd27af79","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"ceba7dc6-4608-5e7e-b163-8404051ea580","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"95d15a1a-84b7-5fc8-b2bc-e4a7a94abb05","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"f12ee1bf-487a-5291-a09a-37a39cff6e9f","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"4cb65349-23c8-514b-b0bb-c5a9b131dc1e","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"f6cb13f3-fb45-44ea-9539-741e3d35053e","","folder-normal","not-started","","step","TRUE","FALSE","QA"
"35a03ffb-2dae-4f00-b76f-73255cb6e0d9","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems"
"c1c0b7c4-00b9-4421-99bd-14ed1d699297","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01"
"3ba9be09-6e32-4c61-b243-3fac2af23f7d","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Pre-Fit Off Checklist"
"7e7e39d7-e226-565e-b305-80d9ef4e704b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"d7d10b2f-de1c-5742-a131-e3d39a5f584f","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Pre-Fit Off Checklist","EMAIL PM"
"c3922ca0-f52f-5c97-a097-304846ee206f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"99a82c58-e373-4cd7-bdc9-4dd02c4252ac","","checklist-flat","not-started","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01"
"81980ca5-76d7-5aba-9e4b-245ce2c1ec0a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01","Photo taken of line pull test - 2 photos required"
"a2106a0a-1ace-5596-b732-4c990639f6b2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01","Photo taken of Swages - 12 photos required"
"b6170dac-93ef-59cf-bbdc-85bda7db9754","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01","Photo taken of Engraved Line Plate / ID Tag"
"1fc48cea-e3fc-5f12-9d30-f6c368254c59","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01","Video taken of system"
"e4bb0656-0770-5ab0-8333-b7d329a7551d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"7ef1854a-6188-4480-9a48-9f75f3cdb5b8","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02"
"6e6a736b-f718-48d8-bc1d-c811b8dedb92","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Pre-Fit Off Checklist"
"53f581c4-d516-5f8a-a1c0-563455e5e37c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"1e90e579-8e67-50ee-83c4-eb07b3219eb0","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Pre-Fit Off Checklist","EMAIL PM"
"6a2c9c08-6ed8-565f-8d2f-e49f0a41c30b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"10f408a9-e1eb-43cc-b031-19d0bf0c21c7","","checklist-flat","not-started","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02"
"0736c7c5-4627-5878-a321-7b29cebf16d9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02","Photo taken of line pull test - 2 photos required"
"5810fe86-c7eb-5c47-a2ce-40f935d9b176","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02","Photo taken of Swages - 12 photos required"
"c0012c77-86e2-5af3-b224-ffc61a0b8e7e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02","Photo taken of Engraved Line Plate / ID Tag"
"2dc8af0f-afd9-5a54-a9ee-da859aa53c7e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02","Video taken of system"
"c2fcde6c-2ed3-514a-98a4-1e1217602a89","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"7267e048-5ed4-4663-ae35-72bb6f2c1722","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03"
"41646f2c-7080-4f70-9eaa-05fd8a70fb87","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Pre-Fit Off Checklist"
"3e9698b0-c35e-52b2-91d6-6ee5c31ffda0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"9d1cbf2d-d236-5fd9-85f2-dc0015ea58c6","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Pre-Fit Off Checklist","EMAIL PM"
"1a86b5b5-5a27-5a92-995b-85784a54f10f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"9ccba94b-72d4-4419-8105-5d85d52b8fa6","","checklist-flat","not-started","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03"
"12dfd9f8-6cae-53a5-b659-e9baf791513f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03","Photo taken of line pull test - 2 photos required"
"d1a4bde8-a240-59d7-83f1-ec4a3355259c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03","Photo taken of Swages - 12 photos required"
"e7b4553c-99ea-59a5-a1a4-72de1ec699a1","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03","Photo taken of Engraved Line Plate / ID Tag"
"2454f073-bb6e-5a9d-906c-2bee355592f6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03","Video taken of system"
