"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Hallway Rough In Progress"
,"Scope",,,"rough in"
,"Rows"
,,"G","grouping","rough in","g"
,,"Hallway",,"hallway","rough in","g"
,,"L1","grouping","l1","rough in"
,,"Hallway",,"hallway","l1","rough in"
,,"L2","grouping","l2","rough in"
,,"Hallway",,"hallway","l2","rough in"
,,"L3","grouping","rough in","l3"
,,"Hallway",,"hallway","rough in","l3"
,,"L4","grouping","l4","rough in"
,,"Hallway",,"hallway","l4","rough in"
,,"L5","grouping","l5","rough in"
,,"Hallway",,"hallway","l5","rough in"
,,"L6","grouping","l6","rough in"
,,"Hallway",,"hallway","l6","rough in"
,,"L7","grouping","rough in","l7"
,,"Hallway",,"hallway","rough in","l7"
,,"L8","grouping","l8","rough in"
,,"Hallway",,"hallway","l8","rough in"
,,"L9","grouping","l9","rough in"
,,"Hallway",,"hallway","l9","rough in"
,,"L10","grouping","l10","rough in"
,,"Hallway",,"hallway","l10","rough in"
,,"L11","grouping","l11","rough in"
,,"Hallway",,"hallway","l11","rough in"
,,"L12","grouping","l12","rough in"
,,"Hallway",,"hallway","l12","rough in"
,,"L13","grouping","rough in","l13"
,,"Hallway",,"hallway","rough in","l13"
,,"L14","grouping","l14","rough in"
,,"Hallway",,"hallway","l14","rough in"
,,"L15","grouping","l15","rough in"
,,"Hallway",,"hallway","l15","rough in"
,,"L16","grouping","l16","rough in"
,,"Hallway",,"l16","hallway","rough in"
,,"L17","grouping","l17","rough in"
,,"Hallway",,"hallway","l17","rough in"
,,"L18","grouping","l18","rough in"
,,"Hallway",,"hallway","l18","rough in"
,,"L19","grouping","l19","rough in"
,,"Hallway",,"hallway","l19","rough in"
,,"L20","grouping","rough in","l20"
,,"Hallway",,"hallway","rough in","l20"
,,"L21","grouping","l21","rough in"
,,"Hallway",,"hallway","l21","rough in"
,,"L22","grouping","l22","rough in"
,,"Hallway",,"hallway","l22","rough in"
,,"L23","grouping","l23","rough in"
,,"Hallway",,"hallway","l23","rough in"
,"Columns"
,,"Area clear, tidy and accessible",,"area clear, tidy and accessible"
,,"Mark out all public L+P in hallway",,"mark out all public l+p in hallway"
,,"Rough in lighting, Emg/Exits and sensors",,"rough in lighting, emg/exits and sensors"
,,"Rough in cleaners power, water meter power, window louver (CS) if applicable",,"rough in cleaners power, water meter power, window louver (cs) if applicable"
,,"Rough in comms riser power",,"rough in comms riser power"
,,"Rough in lighting feed to first lighting point near elec riser",,"rough in lighting feed to first lighting point near elec riser"
,,"Rough in power feed to first cleaners point near elec riser",,"rough in power feed to first cleaners point near elec riser"
,,"String all comms conduits",,"string all comms conduits"
,,"Rough in all apartment sub mains from riser to apartment DBs and LABEL",,"rough in all apartment sub mains from riser to apartment dbs and label"
,,"Rough in stair doors access control",,"rough in stair doors access control"
,,"Rough in any relevant comms/access control from one floor to another ( Backbone )",,"rough in any relevant comms/access control from one floor to another ( backbone )"
,,"Check for clashes with other services",,"check for clashes with other services"
,,"Fire caulk riser cupboard door headers ( smoke seal only )",,"fire caulk riser cupboard door headers ( smoke seal only )"
,,"Fire caulk apartment door headers",,"fire caulk apartment door headers"
,,"Ensure area is left clean",,"ensure area is left clean"
