"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"27620973-575d-48b5-81f1-cd5e5a7dfe3f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"a8b76dfc-9074-4448-b2a3-40d9ae7ea995","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","City Edge"
"763e381f-9dcf-4baf-869d-9081cf5ca916","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","City Edge","B3"
"28e39c01-93d7-42cc-a38f-3101ec7f94e1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","City Edge","B3","Wet Fire"
"28bc6305-f0a7-4cce-9d19-4a65aa56e365","","checklist-sectioned","not-started","ENT-004 - Sprinkler rough in and fit off","checklist","FALSE","FALSE","Site QA","City Edge","B3","Wet Fire","Sprinkler Rough In & Fit Off"
"acf941c5-ecae-50ee-a0e0-cbae6fd57ed5","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B3","Wet Fire","Sprinkler Rough In & Fit Off","Pre-Start"
"ee1f1e2c-94ac-5d57-9569-5d2fdcf4514b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Sprinkler Rough In & Fit Off","Pre-Start","Specification reference checked"
"1f8f3a34-aa40-58bf-b483-db5eb9365ca6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Sprinkler Rough In & Fit Off","Pre-Start","Pipe + Fittings"
"34b216d5-1625-5666-9b36-02410714d09f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Sprinkler Rough In & Fit Off","Pre-Start","Sprinklers"
"f37c738e-a67b-5b5d-b7c0-93464d5935fb","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B3","Wet Fire","Sprinkler Rough In & Fit Off","Installation Rough-In"
"644ab3a7-de35-5871-86ac-c231b47b8a9c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Sprinkler Rough In & Fit Off","Installation Rough-In","Mains & branches installed to drawing"
"296bb1f0-82f5-5562-9840-15f85fd8eb0e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Sprinkler Rough In & Fit Off","Installation Rough-In","Hangers Location"
"325fd839-56bd-5596-a24b-777ddb573a54","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Sprinkler Rough In & Fit Off","Installation Rough-In","Concealed spaces sprinker heads installed"
"4df67c76-dc50-55e6-b03b-4755c77f2a8c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Sprinkler Rough In & Fit Off","Installation Rough-In","Outlets capped"
"a0546109-c782-5aa0-bc85-1a8b1e8e2a25","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Sprinkler Rough In & Fit Off","Installation Rough-In","Pressure test carried out"
"e6070f5a-6966-56d3-8c0c-c80629d66f26","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Sprinkler Rough In & Fit Off","Installation Rough-In","Pentrations sealed"
"64bb7a40-163a-5e85-84e0-40fcd12f4d7e","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B3","Wet Fire","Sprinkler Rough In & Fit Off","Installation Fit-Off"
"6ce47bfe-70a3-5a72-8e9b-8a051e7854f2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Sprinkler Rough In & Fit Off","Installation Fit-Off","Sprinkler heads fitted to final locations as per coordinated RCP"
"a9a84f32-7126-5588-981a-7afc0591152d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Sprinkler Rough In & Fit Off","Installation Fit-Off","Pressure test fit off"
"2aab0c76-a5fb-5cda-b30e-e5df605b97a8","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B3","Wet Fire","Sprinkler Rough In & Fit Off","Sign-Off"
"626785b4-e5a0-5365-b795-39987fd2f6f1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","City Edge","B3","Wet Fire","Sprinkler Rough In & Fit Off","Sign-Off","Inspected by Independent Certifier - Signature attached below as applicable"
"f4851525-6c11-4258-9c18-03ee2b172b8c","","checklist-sectioned","not-started","ENT-006 - Hydrants & Hosereels rough in and fit off","checklist","FALSE","FALSE","Site QA","City Edge","B3","Wet Fire","Hydrant & Hosereel Rough In & Fit Off"
"121a4539-7c25-5994-957c-61d45b2fbe80","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","City Edge","B3","Wet Fire","Hydrant & Hosereel Rough In & Fit Off","Pre-Start"
