"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checklist-sectioned",,"","checklist","Screeding","",,,95,"Yes","Screeding","1a2b3cc8-2d93-42cc-bcce-263eee1f860f"
"checkpoint-group",,"","section","Prestart"
"checkpoint-status",,"","checkpoint","Area tidy and accessible"
"checkpoint-status",,"","checkpoint","Depth of recess checked (40mm)"
"holdpoint",,"","signoff","Raise Remedial / Request Sign Off"
"checkpoint-group",,"","section","Install"
"checkpoint-status",,"","checkpoint","Minimum 600mm level at toilet"
"checkpoint-status",,"","checkpoint","5mm fall to the shower"
"checkpoint-status",,"","checkpoint","15mm fall in the shower to the floor grade"
"holdpoint",,"","signoff","Raise Remedial / Request Sign Off"
"checkpoint-group",,"","section","Handover"
"checkpoint-status",,"","checkpoint","Screeding work completed - specified level of finish achieved and area left clean and tidy"
"holdpoint",,"","signoff","Raise Remedial / Request Sign Off"

"checklist-sectioned",,"","checklist","Tiling","",,,19,"Yes","Tiling","b8e2d522-be36-4ac8-862c-dafdc2b9ee65"
"checkpoint-group",,"","section","Prestart"
"checkpoint-status",,"","checkpoint","Waterproofing complete and substrate acceptable"
"checkpoint-status",,"","checkpoint","Area tidy and accessible"
"holdpoint",,"","signoff","Raise Remedial / Request Sign Off"
"checkpoint-group",,"","section","Install"
"checkpoint-status",,"","checkpoint","Matching batches of tiles"
"checkpoint-status",,"","checkpoint","Correct tile adhesive applied as per spec"
"checkpoint-status",,"","checkpoint","Trims/ transition bars and any other finishing completed"
"holdpoint",,"","signoff","Raise Remedial / Request Sign Off"
"checkpoint-group",,"","section","Epoxy"
"checkpoint-status",,"","checkpoint","Colours correct"
"checkpoint-status",,"","checkpoint","Grouting completed and smooth"
"checkpoint-status",,"","checkpoint","Fully cleaned and no grout residue on tiles"
"holdpoint",,"","signoff","Raise Remedial / Request Sign Off"
"checkpoint-group",,"","section","Silicone"
"checkpoint-status",,"","checkpoint","Colours correct"
"checkpoint-status",,"","checkpoint","Silicone works completed and smooth"
"checkpoint-status",,"","checkpoint","Fully cleaned and no residue on tiles"
"holdpoint",,"","signoff","Raise Remedial / Request Sign Off"
"checkpoint-group",,"","section","Handover"
"checkpoint-status",,"","checkpoint","Tiling completed - specified level of finish achieved and area left clean and tidy"
"holdpoint",,"","signoff","Raise Remedial / Request Sign Off"

"checklist-flat",,"","checklist","Cork/ Soundproofing","",,,8,"Yes","Cork/ Soundproofing","dad9e21a-f26d-47c1-a3d8-a5246b4078d8"
"checkpoint-status",,"","checkpoint","Cork installed across the floor"
"checkpoint-status",,"","checkpoint","Joints are tight"
"checkpoint-status",,"","checkpoint","Cork/ Soundproofing work completed - specified level of finish achieved and area left clean and tidy"
