type,name,values,prefix,postfix,usage count,user addable,template name,,,,,
checklist-flat,Fire Alarm,,,,,,Fire Alarm Second Fix,,,,,
checkpoint,Area accessible & ready,,,,,,,,,,,
checkpoint,All Detectors positions correct,,,,,,,,,,,
checkpoint,Sounders positions correct,,,,,,,,,,,
checkpoint,Modules positions correct,,,,,,,,,,,
checkpoint,Orange caps removed,,,,,,,,,,,
,,,,,,,,,,,,
checklist,Fire Sprinkler,,,,,,Fire Sprinkler Second Fix,,,,,
section,Set Out,,,,,,,,,,,
checkpoint,Area accessible & ready,,,,,,,,,,,
checkpoint,Construction Drawing Approved For Installation,,,,,,,,,,,
textbox,Drawing no. ,,,,,,,,,,,
checkpoint,Reflected Ceiling Plan Approved for Installation,,,,,,,,,,,
section,Sprinklers,,,,,,,,,,,
checkpoint,All Sprinkler Positions Correct,,,,,,,,,,,
checkpoint,Sprinkler Heads As Specified,,,,,,,,,,,
checkpoint,Sprinkler Head Response Time (QR/SR),,,,,,,,,,,
checkpoint,Sprinkler Frame Orientation Correct,,,,,,,,,,,
section,Fit - Off,,,,,,,,,,,
checkpoint,Escutcheon Plates As Specified,,,,,,,,,,,
checkpoint,All Escutcheon Plates Installed,,,,,,,,,,,
checkpoint,Protective Caps Removed From Sprinkler Heads,,,,,,,,,,,
checkpoint,Sprinkler Heads Undamaged,,,,,,,,,,,
checkpoint,Ceiling Surfaces / Tiles Undamaged,,,,,,,,,,,
,,,,,,,,,,,,
checklist,Fire Hydrant Mains & Risers,,,,,,Fire Hydrant Mains & Risers,,,,,
section,Set Out,,,,,,,,,,,
checkpoint,Area accessible & ready,,,,,,,,,,,
checkpoint,Construction Drawing Approved for Installation,,,,,,,,,,,
textbox,Drawing no. ,,,,,,,,,,,
section,Riser Main,,,,,,,,,,,
checkpoint,Riser Set Out / Penetrations As Per Drawing,,,,,,,,,,,
checkpoint,Pipework Type & Finish As Specified,,,,,,,,,,,
checkpoint,Riser Size As Per Drawing,,,,,,,,,,,
checkpoint,Riser Hangers & Seismic Braces Installed,,,,,,,,,,,
checkpoint,Seismic / Flexible Coupling Installed,,,,,,,,,,,
section,Hydrant Outlets,,,,,,,,,,,
checkpoint,Outlet Height Between 600mm min 1350mm max,,,,,,,,,,,
checkpoint,Outlet Coupling Clearance 150mm min,,,,,,,,,,,
checkpoint,Valve Handle Orientation Correct,,,,,,,,,,,
checkpoint,Outlet Valves Locked With 144,,,,,,,,,,,
checkpoint,Riser Location Signage Installed,,,,,,,,,,,
,,,,,,,,,,,,
checklist-flat,Fire Alarm,,,,,,Fire Alarm First Fix ,,,,,
checkpoint,Area accessible & ready,,,,,,,,,,,
checkpoint,Ceiling cabling installed,,,,,,,,,,,
checkpoint,Wall cabling installed,,,,,,,,,,,
checkpoint,Detector heads in approved locations,,,,,,,,,,,
checkpoint,MCPs in approved locations,,,,,,,,,,,
checkpoint,Speakers in approved locations,,,,,,,,,,,
,,,,,,,,,,,,
checklist,Fire Pump Room,,,,,,Fire Pump Room or Fire Sprinkler Room,,,,,
section,Fire Pump/Fire Sprinkler,,,,,,,,,,,
checkpoint,pipe work installed as per drawing,,,,,,,,,,,
checkpoint,valves installed and correct type,,,,,,,,,,,
checkpoint,pressure gauges installed and correct scale,,,,,,,,,,,
checkpoint,diesel tank and copper line installed sprinkler,,,,,,,,,,,
checkpoint,pump running sprinkler,,,,,,,,,,,
checkpoint,pressure setting complete sprinkler pump,,,,,,,,,,,
section,Hydrant Inlet,,,,,,,,,,,
checkpoint,Inlet Height Between 600mm min 1350mm max,,,,,,,,,,,
checkpoint,Inlet Coupling Clearance 75mm min,,,,,,,,,,,
checkpoint,Inlet Gauge Installed & noteled,,,,,,,,,,,
checkpoint,Splash Guard Installed,,,,,,,,,,,
section,Water Supply,,,,,,,,,,,
checkpoint,Charging Line Installed & Locked Open,,,,,,,,,,,
checkpoint,System Drain Installed & Locked Closed,,,,,,,,,,,
checkpoint,Hydrant System Pressure Tested 1600kPa,,,,,,,,,,,
,,,,,,,,,,,,
checklist-flat,Pressure Testing,,,,,,Air/Hydrostatic Pressure Testing,,,,,
checkpoint,Area accessible & ready,,,,,,,,,,,
textbox,Description of Pipework/Area to be tested,,,,,,,,,,,
note,The following procedure has been written as a working guide to ensure that hydrostatic pressure testing is carried out in a safe.,,,,,,,,,,,
note,Changes to the procedure may be made by the Site Supervisor should additional safety measures be required to comply with site safety protocol,,,,,,,,,,,
note,Test Pressure is to be 1350 Kpa for Sprinkler System,,,,,,,,,,,
note,Test Pressure is to be 1350 Kpa for Fire Hydrant Systems,,,,,,,,,,,
note,MINIMUM TEST PERIOD IS TO BE 2 HOURS,,,,,,,,,,,
checkpoint,Instructions as attached,,,,,,,,,,,
checkpoint,Test results & details of last test attached,,,,,,,,,,,
textbox,Type of system,,,,,,,,,,,
textbox,Building / Section under test,,,,,,,,,,,
textbox,Test Gauge type,,,,,,,,,,,
textbox,AMF Gauge #,,,,,,,,,,,
checkpoint,Air Test completed,,,,,,,,,,,
textbox,Start Time,,,,,,,,,,,
textbox,Start Pressure KPA,,,,,,,,,,,
textbox,Finish time,,,,,,,,,,,
textbox,Finish Pressure KPA,,,,,,,,,,,
textbox,Duration,,,,,,,,,,,
textbox,Pressure drop KPA,,,,,,,,,,,
checkpoint,Hydrostatic Test completed,,,,,,,,,,,
textbox,Start Time,,,,,,,,,,,
textbox,Start Pressure KPA,,,,,,,,,,,
textbox,Finish time,,,,,,,,,,,
textbox,Finish Pressure KPA,,,,,,,,,,,
textbox,Duration,,,,,,,,,,,
textbox,Pressure drop KPA,,,,,,,,,,,
checkpoint,Accepted by Builder,,,,,,,,,,,
checkpoint,Test certified by AMF,,,,,,,,,,,
,,,,,,,,,,,,
checklist-flat,Fire Alarm Test,,,,,,Fire Alarm Test,,,,,
checkpoint,Area accessible & ready,,,,,,,,,,,
checkpoint,All Detectors correct operation,,,,,,,,,,,
checkpoint,All Modules correct operation,,,,,,,,,,,
checkpoint,All sounders correct operation,,,,,,,,,,,
checkpoint,Mimic panel correct indication,,,,,,,,,,,
checkpoint,LCD panel correct operation,,,,,,,,,,,
checkpoint,All Ancillary tested & operational ,,,,,,,,,,,
note,"Ancillary includes: Mechanical, doors, lifts,fire Curtain, security, strobe light, escalator ",,,,,,,,,,,
checkpoint,Wip phone,,,,,,,,,,,
checkpoint,Evacuation sequence,,,,,,,,,,,
,,,,,,,,,,,,
checklist-flat,Fire Sprinkler Mains & Risers,,,,,,Fire Sprinkler Mains & Risers,,,,,
checkpoint,Area accessible & ready,,,,,,,,,,,
checkpoint,Construction Drawing Approved for Installation,,,,,,,,,,,
textbox,Drawing no. ,,,,,,,,,,,
checkpoint,Riser Set Out / Penetrations As Per Drawing,,,,,,,,,,,
checkpoint,Pipework Type & Finish As Specified,,,,,,,,,,,
checkpoint,Riser Size As Per Drawing,,,,,,,,,,,
checkpoint,Riser Hanger Installed,,,,,,,,,,,
checkpoint,Seismic Braces Installed,,,,,,,,,,,
checkpoint,Seismic / Flexible Coupling Installed 300mm AFL,,,,,,,,,,,
checkpoint,Floor Take-Off Size As Per Drawing,,,,,,,,,,,
checkpoint,Floor Valve / Isolation Valve Installed,,,,,,,,,,,
checkpoint,Check Valve Installed,,,,,,,,,,,
checkpoint,Flow Switch Installed / Timer Set To Zero,,,,,,,,,,,
checkpoint,Floor / Test Drain Installed,,,,,,,,,,,
checkpoint,Riser Main Pressure Tested,,,,,,,,,,,
checkpoint,Riser Shafts & Cupboards,,,,,,,,,,,
