resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,
,step,,,Site QA,,,,,,,,,
,step,,,,Basement 4,,,,,,,,
Internal Drainage,checklist,,,,,Internal Drainage,,,,,,,
Internal Stormwater,checklist,,,,,Internal Stormwater,,,,,,,
Sewer Stacks / Storm water stacks,checklist,,,,,Sewer Stacks / Storm water stacks,,,,,,,
Commissioning/Handover & Testing Checklist,checklist,,,,,Commissioning,,,,,,,
,step,,,,Basement 3,,,,,,,,
Internal Drainage,checklist,,,,,Internal Drainage,,,,,,,
Internal Stormwater,checklist,,,,,Internal Stormwater,,,,,,,
Sewer Stacks / Storm water stacks,checklist,,,,,Sewer Stacks / Storm water stacks,,,,,,,
Commissioning/Handover & Testing Checklist,checklist,,,,,Commissioning,,,,,,,
,step,,,,Basement 2,,,,,,,,
Internal Drainage,checklist,,,,,Internal Drainage,,,,,,,
Internal Stormwater,checklist,,,,,Internal Stormwater,,,,,,,
Sewer Stacks / Storm water stacks,checklist,,,,,Sewer Stacks / Storm water stacks,,,,,,,
Commissioning/Handover & Testing Checklist,checklist,,,,,Commissioning,,,,,,,
,step,,,,Basement 1,,,,,,,,
Internal Drainage,checklist,,,,,Internal Drainage,,,,,,,
Internal Stormwater,checklist,,,,,Internal Stormwater,,,,,,,
Sewer Stacks / Storm water stacks,checklist,,,,,Sewer Stacks / Storm water stacks,,,,,,,
Commissioning/Handover & Testing Checklist,checklist,,,,,Commissioning,,,,,,,
,step,,,,Building A,,,,,,,,
,step,,,,,Ground Floor,,,,,,,
Internal Drainage,checklist,,,,,,Internal Drainage,,,,,,
Internal Stormwater,checklist,,,,,,Internal Stormwater,,,,,,
Sewer Stacks / Storm water stacks,checklist,,,,,,Sewer Stacks / Storm water stacks,,,,,,
Meter Cupboard / Copper Riser,checklist,,,,,,Lobby,,,,,,
,step,,,,,,Male Toilet,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist,checklist,,,,,,,Plumbing Rough-In,,,,,
Fit Off Checklist,checklist,,,,,,,Fit Off,,,,,
Commissioning/Handover & Testing Checklist,checklist,,,,,,,Commissioning,,,,,
,step,,,,,,Female Toilet,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist,checklist,,,,,,,Plumbing Rough-In,,,,,
Fit Off Checklist,checklist,,,,,,,Fit Off,,,,,
Commissioning/Handover & Testing Checklist,checklist,,,,,,,Commissioning,,,,,
,step,,,,,,Accessibility Female Toilet,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist,checklist,,,,,,,Plumbing Rough-In,,,,,
Fit Off Checklist,checklist,,,,,,,Fit Off,,,,,
Commissioning/Handover & Testing Checklist,checklist,,,,,,,Commissioning,,,,,
,step,,,,,,Accessibility Male Toilet,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist,checklist,,,,,,,Plumbing Rough-In,,,,,
Fit Off Checklist,checklist,,,,,,,Fit Off,,,,,
Commissioning/Handover & Testing Checklist,checklist,,,,,,,Commissioning,,,,,
,step,,,,,Level 1,,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist,checklist,,,,,,Plumbing Rough-In,,,,,,
Fit Off Checklist,checklist,,,,,,Fit Off,,,,,,
Commissioning/Handover & Testing Checklist,checklist,,,,,,Commissioning,,,,,,
,step,,,,,Level 2,,,,,,,
,step,,,,,,201,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist,checklist,,,,,,,Plumbing Rough-In,,,,,
Fit Off Checklist,checklist,,,,,,,Fit Off,,,,,
Commissioning/Handover & Testing Checklist,checklist,,,,,,,Commissioning,,,,,
,step,,,,,,202,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist,checklist,,,,,,,Plumbing Rough-In,,,,,
Fit Off Checklist,checklist,,,,,,,Fit Off,,,,,
Commissioning/Handover & Testing Checklist,checklist,,,,,,,Commissioning,,,,,
,step,,,,,,203,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist,checklist,,,,,,,Plumbing Rough-In,,,,,
Fit Off Checklist,checklist,,,,,,,Fit Off,,,,,
Commissioning/Handover & Testing Checklist,checklist,,,,,,,Commissioning,,,,,
,step,,,,,,204,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist,checklist,,,,,,,Plumbing Rough-In,,,,,
Fit Off Checklist,checklist,,,,,,,Fit Off,,,,,
Commissioning/Handover & Testing Checklist,checklist,,,,,,,Commissioning,,,,,
,step,,,,,,205,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist,checklist,,,,,,,Plumbing Rough-In,,,,,
Fit Off Checklist,checklist,,,,,,,Fit Off,,,,,
Commissioning/Handover & Testing Checklist,checklist,,,,,,,Commissioning,,,,,
,step,,,,,,206,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist,checklist,,,,,,,Plumbing Rough-In,,,,,
Fit Off Checklist,checklist,,,,,,,Fit Off,,,,,
Commissioning/Handover & Testing Checklist,checklist,,,,,,,Commissioning,,,,,
,step,,,,,,207,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist,checklist,,,,,,,Plumbing Rough-In,,,,,
Fit Off Checklist,checklist,,,,,,,Fit Off,,,,,
Commissioning/Handover & Testing Checklist,checklist,,,,,,,Commissioning,,,,,
,step,,,,,,208,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist,checklist,,,,,,,Plumbing Rough-In,,,,,
Fit Off Checklist,checklist,,,,,,,Fit Off,,,,,
Commissioning/Handover & Testing Checklist,checklist,,,,,,,Commissioning,,,,,
,step,,,,,,209,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist,checklist,,,,,,,Plumbing Rough-In,,,,,
Fit Off Checklist,checklist,,,,,,,Fit Off,,,,,
Commissioning/Handover & Testing Checklist,checklist,,,,,,,Commissioning,,,,,
,step,,,,,,210,,,,,,
Plumbing Rough-In Water/Gas/Sewer Checklist,checklist,,,,,,,Plumbing Rough-In,,,,,
Fit Off Checklist,checklist,,,,,,,Fit Off,,,,,
Commissioning/Handover & Testing Checklist,checklist,,,,,,,Commissioning,,,,,
,step,,,,,Level 3,,,,,,,
,step,,,,,,301,,,,,,
