type,name,values,prefix,postfix,usage count,user addable,template name,,,,
checklist,Plumbing Rough-In Water/Gas/Sewer Checklist,,,,,,Plumbing Rough-In Water/Gas/Sewer Checklist,,,,
section,Sewer Stacks,,,,,,,,,,
checkpoint,"Pipework fastened, fixed, supported & secured (clipped) correct spacings",,,,,,,,,,
checkpoint,Pipework connection points at fixtures & fittings installed at correct height & fall,,,,,,,,,,
label,Consider ceiling height,,,,,,,,,,
checkpoint,Correct invert level (As per Standards),,,,,,,,,,
checkpoint,Pipework fixture connections capped & secure,,,,,,,,,,
checkpoint,"General photos, comments & observations during Sewer Rough-In (Add below)",,,,,,,,,,
button,Passive Fire collars/Sealant(s) for all pipework completed (Any issues comment below),"Yes, No",,,,,,,,,
checkpoint,Drainage flood tested,,,,,,,,,,
label,FINAL - Pass when happy to proceed with work(s) (Any issues please comment below),,,,,,,,,,
section,Water & Gas Rough-In,,,,,,,,,,
checkpoint,Pipework run to the correct points & there are no cross connections,,,,,,,,,,
checkpoint,"Pipework fastened, fixed, supported & secured (clipped) correct spacings",,,,,,,,,,
label,Make sure no water hammer on Water pipes,,,,,,,,,,
checkpoint,Pipework connection points at fixtures & fittings installed at correct height,,,,,,,,,,
label,Consider ceiling height,,,,,,,,,,
checkpoint,"Pipework fittings capped, connection loops joined & secure",,,,,,,,,,
checkpoint,Leak test piping before proceeding to 1500KPA,,,,,,,,,,
checkpoint,Gas test pressure holding point 14KPA,,,,,,,,,,
button,Isolation valves installed & located readily accessible for maintenance,"Yes, No, N/A",,,,,,,,,
button,TMV/Tempering valve installed,"Yes, No, N/A",,,,,,,,,
checkpoint,All rough in fire rated,,,,,,,,,,
checkpoint,Ensure all drainage is capped,,,,,,,,,,
checkpoint,"General photos, comments & observations during Rough-In (Add below)",,,,,,,,,,
checkpoint,Rough-In completed to specification/drawings,,,,,,,,,,
checkpoint,Final test completed,,,,,,,,,,
,,,,,,,,,,,
checklist-flat,Fit Off Checklist,,,,,,Fit Off Checklist,,,,
checkpoint,Fixtures installed at correct height/clearance,,,,,,,,,,
checkpoint,Appliances installed at correct location,,,,,,,,,,
checkpoint,Dishwasher installed & tested,,,,,,,,,,
checkpoint,"Correct clearance between appliance & walls, fixtures/equipment",,,,,,,,,,
checkpoint,Correct clearance for connections & maintenance,,,,,,,,,,
checkpoint,Ensure bath is installed as per specifications,,,,,,,,,,
checkpoint,Final test completed & hot water tempered,,,,,,,,,,
checkpoint,Valves Installed/Completed (As Per Below) - Any issues comment below,,,,,,,,,,
,,,,,,,,,,,
checklist-flat,Commissioning/Handover & Testing Checklist,,,,,,Commissioning/Handover & Testing Checklist,,,,
checkpoint,Final completed for fire hydrant,,,,,,,,,,
checkpoint,Final sign off - Pass when happy to proceed (Any issues please comment & Add photos below),,,,,,,,,,
,,,,,,,,,,,
checklist-flat,Meter Cupboard / Copper Riser,,,,,,Meter Cupboard / Copper Riser,,,,
checkpoint,All copper piping installed & pressure tested to AS/NZS3500:2018,,,,,,,,,,
checkpoint,Valves Installed/Completed (As Per Below) - Any issues comment below,,,,,,,,,,
button,Tempering valves installed,"Yes, No, N/A",,,,,,,,,
button,Air admittance valves installed & connected as specified & readily accessible,"Yes, No, N/A",,,,,,,,,
button,"Pressure regulating valve assembles fitted, connected & pipework flushed prior to install","Yes, No, N/A",,,,,,,,,
button,Tempering valve tested ready for temperature setting,"Yes, No, N/A",,,,,,,,,
checkpoint,"General photos, comments & observations during Sewer Rough-In (Add below)",,,,,,,,,,
,,,,,,,,,,,
checklist-flat,Sewer Stacks / Storm water stacks,,,,,,Sewer Stacks / Storm water stacks,,,,
checkpoint,"Pipework fastened, fixed, supported & secured (clipped) correct spacings",,,,,,,,,,
checkpoint,Pipework connection points at fixtures & fittings installed at correct height,,,,,,,,,,
label,Consider ceiling height,,,,,,,,,,
checkpoint,Correct invert level (As per Standards),,,,,,,,,,
checkpoint,Pipework fixture connections capped & secure,,,,,,,,,,
checkpoint,"General photos, comments & observations during Sewer Rough-In (Add below)",,,,,,,,,,
checkpoint,Passive Fire collars/Sealant(s) for all pipework completed (Any issues comment below),,,,,,,,,,
,,,,,,,,,,,
checklist-flat,Passive Fire Penetration,,,,,,Passive Fire Penetration,,,,
checkpoint,Confirm area of work is accessible & acceptable to commence (If not comment below),,,,,,,,,,
select,Material,"Hilti CP 611A Firestop Intumescent Sealant, Hilti Firestop Acrylic Sealant 209633, Hilti Firestop Acrylic Sealant CP 606, Hilti Firestop Collar 100 No. 435410, Hilti Firestop collar 50 No. 455405, Hilti Firestop collar 50 No. 455406, Promaseal FC 100 No. 27253, Promaseal FC 100 No. 78269, Promaseal FC 150 No. 78254, Promaseal FC 150 No. 78270, Promaseal FC 50 No. 78272, Promaseal FCR 100 No. 78253, Promaseal FCR 100 No. 78282, Promaseal FCW 40 No. 78271, Promaseal FCW 50 No. 435906, Promaseal FCW 50 No. 78272, Promaseal FCW 50 No. 78273, Promaseal FCW 50 No. 922310, Promaseal FCW 65 No. 78273, Trafalgar Wrap, Uni Collar No. 78342
",,,,,,,,,
select,Description,"PVC Sewer, PVC Stormwater, 20mm PEX, Copper Water, Copper Gas",,,,,,,,,
select,Pipe size,"16mm, 20mm, 40mm, 50mm, 65mm, 80mm, 100mm, 150mm, 225mm",,,,,,,,,
checkpoint,Please take detail photos of penetration & labelling,,,,,,,,,,
text,ID Number,,,,,,,,,,
checkpoint,Please attach copy of test report / certificate,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
checklist-flat,Internal Drainage,,,,,,Internal Drainage,,,,
checkpoint,Ensure pipes are at correct fall as per AS3500,,,,,,,,,,
checkpoint,Backfilling material has been backfilled & compacted as per AS3500,,,,,,,,,,
checkpoint,Pipes are clear of debris,,,,,,,,,,
checkpoint,Jump ups at floor waste gulleys,,,,,,,,,,
checkpoint,Direct rotting to WC's,,,,,,,,,,
checkpoint,Vents installed on main lines,,,,,,,,,,
checkpoint,Chamber vent installed,,,,,,,,,,
checkpoint,"General photos, comments & observations during internal drainage",,,,,,,,,,
checkpoint,Pipework fixture connections capped & secure,,,,,,,,,,
,,,,,,,,,,,
checklist-flat,Internal Stormwater,,,,,,Internal Stormwater,,,,
checkpoint,Ensure pipes are at correct fall as per AS3500,,,,,,,,,,
checkpoint,Backfilling material has been backfilled & compacted as per AS3500,,,,,,,,,,
checkpoint,Pipes are clear of debris,,,,,,,,,,
checkpoint,Pit invert levels & RL's are per plan,,,,,,,,,,
checkpoint,"General photos, comments & observations during internal drainage",,,,,,,,,,
checkpoint,Pipework fixture connections capped & secure,,,,,,,,,,
,,,,,,,,,,,
checklist-flat,Copper Riser Penetration,,,,,,Copper Riser Penetration,,,,
checkpoint,Copper Riser Penetration - Please add any photos / comments,,,,,,,,,,
bool,MAXILTE 60 (FIRE BOARD 1525x1000x60mm),,,,,,,,,,
bool,TWRAP 300mm (TWRAP PENETRATION WRAP -25mm THICK 300 X 7620mm),,,,,,,,,,
bool,TWRAP 600mm (TWRAP PENETRATION WRAP -25mm THICK 600 X 7620mm),,,,,,,,,,
bool,FRYREFLEX 600W (FRYREFLEX 600mL SAUSAGE),,,,,,,,,,
bool,CABLE TIE SS 4.6 X 520 (STAINLESS STEEL CABLE TIES 4.6mm X 520mm),,,,,,,,,,
