"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Balconies Balustrades"
,"Scope",,
,"Rows"
,,"Level 4","dynamic","level 4"
,,"Level 5","dynamic","level 5"
,,"Level 6","dynamic","level 6"
,,"Level 7","dynamic","level 7"
,,"Level 8","dynamic","level 8"
,,"Level 9","dynamic","level 9"
,,"Level 10","dynamic","level 10"
,,"Level 11","dynamic","level 11"
,,"Level 12","dynamic","level 12"
,,"Level 13","dynamic","level 13"
,,"Level 14","dynamic","level 14"
,,"Level 15","dynamic","level 15"
,"Columns"
,,"Bolts tightened",,"bolts tightened"
,,"All Bolts and Rods Insulated",,"all bolts and rods insulated"
,,"EPDM Tape between post and precast",,"epdm tape between post and precast"
,,"Balustrade plumb",,"balustrade plumb"
,,"Handrail straight",,"handrail straight"
,,"Scratches touched up",,"scratches touched up"
,,"EPDM washers installed between Post and S/S Washer",,"epdm washers installed between post and s/s washer"
,,"Balustrade installed with no more than 100mm gap between cladding",,"balustrade installed with no more than 100mm gap between cladding"
,,"Balustrade installation complete, checked and reviewed",,"balustrade installation complete, checked and reviewed"

