"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"97a842cb-2f3c-41fb-81d7-53759bab9eb2","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections"
"3a24cf5f-0d8d-4c6a-9499-328a9e13804d","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework"
"ace8218e-a4e9-40b3-b2bc-89a77df84b6f","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1"
"09ac86ed-f89d-4d51-8467-1a8c62edb91e","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete"
"5237568d-7663-413c-ac51-a10463bba51d","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation"
"e8b3538a-3bfc-4494-b6e0-1c1f0b5e1463","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation"
"e0958224-58ff-44a1-8557-4b1942d7e399","","checklist-flat","work-in-progress","Combined Services HDPE Fire Pipework Installation","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation","Combined Services HDPE Fire Pipework Installation"
"9177a69d-8330-425d-beb9-3f927b2dc9a1","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding"
"9ae0d3ee-1649-4be7-8ae4-316eebbdcf77","Signoffs not allowed on folder-progress: Signoffs Weld 1-10(6660435f-8aab-4864-a940-f868c3e9a519)","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10"
"6599b301-d2b6-4ab7-a94a-75983b186004","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 1"
"23a31b53-4e31-450e-809a-288521f91bf1","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 1","Electrofusion Welding"
"7ec6e478-a594-430f-a3e4-bf4cc3423d81","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2"
"a1f4cbde-c03e-4360-a535-90774348b76f","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2","Electrofusion Welding"
"a997aa75-aba9-4aba-971f-3c3785bfb762","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3"
"f2085994-6a30-4c70-98f2-a1482e705389","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3","Electrofusion Welding"
"d2c722c4-6628-468c-a102-2d810355bd84","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 4"
"87f4e89d-80e2-4776-a3cc-2384980f4a98","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 4","Electrofusion Welding"
"81e93c9d-7552-40f7-8bd1-c89a04e602f2","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 5"
"db6a0137-74d5-4889-85d1-bbc738e26341","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 5","Electrofusion Welding"
"32a67d25-b7d3-4427-a9d5-c372ddea204f","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 7"
"156abd6b-c4ba-4ca2-81e1-cebed1921907","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 7","Electrofusion Welding"
"286c075c-3f60-4c1a-ac68-c2d2b10ab8ec","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 8"
"0bdf545d-d241-470a-859a-667a5a5a10a9","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 8","Electrofusion Welding"
"55bf667f-1f81-46bd-addb-eed1bd34caf5","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 9"
"65784e5f-df59-4916-a615-ed83116f1f63","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 9","Electrofusion Welding"
"5d93f6dc-6881-48bd-b5e2-a93448280827","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 1","Trench PE 22 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 10"
