"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Matrix"
,"Scope",,
,"Rows"
,,"Level 3",,"level 3"
,,"Level 4",,"level 4"
,,"Level 5",,"level 5"
,,"Level 6",,"level 6"
,,"Level 7",,"level 7"
,,"Level 8",,"level 8"
,,"Level 9",,"level 9"
,,"Level 10",,"level 10"
,,"Level 11",,"level 11"
,,"Level 12",,"level 12"
,,"Level 13",,"level 13"
,,"Level 14",,"level 14"
,,"Level 15",,"level 15"
,,"Level 16",,"level 16"
,,"Level 17",,"level 17"
,,"Level 18",,"level 18"
,,"Level 19",,"level 19"
,,"Level 20",,"level 20"
,,"Level 21",,"level 21"
,,"Level 22",,"level 22"
,,"Level 23",,"level 23"
,,"Level 24",,"level 24"
,,"Level 25",,"level 25"
,,"Level 26",,"level 26"
,,"Level 27",,"level 27"
,"Columns"
,,"PCW051",,"pcw051"
,,"PCW052",,"pcw052"
,,"PCW053",,"pcw053"
,,"PCW054",,"pcw054"
,,"Site Representative Sign Off",,"site representative sign off"


,"Scope",,
,"Rows"
,"Columns"

