type,name,values,prefix,postfix,usage count,user addable,template name,Resource ID,,,,,,,
checklist,ITP-282-Civil -PSSD-Traffic Signal Installation,itp,,,,,ITP-282-Civil -PSSD-Traffic Signal Installation Rev 0,,,,,,,,
section,Referenced Documentation,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,
label,Document Title: ITP-282-Civil-PSSD-Traffic Signal Installation,,,,,,,,,,,,,,
label,ITP Description: Traffic Signal Installation,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): Civil,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,
label,Revision Date: 14/05/2025,,,,,,,,,,,,,,
label,ITP created by: Romualdo Magpantay,,,,,,,,,,,,,,
label,ITP approved for use by: Romualdo Magpantay,,,,,,,,,,,,,,
label,1.1 VicRoads Specification,,,,,,,,,,,,,,
label,Reference: VicRoads Section 730 October 2013,,,,,,,,,,,,,,
label,1.4 Australian Standard - Methods of testing soils for engineering purposes,,,,,,,,,,,,,,
label,Reference: AS3000,,,,,,,,,,,,,,
section,Preliminaries - Materials,,,,,,,,,,,,,,
checkpoint,2.1 Vic Roads Site Plan,,,,,,,,,,,,,,
label,REFERENCE: L1-CHE-SPE-178 - Clause 5.10.1. Australian Standard - AS1289,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Scope of works, equipment requirements and placement of equipment shall be as shown on the VicRoads Site Plan",,,,,,,,,,,,,,
label,METHOD: Review Document,,,,,,,,,,,,,,
label,FREQUENCY: Prior to works commencement,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/PE,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed Off,,,,,,,,,,,,,,
label,○ Attach: VicRoads Site Plan,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
checkpoint,2.2 Subcontractor Prequalification,,,,,,,,,,,,,,
label,REFERENCE: Section 730.01c,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: All works associated with the installation and commissioning or remodel of trafic signals shall be undertaken only by contractors that are pre-qualifed at the STS level under the VicRoads contractor pre-qualification scheme.,,,,,,,,,,,,,,
label,METHOD: Review Document,,,,,,,,,,,,,,
label,FREQUENCY: Prior to works commencement,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/PE,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed Off,,,,,,,,,,,,,,
label,○ Attach Subcontractor Prequalification Certificate,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
checkpoint,2.3 Material Fabrication and Supply - Traffic Signal Hardware,,,,,,,,,,,,,,
label,REFERENCE: Section 730.05,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: The fabrication and supply of all components for tratraffic signal works shall conform to all relevant VR Specs and Aus Standards.,,,,,,,,,,,,,,
label,"To comply with: VR 'TCS' series specs, VR 'TC' series specs, AS1742, AS/NZS3000 and Victorian Service and Installation Rules",,,,,,,,,,,,,,
textbox,Team Binder Material Approval No.,,,,,,,,,,,,,,
label,METHOD: Review Document,,,,,,,,,,,,,,
label,FREQUENCY: Prior to works commencement,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/PE,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Issue to TB and Attach Material Certifiate,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
checkpoint,2.4 Equipment to be supplied by VicRoads,,,,,,,,,,,,,,
label,REFERENCE: Section 730.06,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: VicRoads will supply or arrange for the supply of the following items:,,,,,,,,,,,,,,
label, (a) the traffic signal controller and associated vehicle detector units,,,,,,,,,,,,,,
label," (b) communication devices, such as Dial-IP modems",,,,,,,,,,,,,,
label, (c) ‘DUSC’ units.,,,,,,,,,,,,,,
label,○ Contractor to provide VR a list of materials at least 20no. working days before delivery is required.,,,,,,,,,,,,,,
label,METHOD: Review Document,,,,,,,,,,,,,,
label,FREQUENCY: Once,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/PE,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed Off,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
checkpoint,2.5 Equipment to be supplied by the Contractor,,,,,,,,,,,,,,
label,REFERENCE: Section 730.07,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Contractor shall be responsible for the supply of all equipment, items and peripherals required for the completion of the works",,,,,,,,,,,,,,
label,"○ Where applicable, all equipment proposed for use shall hold current VicRoads ‘Type Approval’ certification or Product Acceptance. Refer to Item 2.3.",,,,,,,,,,,,,,
label,"○ All equipment, materials and fittings supplied by the Contractor are to be new. Contractor to ensure equipment used is compactible with all equipment",,,,,,,,,,,,,,
textbox,TB Material Approval No.,,,,,,,,,,,,,,
label,METHOD: Review Document,,,,,,,,,,,,,,
label,FREQUENCY: Once,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/PE,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Issue to TB and Attach Material Certifiate,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
