type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,
checklist,1630-P200-SYM-QAC-ITP-0012 Earthworks Type A REV01,itp,,,,Yes,1630-P200-SYM-QAC-ITP-0012 Earthworks Type A REV01,7c815c14-dd38-4c3e-885f-4d0e050c79e6,,,,,,,,,
section,ITP Details,,,,,,,,,,,,,,,,
checkpoint,ITP Details,,,,,,,,,,,,,,,,
label,ITP No. 1630-P200-SYM-QAC-ITP-0012 Earthworks Type A,,,,,,,,,,,,,,,,
label,Rev No. 01,,,,,,,,,,,,,,,,
label,Date of Issue 01/11/2023,,,,,,,,,,,,,,,,
label,ITP Type - Revised,,,,,,,,,,,,,,,,
section,1.0 Pre-start activities,,,,,,,,,,,,,,,,
checkpoint,1.1 - Site excavation and Material classification and supply (Site only),,,,,,,,,,,,,,,,
label,"Ref docs - VR Clause 204.06 (c), 204.04 (b)",,,,,,,,,,,,,,,,
label,"Acceptance criteria - For site-won material: Prior to commencing excavation in any area and during excavation work, the Surveillance Officer and the Contractor shall inspect each type of material encountered and subject to verification by appropriate laboratory testing, agree on the category of the material in accordance with Clause 204.04.",,,,,,,,,,,,,,,,
label,○ Material classified as silt prior to compaction shall not be used as Type A material without stabilisation to the satisfaction of the Surveillance Officer.,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,
label,Key - H,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,
label,SI Key - H,,,,,,,,,,,,,,,,
label,"Remarks/record (eg. Test frequency reports, certificates, checklist etc) - ",,,,,,,,,,,,,,,,
button,Compliance Certificates/ Test Reports,"Yes,No",,,,,,,,,,,,,,,
button,"NATA Test Reports: CBR, Swell, Permeability, Grading, PI","Yes,No",,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
section,2.0 Set out,,,,,,,,,,,,,,,,
checkpoint,2.1 - Set out and survey land appropriately for intended works.,,,,,,,,,,,,,,,,
label,"Ref docs - VR Clause 204.03 (a), VR Clause 204.14 Table 204.142",,,,,,,,,,,,,,,,
label,"Acceptance criteria - Set out pegs in place and clearly mark out limits of works as per design IFC drawings. Lot size to be one day's production or 5,000 m2, whichever is the lesser.",,,,,,,,,,,,,,,,
button,Has all of the above been completed per standard? ,"Yes,N/A",,,,,,,,,,,,,,,
label,Freq - Each lot,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,
section,3.0 Placement of Type A Material,,,,,,,,,,,,,,,,
checkpoint,3.1 - Underlying Layer Conformance,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.10(b) 204.06,,,,,,,,,,,,,,,,
label,Acceptance criteria - Areas upon which fills are to be constructed shall be prepared for test rolling by the Contractor. Any unstable areas detected by test rolling shall be rectified.,,,,,,,,,,,,,,,,
label,○ Where ground water or seepage is encountered the Contractor shall notify the Superintendent and submit the proposed action to be taken to the Superintendent for review.,,,,,,,,,,,,,,,,
label,○ The Contractor shall submit any necessary approvals from relevant authorities for the treatment and disposal of this groundwater.,,,,,,,,,,,,,,,,
label,○ The Contractor shall not commence playing any fill on the prepared areas until the area has been reviewed by the Superintendent.,,,,,,,,,,,,,,,,
button,Approval to proceed granted? ,"Yes,No",,,,,,,,,,,,,,,
label,Freq - Each lot,,,,,,,,,,,,,,,,
label,Key - H,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,
label,SI Key - H,,,,,,,,,,,,,,,,
label,"Remarks/record (eg. Test frequency reports, certificates, checklist etc) - ",,,,,,,,,,,,,,,,
textbox,Ref,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint,3.2 - Placing of Geotextiles (If applicable),,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 210.05 IFC Drawing,,,,,,,,,,,,,,,,
label,Acceptance criteria - The placement of geotextile is not permitted without the written approval from the relevant Surveillance Officer.,,,,,,,,,,,,,,,,
label,"○ Geotextile shall be placed to the limits as shown on IFC Drawings without punctures or tears. If these occur, they shall be rectified, or the entire roll of geotextile replaced prior to covering.",,,,,,,,,,,,,,,,
label,○ Geotextiles in subsurface drains shall be placed to conform to the approximate shape of the excavation and fully envelop the drainage material.,,,,,,,,,,,,,,,,
label,○ All joints shall be overlapped or sewn in accordance with the Geotextile Record. Geotextiles shall be covered by filling within 48 hours of placement.,,,,,,,,,,,,,,,,
label,Freq - Each lot,,,,,,,,,,,,,,,,
label,Key - H,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,
label,SI Key - H,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint,3.3 - Placing of Fill,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.10(d),,,,,,,,,,,,,,,,
label,Acceptance criteria - Spread and compact in uniform layers not exceeding a compacted thickness of 200 mm.,,,,,,,,,,,,,,,,
label,○ Visual Inspection for maximum particle dimension.,,,,,,,,,,,,,,,,
label,"○ Where a fill is to be constructed on steep sideling ground or against an existing embankment with side slope steeper than 4H:1V, benches shall be progressively cut",,,,,,,,,,,,,,,,
label,Freq - Each lot,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,
label,"Remarks/record (eg. Test frequency reports, certificates, checklist etc) - ",,,,,,,,,,,,,,,,
button,Verification Records: Layer Thickness at least every three layers,"Yes,No",,,,,,,,,,,,,,,
checkpoint,3.4 - Keyed Fill Layers,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.10(d) Construction Work Pack,,,,,,,,,,,,,,,,
label,Acceptance criteria - Placement surface textured to ensure layers keyed into each other.,,,,,,,,,,,,,,,,
label,Freq - Each lot,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,
checkpoint,3.5 - Test Roll of Type A fill layer.,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.12 173.03 Construction Work Pack (Test roll procedure in specification 173.03),,,,,,,,,,,,,,,,
label,Acceptance criteria - Each layer should be test rolled immediately following completion of compaction but if test rolling is carried out at a later time the surface of the layer shall be watered and given a minimum of three passes with the test roller prior to commencement of test rolling.,,,,,,,,,,,,,,,,
label,○ Surface shall withstand test rolling without visible deformation or springing.,,,,,,,,,,,,,,,,
label,Freq - Each lot,,,,,,,,,,,,,,,,
label,Key - H,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,
label,SI Key - H,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint,3.6 - Fill at Structures (if applicable),,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.11 (b) Table 204.111 Construction Work Pack,,,,,,,,,,,,,,,,
label,Acceptance criteria - No Fill to be placed within 3 m of structure until the foundation is reviewed by the relevant Surveillance Officer.,,,,,,,,,,,,,,,,
label,"○ Culverts with an opening height greater than 1200 mm, shall be material of at least Type A material quality.",,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,
label,Key - H,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,
label,SI Key - H,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint,3.7 - Fill within 300 mm of structures,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.11 Construction Work Pack,,,,,,,,,,,,,,,,
label,Acceptance criteria - Use of geo-composite drainage material or Permeable Fill in accordance with 204.04(f).,,,,,,,,,,,,,,,,
