type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,,,,,,,,,,,,
checklist,ITP017 - Asphalt Production - 14H Mix,itp,,,,,FH-ZU2-QU-ITP017 - Asphalt Production - 14H Mix - Rev 0,,,,,,,,,,,,,,
section,1.0 - Production of Asphalt,,,,,,,,,,,,,,,,,,,,
checkpoint,1.1 - Temperature,,,,,,,,,,,,,,,,,,,,
label,Frequency - Every loaded truck or at intervals of 15 minutes if more than one truck is dispatched in 15 minutes.,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - ≤175°C,,,,,,,,,,,,,,,,,,,,
label,"Reference Documents - Section 407.11(a), 407.15",,,,,,,,,,,,,,,,,,,,
label,Method - Thermometer,,,,,,,,,,,,,,,,,,,,
label,Record - Load inspection sheet / docket,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Plant Operator / Technician,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint,1.2 - Temperature,,,,,,,,,,,,,,,,,,,,
label,Frequency - DGA - One test per 250 tonnes (or part thereof) if lot is >40 tonnes,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - ≤175°C,,,,,,,,,,,,,,,,,,,,
label,Reference Documents - Internal,,,,,,,,,,,,,,,,,,,,
label,Method - Thermometer,,,,,,,,,,,,,,,,,,,,
label,Record - Load inspection sheet / test report,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Technician,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint,"1.3 - Visual inspection for segregation, uncoated particles, separated binder, excess binder or overheating",,,,,,,,,,,,,,,,,,,,
label,Frequency - Every loaded truck,,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - >95% coarse aggregate coated with binder, no obvious separated binder or uncoated particles",,,,,,,,,,,,,,,,,,,,
label,Reference Documents - Section 407.11 (b),,,,,,,,,,,,,,,,,,,,
label,Method - Visual check,,,,,,,,,,,,,,,,,,,,
label,Record - Load inspection sheet,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Plant Operator,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint,"1.4 - Visual inspection for segregation, uncoated particles, separated binder, excess binder or overheating",,,,,,,,,,,,,,,,,,,,
label,Frequency - DGA - One test per 250 tonnes (or part thereof) if lot is >40 tonnes,,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - >95% coarse aggregate coated with binder, no obvious separated binder or uncoated particles",,,,,,,,,,,,,,,,,,,,
label,Reference Documents - Internal,,,,,,,,,,,,,,,,,,,,
label,Method - Visual check,,,,,,,,,,,,,,,,,,,,
label,Record - Load inspection sheet,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Technician,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint,1.5 - Maximum density,,,,,,,,,,,,,,,,,,,,
label,Frequency - On every production day,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - ± 35 kg/m3 of its 6-point rolling average,,,,,,,,,,,,,,,,,,,,
label,"Reference Documents - Section 407.11(e), 407.15",,,,,,,,,,,,,,,,,,,,
label,Method - AS2891.7.1,,,,,,,,,,,,,,,,,,,,
label,Record - NATA-endorsed test report,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Technician,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint,1.6 - Binder content,,,,,,,,,,,,,,,,,,,,
label,Frequency - DGA - One test per 250 tonnes (or part thereof) if lot is >40 tonnes,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - ±0.3% of mix design specification,,,,,,,,,,,,,,,,,,,,
label,"Reference Documents - Section 407.10, 407.15, 407.11",,,,,,,,,,,,,,,,,,,,
label,Method - AS2891.3.3 or AGPT/T234,,,,,,,,,,,,,,,,,,,,
label,Record - NATA-endorsed test report,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Technician,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint,1.7 - Full sieve analysis,,,,,,,,,,,,,,,,,,,,
label,Frequency - DGA - One test per 250 tonnes (or part thereof) if lot is >40 tonnes,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - See Table 1 of this document,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,,,,,,
label,Table 1: Production tolerances for mix grading (Table 407.101 in DTP Section 407),,,,,,,,,,,,,,,,,,,,
label,Sieve size AS (mm) || Size 7 || Size 10 || Size 14 || Size 20,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,,,,,,
label,37.5 || Nil || Nil || Nil || Nil,,,,,,,,,,,,,,,,,,,,
label,26.5 || Nil || Nil || Nil || Nil,,,,,,,,,,,,,,,,,,,,
label,19 || Nil || Nil || Nil || ± 6,,,,,,,,,,,,,,,,,,,,
label,13.2 || Nil || Nil || ± 6 || ± 6,,,,,,,,,,,,,,,,,,,,
label,9.5 || Nil || ± 6 || ± 6 || ± 6,,,,,,,,,,,,,,,,,,,,
label,6.70 - 4.75 || ± 6 || ± 6 || ± 6 || ± 6,,,,,,,,,,,,,,,,,,,,
label,2.36 – 0.600 || ± 5 || ± 5 || ± 5 || ± 5,,,,,,,,,,,,,,,,,,,,
label,0.300 – 0.150 || ± 3 || ± 3 || ± 3 || ± 3,,,,,,,,,,,,,,,,,,,,
label,0.075 || ± 1.0 || ± 1.0 || ± 1.0 || ± 1.0,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,,,,,,
label,"Reference Documents - Section 407.10, 407.15, 407.11",,,,,,,,,,,,,,,,,,,,
label,Method - AS2891.3.3 or AGPT/T234,,,,,,,,,,,,,,,,,,,,
label,Record - NATA-endorsed test report,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Technician,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint,1.8 - Moisture content,,,,,,,,,,,,,,,,,,,,
label,Frequency - DGA - One test per 250 tonnes (or part thereof) if lot is >40 tonnes,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - ≤0.5% moisture,,,,,,,,,,,,,,,,,,,,
label,Reference Documents - Section 407.11 (b),,,,,,,,,,,,,,,,,,,,
label,Method - RC 211.01,,,,,,,,,,,,,,,,,,,,
label,Record - NATA-endorsed test report,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Technician,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
section,2.0 - RAP Testing - RAP Level 1 and 2 (as per Table 407.121 Section 407),,,,,,,,,,,,,,,,,,,,
checkpoint,2.1 - Moisture content of RAP,,,,,,,,,,,,,,,,,,,,
label,Frequency - One test per 500 tonnes of RAP,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Not exceeding the maximum moisture content acceptable for the asphalt plant nominated in the RAP Management Plan – Fulton Hogan Infrastructure Services. Any materials with moisture content greater than the nominated moisture content should be allowed to drain before being utilised,,,,,,,,,,,,,,,,,,,,
label,"Reference Documents - Section 407.13(c), FH RAP, Management Plan Section 3.2",,,,,,,,,,,,,,,,,,,,
label,Method - AS2891.10,,,,,,,,,,,,,,,,,,,,
