"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"65348e06-f5cb-446a-b899-db5e274a5674","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"f7378309-bb8c-5f1a-9a74-d8061f3d82a9","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"41d351d1-28c0-5b2e-8124-7b634df62af8","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"cff59ae0-3f52-5d76-896d-b9180ac327e4","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"34b69f5f-9202-5987-be9f-4b4eb062ab1e","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"2f757f5b-73f2-5480-9edf-0590a550a9ca","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"88ad302b-ea28-5d32-b832-2fef6d9620b4","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"60d7fabc-028b-4253-bfab-7d0599ae9cc2","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"9a35beb7-ef18-4516-88b8-98db53abc0f7","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems"
"88e4cd86-afcb-4999-b24b-011e344ffbf9","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01"
"51de5436-c487-477f-8895-d39fc1bc4d5d","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Pre-Fit Off Checklist"
"a4ffed9e-8d44-57b6-b0d8-70e6cd0413c3","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"1d82f595-41d1-50fb-b5a4-8697a545c741","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Pre-Fit Off Checklist","EMAIL PM"
"90e46f1d-04ad-539c-a38d-2c2cd208dca1","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"359a23f7-4629-55e1-8984-ae8cbd2e4e6e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Pre-Fit Off Checklist","Photos taken"
"7bf35138-a761-4c38-8e1c-c414f8966389","","checklist-flat","not-started","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01"
"330afcf0-c97c-5b4c-8bde-9ccf639f2be9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01","Confirm the structure is in accordance with the details supplied by PBI"
"ff3eaa63-79c8-51f9-85bc-176edd20c321","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01","EMAIL PM"
"793879bb-8d98-56ea-bf29-7ef205ba6bb2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01","Photo taken of line pull test - 4 photos required"
"cc81f1b9-548f-5941-9854-6d3e2d8e8604","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01","Photo taken of Swages - 12 photos required"
"089c6abf-33dc-5cb0-b75c-6a96bb35699c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01","Photo taken of Engraved Line Plate / ID Tag"
"7f229e87-830c-5da3-892a-5cb1a1056fab","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01","Video taken of system"
"be54fe73-e265-5a5a-b514-3a6b7caa1045","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"087cc046-1150-4156-a443-23caa2508bb5","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02"
"e7bea1dd-b2c6-4906-88eb-74f98d16ab08","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Pre-Fit Off Checklist"
"98ccfbbb-6d19-545b-bd3b-758e4a196b76","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"10af9437-c484-55ad-822c-52886e518d7a","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Pre-Fit Off Checklist","EMAIL PM"
"afed65c7-3464-5316-8de8-c6f449ee6996","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"c91b5bf8-b774-584f-a21a-ea177fe4c841","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Pre-Fit Off Checklist","Photos taken"
"e110107e-11e3-4ff5-8ded-4152dfc98716","","checklist-flat","not-started","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02"
