Id,Type,Name,Values,Prompting Name,Resource Id
,checklist,Apartment Fit Off Checklist,,Apartment Fit Off Checklist,478294d8-e82e-4847-99cf-aa4b0ebe9adb
,section,Laundry Fit Off,,,
,checkpoint,Laundry Trough,,,
,checkpoint,Laundry Trough Mixer,,,
,checkpoint,Laundry Trough Mini Stops,,,
,checkpoint,Laundry Trough Waste,,,
,checkpoint,Floor wastes - cleared of blockages,,,
,section,Kitchen Fit Off,,,
,checkpoint,Kitchen Mini Stops,,,
,checkpoint,Kitchen Sink Waste,,,
,checkpoint,Kitchen Sink Mixer,,,
,checkpoint,Kitchen Dishwasher,,,
,checkpoint,Kitchen Cooktop,,,
,section,Bathroom Fit Off,,,
,checkpoint,Bathroom Shower Mixer,,,
,checkpoint,Bathroom Shower Rail/Rose,,,
,checkpoint,Bathroom Basin,,,
,checkpoint,Bathroom Basin Mixer,,,
,checkpoint,Bathroom Bottle Trap,,,
,checkpoint,Bathroom Toilet,,,
,checkpoint,Bathroom Urinal,,,
,checkpoint,Bath tubs,,,
,checkpoint,Floor wastes - cleared of blockages,,,
,,,,,
,checklist,Other Areas Fit Off Checklist,,Other Areas Fit Off Checklist,c4fc7e1f-631a-4da9-9cf2-82e865c54ec6
,section,Kitchen/Butler's Pantry Fit Off,,,
,checkpoint,Kitchen Mini Stops,,,
,checkpoint,Kitchen Sink Waste,,,
,checkpoint,Kitchen Sink Mixer,,,
,checkpoint,Kitchen Dishwasher,,,
,checkpoint,Kitchen Cooktop,,,
,section,Female Bathroom Fit Off,,,
,checkpoint,Bathroom Shower Mixer,,,
,checkpoint,Bathroom Shower Rail/Rose,,,
,checkpoint,Bathroom Basin,,,
,checkpoint,Bathroom Basin Mixer,,,
,checkpoint,Bathroom Bottle Trap,,,
,checkpoint,Bathroom Toilet,,,
,checkpoint,Bathroom Urinal,,,
,checkpoint,Bath tubs,,,
,checkpoint,Floor wastes - cleared of blockages,,,
,section,Male Bathroom Fit Off,,,
,checkpoint,Bathroom Shower Mixer,,,
,checkpoint,Bathroom Shower Rail/Rose,,,
,checkpoint,Bathroom Basin,,,
,checkpoint,Bathroom Basin Mixer,,,
,checkpoint,Bathroom Bottle Trap,,,
,checkpoint,Bathroom Toilet,,,
,checkpoint,Bathroom Urinal,,,
,checkpoint,Bath tubs,,,
,checkpoint,Floor wastes - cleared of blockages,,,
,section,DDA Bathroom Fit Off,,,
,checkpoint,Bathroom Shower Mixer,,,
,checkpoint,Bathroom Shower Rail/Rose,,,
,checkpoint,Bathroom Basin,,,
,checkpoint,Bathroom Basin Mixer,,,
,checkpoint,Bathroom Bottle Trap,,,
,checkpoint,Bathroom Toilet,,,
,checkpoint,Bathroom Urinal,,,
,checkpoint,Bath tubs,,,
,checkpoint,Floor wastes - cleared of blockages,,,
