"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"300d8a34-e309-423f-a2c3-4c3bfe36e7ea","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"aa3f76e6-c29d-4226-a359-12828e150061","","pass","","folder","TRUE","FALSE","Site QA","AC"
"26e0285b-f321-4dd0-8502-36eb26ab2088","","pass","VRV OUTDOOR UNIT","checklist","FALSE","FALSE","Site QA","AC","VRV ODU 1 - Outside Locker Room"
"cec839d2-9688-4dd5-8f60-97c5a3362f35","","pass","VRV HIGH WALL","checklist","FALSE","FALSE","Site QA","AC","AC 1.1 - Office"
"e7abf027-209b-42a6-b51c-8ab7328e5bf6","","pass","VRV HIGH WALL","checklist","FALSE","FALSE","Site QA","AC","AC 1.2 - Office"
"4f077220-5a6f-43fd-ac03-eadb03bacbaa","","pass","VRV CASSETTE","checklist","FALSE","FALSE","Site QA","AC","AC 1.3 - Meeting Room"
"3018b534-3f4a-407b-9d16-cfc949fc236e","","pass","VRV CASSETTE","checklist","FALSE","FALSE","Site QA","AC","AC 1.4 - Entry Area"
"63331384-5db2-4d37-b855-ec576f45bc93","","pass","VRV CASSETTE","checklist","FALSE","FALSE","Site QA","AC","AC 1.5 - Entry Area"
"5fb5e553-ad5f-41f1-8d62-e30a7f6b3c9c","","pass","VRV CASSETTE","checklist","FALSE","FALSE","Site QA","AC","AC 1.6 - Entry Area"
"23e108c8-a7db-4b30-9890-04f3a0c10c56","","pass","VRV OUTDOOR UNIT","checklist","FALSE","FALSE","Site QA","AC","VRV ODU 2 - Outside Locker Room"
"4c201d14-9d71-44e8-9a0c-bd62d01937dd","","pass","VRV CASSETTE","checklist","FALSE","FALSE","Site QA","AC","AC 1.7 - Dispatch Office"
"a8cd5bbd-34b3-4b61-bff3-5764c40b189b","","pass","VRV CASSETTE","checklist","FALSE","FALSE","Site QA","AC","AC 1.8 - Dispatch Office"
"21c5a90f-3dd5-4647-bbad-2e26afae6ccf","","pass","VRV HIGH WALL","checklist","FALSE","FALSE","Site QA","AC","AC 1.9 - Office"
"2b257d0b-5057-4755-a819-342fffeb55ce","","pass","VRV HIGH WALL","checklist","FALSE","FALSE","Site QA","AC","AC 1.10 - Office"
"846d6cf5-0f5f-4964-9e2e-eb5ff5c3611e","","pass","VRV OUTDOOR UNIT","checklist","FALSE","FALSE","Site QA","AC","VRV ODU 3 - Outside Locker Room"
"0d3d0ea8-6dd2-46ef-a991-02b3269cd10c","","pass","VRV CASSETTE","checklist","FALSE","FALSE","Site QA","AC","AC 1.11 - Cafeteria"
"4a4ece76-c425-4b20-9c53-6e4abc890f44","","pass","VRV CASSETTE","checklist","FALSE","FALSE","Site QA","AC","AC 1.12 - Cafeteria"
"24d2ace4-18b9-419d-934a-ac9aecde05cb","","pass","VRV CASSETTE","checklist","FALSE","FALSE","Site QA","AC","AC 1.15 - Locker Room"
"b2e8e3b4-91b4-4d4d-a86a-e4143d510912","","pass","SPLIT HIGH WALL","checklist","FALSE","FALSE","Site QA","AC","AC 1.13 - Comms Room"
"7f08a89f-4c33-4a79-b510-fd39e8ec0c2a","","pass","SPLIT HIGH WALL","checklist","FALSE","FALSE","Site QA","AC","AC 1.14 - Store Room"
"67ab3219-24c7-4053-bbcb-75b7cb5a6ed3","","not-started","","folder","TRUE","FALSE","Site QA","Ventilation"
"2bb064f3-7e99-4ef2-97e0-4e27912716c1","","not-started","SA FAN","checklist","FALSE","FALSE","Site QA","Ventilation","FAF-1 - Dispatch Office"
"30b198c6-fcdb-415a-8a0e-980bf4f62f41","","not-started","SA FAN","checklist","FALSE","FALSE","Site QA","Ventilation","FAF-2 - Entrance"
"4162d3f9-3d00-44f5-b465-e4c1651aba14","","not-started","SA FAN","checklist","FALSE","FALSE","Site QA","Ventilation","FAF-3 - Cafeteria"
"5776d91b-1f5c-4a8d-a35e-88215f24890c","","not-started","SA FAN","checklist","FALSE","FALSE","Site QA","Ventilation","FAF-4 - Toilet"
"34c95a3a-5fc4-4534-ac68-26bdbffdb789","","not-started","EXTRACT FAN","checklist","FALSE","FALSE","Site QA","Ventilation","EAF-1 - Xerox"
"583dd1bd-01be-4423-8381-dc4dbee68bea","","not-started","EXTRACT FAN","checklist","FALSE","FALSE","Site QA","Ventilation","EAF-2 - Comms Room"
"a7846082-9580-49ca-bd5c-d1da31935407","","not-started","EXTRACT FAN","checklist","FALSE","FALSE","Site QA","Ventilation","EAF-3 - Kitchen"
"4f4f8ccd-f62f-4272-94b9-bbf82faf0477","","not-started","EXTRACT FAN","checklist","FALSE","FALSE","Site QA","Ventilation","TEF-1 - Toilet"
"0b36856c-325a-4add-ab50-6e087c8f55b8","","not-started","EXTRACT FAN","checklist","FALSE","FALSE","Site QA","Ventilation","TEF-2 - Toilet"
"e4843a02-92fe-4465-b04c-e7380678d687","","not-started","EXTRACT FAN","checklist","FALSE","FALSE","Site QA","Ventilation","TEF-3 - Toilet"
