"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ba5a401f-21e2-4202-98e7-3b417073d499","","checklist-flat","not-started","62704a049dd677552a734504db8d241c90c356cc5b215f556be0ff7a150d0d41","checklist-flat","FALSE","FALSE","Job Details"
"48aeacb7-b9f6-4a88-b680-f56b01931f58","","checkpoint-status","not-started","","","FALSE","FALSE","Job Details","Project details entered below"
"b50d3471-ee4f-4665-b38f-8ba4fadfad28","","folder-normal","work-in-progress","","step","TRUE","FALSE"," Precast Manufacture"
"a760ac41-d0fe-4cc0-9292-2c47264dc878","","checklist-sectioned","pass","2e38763aea9cfef5386e9c397d1b9c4d03d3f1e56a7b082a6dc0712abde9da76","checklist","FALSE","FALSE"," Precast Manufacture","weld plate details"
"9b4c9819-1a4c-4a19-9c1e-35cd2c4d66ae","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","weld plate details","weld plate details"
"4d6c3075-3b5e-48d6-9787-dbd01473960e","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","weld plate details","weld plate details","Edge Detail"
"f70b4190-6ede-4ca8-b9c1-9aa5f94b913a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","weld plate details","weld plate details","Bar Projections"
"0dc5027f-7498-461f-8973-77916b414df2","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","weld plate details","weld plate details","Cast in items"
"7fb65d97-df39-4d7e-9d7d-dc489dc6360f","","folder-normal","pass","","step","TRUE","FALSE"," Precast Manufacture","Panels 1 - 50"
"c56da1e8-12f4-40b4-bd95-e211208e6e85","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels 1 - 50","Panel -1"
"d8ade419-7fd7-4ee0-b4d8-97d384542309","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -1","Pre-Pour Check"
"ef57e2d9-f6fb-4d86-93c2-3a54e084e79a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -1","Pre-Pour Check","Dimensions"
"5e7f5eb7-ab52-4fa1-910c-56b9acd281cf","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -1","Pre-Pour Check","Mould Clean"
"8764033f-01f9-43c3-95af-eb33f8fb84ce","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -1","Pre-Pour Check","Mould Oiled"
"72bbb3e8-b9cd-4379-b4e2-2994c3df60ce","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -1","Pre-Pour Check","Mould - Workmanship"
"d32a2425-3ba6-4818-a900-c53dd2d57e30","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -1","Pre-Pour Check","Reinforcing"
"8ba2c69a-9f0c-4fb9-b8d2-4e2507905445","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -1","Pre-Pour Check","Cast In Items"
"40a0d124-3631-44ce-810b-c93c86208cfe","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -1","Pre-Pour Check","Marker Position and No."
"d7435bc9-0eec-4f43-b1ac-87f17e839e16","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -1","Pre-Pour Check","Make mould to Green Status"
"4b7777ce-819d-404e-aafc-ba95038083b4","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -1","Concrete Works"
"82205312-9ea5-415b-a0b7-f875e922e887","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -1","Concrete Works","Concrete Works Details"
"c921cf97-6987-4bf3-b84f-5e29906418b0","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -1","Concrete Works","Wilco Sample Taken"
"0dcfc0aa-2f4f-48ee-b984-bbdd24907b1c","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -1","Concrete Works","Bridgeman Sample Taken"
"3dbb14de-bb42-44a6-8c4e-c4b7500c5140","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -1","Concrete Works","Supervisor Approval"
"b092904c-6776-4096-9f68-54bff260f6b5","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -1","Post Pour Check"
"87ec547b-bf8e-44fe-b03a-77c44b834cbd","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -1","Post Pour Check","Edge Detail"
"7516721a-b117-47fa-a53c-9b20edfb4e95","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -1","Post Pour Check","Bar Projections"
"de398bb1-fa82-4591-8855-97cf5ed80234","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -1","Post Pour Check","Cast in items"
"e1b1a204-da5b-4e22-add8-28c3d71db70f","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -1","Stripping and Stacking"
"22860458-527a-46fc-b244-5b2b27bb8869","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -1","Stripping and Stacking","Stripping & Stacking"
"d1e5c9e1-a8bf-4333-a936-0808c66d3b5d","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels 1 - 50","Panel -2"
"5e995625-dd8d-456f-8859-1db66a8d558b","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -2","Pre-Pour Check"
"58819831-3eba-414f-8510-e1ed265a5562","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -2","Pre-Pour Check","Dimensions"
"393320a6-a84b-4e76-a0ed-261d3a1798a6","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -2","Pre-Pour Check","Mould Clean"
"ef12ea93-457b-41d2-ae5d-e2a9ea53eebc","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -2","Pre-Pour Check","Mould Oiled"
"6f6ace1f-3711-46f4-a9d1-94aa4eddc875","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -2","Pre-Pour Check","Mould - Workmanship"
"687fc867-dd8c-4bfc-baa7-03b9f49ff9dc","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -2","Pre-Pour Check","Reinforcing"
"1d4b637a-1581-4702-bbbe-41606e6c39fa","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -2","Pre-Pour Check","Cast In Items"
"a41b2bb5-c602-486d-b8ae-184c3f4bf301","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -2","Pre-Pour Check","Marker Position and No."
"d2818428-23ea-49c3-83d3-6c130c9ac0e5","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -2","Pre-Pour Check","Make mould to Green Status"
"929265aa-dbee-47f3-8832-9688b8003d02","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -2","Concrete Works"
"f760c594-9a77-4bf2-91fb-400a91c6264f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -2","Concrete Works","Concrete Works Details"
"95ffcaf7-a798-414e-a8d4-99a6f077d928","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -2","Concrete Works","Wilco Sample Taken"
"2655e59a-90de-4ea0-9b01-b13cf1132694","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -2","Concrete Works","Bridgeman Sample Taken"
"6fd711ef-3602-47c2-9573-38225797363f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -2","Concrete Works","Supervisor Approval"
"474b508c-30d2-46d5-a65e-5e717dec62f9","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -2","Post Pour Check"
"090c79fd-71f8-4216-a257-73d342b78cb1","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -2","Post Pour Check","Edge Detail"
"2b4a8039-e8f7-4c3e-840c-f8ed7361ced5","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -2","Post Pour Check","Bar Projections"
"63a452f0-dbb8-4e71-82b2-f87b1bc1d446","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -2","Post Pour Check","Cast in items"
"62f6d2aa-efd7-4d70-aaa4-6d20f797a4b9","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -2","Stripping and Stacking"
"19bb8e7b-6b4f-4c64-baba-2e691c79d739","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -2","Stripping and Stacking","Stripping & Stacking"
"7bcc0ebe-c9c8-4ad4-9067-1cd3597f4191","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels 1 - 50","Panel -3"
"a25b61b3-bf2f-4de0-900a-29672a9a4e9d","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -3","Pre-Pour Check"
"ef083be5-adf5-4a6b-916b-eade37c114d5","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -3","Pre-Pour Check","Dimensions"
"d8ee0730-9e45-4555-87a4-266c88c066b1","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -3","Pre-Pour Check","Mould Clean"
"1304df07-6946-4304-9f96-569b175e52fe","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -3","Pre-Pour Check","Mould Oiled"
"2982732d-5226-4277-8261-5000abebbf0b","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -3","Pre-Pour Check","Mould - Workmanship"
"de8256fa-9949-4c19-b5bb-e6a5f804689a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -3","Pre-Pour Check","Reinforcing"
"481ad3ef-8690-4fc4-8465-b790b6331219","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -3","Pre-Pour Check","Cast In Items"
"0123b7b0-6852-4102-bfec-c94f4d5aa114","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -3","Pre-Pour Check","Marker Position and No."
"09ef69e9-6ff9-4945-aa98-f680fd5255f9","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -3","Pre-Pour Check","Make mould to Green Status"
"13928cb9-496a-4d2c-ad3f-5d0c68f0dde7","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -3","Concrete Works"
"1a169d8b-0706-4972-b578-c5dc7683da55","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -3","Concrete Works","Concrete Works Details"
"2bafd226-fdb3-436e-90cd-f542a13e17df","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -3","Concrete Works","Wilco Sample Taken"
"410cc5ee-73eb-4bc0-b4f1-e350877f1425","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -3","Concrete Works","Bridgeman Sample Taken"
"762af1cd-db63-4f8e-a3ee-687f2d45c707","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -3","Concrete Works","Supervisor Approval"
"29e1481f-2bfb-4889-8bb0-b0830da5ebe5","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 50","Panel -3","Post Pour Check"
