"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c2f94543-f509-47ac-8743-87d69682c255","","folder-normal","work-in-progress","","step","TRUE","FALSE","Consent Packages"
"2db5e0c0-0dd4-4096-80d3-26360dce5920","","folder-normal","work-in-progress","","step","TRUE","FALSE","Consent Packages","N17"
"385a1c1a-7f4c-4926-b846-0a3a54046ca5","","folder-normal","work-in-progress","","step","FALSE","FALSE","Consent Packages","N17","Stage 1"
"82f1b01b-43e5-4fab-84f8-9c4f662a97aa","","checklist-sectioned","work-in-progress","05ebda9020d234de1ecf23c775adc54aa55040e65ba0854f59a69ff17a039863","checklist","FALSE","FALSE","Consent Packages","N17","Stage 1","Building Consent Lodgement Checklist"
"7937701d-c421-4c48-af56-f5c333704859","","checklist-flat","not-started","e126a4ed6959d628825241fca18806cc9df26a12e3a64169fe3dfdacb692a04a","checklist-flat","FALSE","FALSE","Consent Packages","N17","Stage 1","Latest Building Consent - BC Number"
"894879f0-edec-457b-aec9-3af330d07fab","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Consent Packages","N17","Stage 1","Building Consent Amendments - BC Number"
"4dbe1e36-91cf-4c2c-af42-c8024fd908cc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Consent Packages","N17","Stage 1","Minor Variations - BC Number"
"5cb36431-5058-5aa6-81fd-f84dc5ffd291","","folder-normal","not-started","","step","FALSE","FALSE","Consent Packages","N17","Stage 2"
"3666d5e3-dbc7-5045-a4cd-1309d960ba01","","checklist-sectioned","not-started","05ebda9020d234de1ecf23c775adc54aa55040e65ba0854f59a69ff17a039863","checklist","FALSE","FALSE","Consent Packages","N17","Stage 2","Building Consent Lodgement Checklist"
"6f96070f-c9f4-5e5d-8619-dcac6e16ab99","","checklist-flat","not-started","e126a4ed6959d628825241fca18806cc9df26a12e3a64169fe3dfdacb692a04a","checklist-flat","FALSE","FALSE","Consent Packages","N17","Stage 2","Latest Building Consent - BC Number"
"00d412a4-0030-5acd-9a7b-bb470232e12b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Consent Packages","N17","Stage 2","Building Consent Amendments - BC Number"
"c4e9d2f1-a67d-526a-b1a7-ff86f4184a28","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Consent Packages","N17","Stage 2","Minor Variations - BC Number"
"6df01095-df9a-5d23-95fb-9ab7a7941b75","","folder-normal","not-started","","step","FALSE","FALSE","Consent Packages","N17","Stage 3"
"b53762e9-0f70-533e-a731-a4b2d0cc3385","","checklist-sectioned","not-started","05ebda9020d234de1ecf23c775adc54aa55040e65ba0854f59a69ff17a039863","checklist","FALSE","FALSE","Consent Packages","N17","Stage 3","Building Consent Lodgement Checklist"
"ed8a182b-9e6e-5235-bfba-502ff49f492e","","checklist-flat","not-started","e126a4ed6959d628825241fca18806cc9df26a12e3a64169fe3dfdacb692a04a","checklist-flat","FALSE","FALSE","Consent Packages","N17","Stage 3","Latest Building Consent - BC Number"
"c75777a9-3ca3-51b4-9d35-4fc8466db691","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Consent Packages","N17","Stage 3","Building Consent Amendments - BC Number"
"e77aaef6-fb78-5aa1-a21a-5580b152bdd3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Consent Packages","N17","Stage 3","Minor Variations - BC Number"
"96221d37-c834-479b-a3fd-4de6a4e1cdb3","","folder-normal","not-started","","step","TRUE","FALSE","Consent Packages","N18"
"1e5d8e32-37c3-5f57-bf32-d0e3a1589714","","folder-normal","not-started","","step","FALSE","FALSE","Consent Packages","N18","Stage 1"
"646d9a46-8144-5d4a-b635-2c461f793803","","checklist-sectioned","not-started","05ebda9020d234de1ecf23c775adc54aa55040e65ba0854f59a69ff17a039863","checklist","FALSE","FALSE","Consent Packages","N18","Stage 1","Building Consent Lodgement Checklist"
"07f27535-d429-557d-abd5-0f1526dc02fa","","checklist-flat","not-started","e126a4ed6959d628825241fca18806cc9df26a12e3a64169fe3dfdacb692a04a","checklist-flat","FALSE","FALSE","Consent Packages","N18","Stage 1","Latest Building Consent - BC Number"
"1e6f6c92-366d-5a10-b231-203e6f13ca01","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Consent Packages","N18","Stage 1","Building Consent Amendments - BC Number"
"07ad53e2-63ca-599f-809e-541312baad32","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Consent Packages","N18","Stage 1","Minor Variations - BC Number"
"2e1cf26b-9dea-501f-8fa7-cf6c965b3a09","","folder-normal","not-started","","step","FALSE","FALSE","Consent Packages","N18","Stage 2"
"bf70cba6-aeda-543b-bba9-afb89ec3f49a","","checklist-sectioned","not-started","05ebda9020d234de1ecf23c775adc54aa55040e65ba0854f59a69ff17a039863","checklist","FALSE","FALSE","Consent Packages","N18","Stage 2","Building Consent Lodgement Checklist"
"51d90c95-03fb-5552-9cf8-59bcafa209d8","","checklist-flat","not-started","e126a4ed6959d628825241fca18806cc9df26a12e3a64169fe3dfdacb692a04a","checklist-flat","FALSE","FALSE","Consent Packages","N18","Stage 2","Latest Building Consent - BC Number"
"3dfd4dae-1b5a-5308-896d-4d871808fc9a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Consent Packages","N18","Stage 2","Building Consent Amendments - BC Number"
"cb0d6728-bc8f-5af4-9e91-282ef54370ca","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Consent Packages","N18","Stage 2","Minor Variations - BC Number"
"dbb03692-99f0-5c53-a163-fe8f6bb588df","","folder-normal","not-started","","step","FALSE","FALSE","Consent Packages","N18","Stage 2"
"317fb69c-5be7-5d3a-9dec-4e2b3e374e3d","","checklist-sectioned","not-started","05ebda9020d234de1ecf23c775adc54aa55040e65ba0854f59a69ff17a039863","checklist","FALSE","FALSE","Consent Packages","N18","Stage 2","Building Consent Lodgement Checklist"
"bb184290-a49a-54ad-a6fe-4f39cb782840","","checklist-flat","not-started","e126a4ed6959d628825241fca18806cc9df26a12e3a64169fe3dfdacb692a04a","checklist-flat","FALSE","FALSE","Consent Packages","N18","Stage 2","Latest Building Consent - BC Number"
"4a40f258-a0d0-569c-958c-f6eca4c4201f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Consent Packages","N18","Stage 2","Building Consent Amendments - BC Number"
"7b508d34-99e2-5f96-9835-cf5a9424450f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Consent Packages","N18","Stage 2","Minor Variations - BC Number"
"d7b9d3c2-ab87-4365-bc0c-fadb97ba2331","","folder-normal","work-in-progress","","step","TRUE","FALSE","Offsite QA (Factory)"
"ba30accb-239e-4a63-a28c-f7c24907ff2d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Offsite QA (Factory)","N17"
"54ba204c-584a-47a2-b9a1-5089c33b7781","","folder-normal","work-in-progress","","step","TRUE","FALSE","Offsite QA (Factory)","N17","Apartments"
"6e02539a-59b0-4392-9206-620c10913a44","","folder-normal","work-in-progress","","step","TRUE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor"
"39f12c3d-4261-46c0-aeb0-871575e3a217","","checklist-sectioned","work-in-progress","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-01-A-TB-R(N17-GF-01-R-M1B)"
"de2b41e4-27fc-450d-9098-1295aeb3a677","","checklist-sectioned","work-in-progress","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-02-M-TE1-L(N17-GF-02-L-M1E1, M2E1, M3E1)"
"1d152e04-f250-4b3e-b177-91669f034f2b","","checklist-sectioned","work-in-progress","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-03-M-TE1-L(N17-GF-03-L-M1E1, M2E1, M3E1)"
"03bd2756-1f71-41e2-b170-b3ebfb12e68c","","checklist-sectioned","work-in-progress","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-04-M-TE2-L(N17-GF-04-L-M1E2, M2E2, M3E2)"
"049014c4-8628-42bc-9592-93d6b34cb02b","","checklist-sectioned","work-in-progress","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-05-M-TE1-R(N17-GF-05-R-M1E1, M2E1, M3E1)"
"3b523b54-e12b-4744-b272-7cb8280e0cf1","","checklist-sectioned","work-in-progress","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-06-M-TE1-R(N17-GF-06-R-M1E1, M2E1, M3E1)"
"6f785993-0903-4a12-ad33-fcd755179acc","","checklist-sectioned","work-in-progress","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-07-M-TF-R(N17-GF-07-R-M1F, M2F, M3F)"
"3ed8a6bd-ba31-4fb6-b1cc-21341b3a0261","","checklist-sectioned","work-in-progress","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-08-M-TE1-L(N17-GF-08-L-M1E1, M2E1, M3E1)"
"47bcbf0d-8b97-4c02-bff7-c9e79b4572c5","","checklist-sectioned","work-in-progress","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-09-M-TE1-L(N17-GF-09-L-M1E1, M2E1, M3E1)"
"8d6621c4-51da-4b87-b404-d8a952dc9991","","checklist-sectioned","work-in-progress","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-10-M-TE1-L(N17-GF-10-L-M1E1, M2E1, M3E1)"
"9dee5843-2e88-4a98-961d-3b920ab86a51","","checklist-sectioned","work-in-progress","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-11-M-TK-R(N17-GF-11-R-M1K, M2K)"
"3cfa2ac3-6b4d-46b4-bf96-b05619f1ede9","","checklist-sectioned","work-in-progress","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-12-A-TB-L(N17-GF-12-L-M1B)"
"372c94c0-3212-4feb-a02d-8ddb63c38a0f","","checklist-sectioned","work-in-progress","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-01-A-TB-R & GRD-12-A-TB-L (N17-GF-01&12-R-M2B)"
"f62ace3c-05af-41cf-abf9-91335e3ecdf2","","checklist-sectioned","not-started","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","N17-GF-L-S2ST & N17-GF-R-S1ST"
"f066fc43-4c97-4084-9e49-1ae955f0fc9d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor"
"89a7e06f-2100-479f-a37a-2e78ea16bfa5","","checklist-sectioned","work-in-progress","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-01-A-TB-R(N17-L1-01-R-M1B)"
"cc7028b2-1124-413b-a49b-c10976048e7b","","checklist-sectioned","work-in-progress","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-02-M-TC-L(N17-L1-02-L-M1C, M2C, M3C)"
"848b1c74-5db0-43d7-86ab-ba5c114fef53","","checklist-sectioned","work-in-progress","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-03-M-TC-L(N17-L1-03-L-M1C, M2C, M3C)"
"539da607-0e82-43f8-859d-02a770212794","","checklist-sectioned","work-in-progress","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-04-M-TE2-L(N17-L1-04-L-M1E2, M2E2, M3E2)"
"345408a1-40fe-4915-8b13-1eb231d89547","","checklist-sectioned","work-in-progress","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-05-M-TE1-R(N17-L1-05-R-M1E1, M2E1, M3E1)"
"10a9dc46-bbc5-40f9-adc7-d0c84883354d","","checklist-sectioned","work-in-progress","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-06-M-TE1-R(N17-L1-06-R-M1E1, M2E1, M3E1)"
"cd42dbf0-09db-4659-9258-09b6460a1774","","checklist-sectioned","work-in-progress","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-07-M-TF-R(N17-L1-07-R-M1F, M2F, M3F)"
"7628a5bd-e2e8-4aae-b446-c9a254e45736","","checklist-sectioned","work-in-progress","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-08-M-TG-R(N17-L1-08-R-M1G, M2G, M3G)"
"88405a75-d749-494c-b35d-d8afb539700f","","checklist-sectioned","work-in-progress","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-09-M-TE1-L(N17-L1-09-L-M1E1, M2E1, M3E1)"
"581a94ab-46cd-459f-aa28-1fac6e37cf03","","checklist-sectioned","work-in-progress","Offsite QA - New Module QA Checklist - Version 4","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-10-M-TG-L(N17-L1-10-L-M1G, M2G, M3G)"
